Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.097222224,0.1666666666666666,0.0333333333333333
1.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.0890411,0.1267605633802817,0.0533333333333333
2.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.10204081,0.1517241379310344,0.0536912751677852
3.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.0779661,0.1095890410958904,0.046979865771812
4.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,20/80,0.047781568,0.0979020979020979,0.0
5.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,30/70,0.013605442,0.0277777777777777,0.0
6.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,40/60,0.006779661,0.0137931034482758,0.0
7.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,50/50,0.006756757,0.0068493150684931,0.0066666666666666
8.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,20/80,0.047457628,0.096551724137931,0.0
9.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,30/70,0.006802721,0.0138888888888888,0.0
10.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,40/60,0.0033898305,0.0068965517241379,0.0
11.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,50/50,0.0033898305,0.0068965517241379,0.0
12.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,20/80,0.12666667,0.2333333333333333,0.02
13.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,30/70,0.11666667,0.22,0.0133333333333333
14.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,40/60,0.09,0.1466666666666666,0.0333333333333333
15.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,50/50,0.08,0.14,0.02
16.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,20/80,0.060000002,0.12,0.0
17.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,30/70,0.030000001,0.06,0.0
18.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,40/60,0.026666667,0.0533333333333333,0.0
19.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,50/50,0.023333333,0.04,0.0066666666666666
20.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,20/80,0.07,0.14,0.0
21.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,30/70,0.030000001,0.06,0.0
22.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,40/60,0.026666667,0.0533333333333333,0.0
23.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,50/50,0.02,0.04,0.0
24.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,20/80,0.07986111,0.1521739130434782,0.0133333333333333
25.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,30/70,0.061643835,0.1197183098591549,0.0066666666666666
26.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,40/60,0.040816326,0.0758620689655172,0.0067114093959731
27.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,50/50,0.047457628,0.0821917808219178,0.0134228187919463
28.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,20/80,0.04095563,0.0839160839160839,0.0
29.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,30/70,0.017006803,0.0347222222222222,0.0
30.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,40/60,0.006779661,0.0137931034482758,0.0
31.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,50/50,0.006756757,0.0136986301369863,0.0
32.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,20/80,0.061016947,0.1241379310344827,0.0
33.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,30/70,0.010204081,0.0208333333333333,0.0
