Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,20/80,0.06944445,0.1376811594202898,0.0066666666666666
1.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,30/70,0.023972603,0.0352112676056338,0.0133333333333333
2.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,40/60,0.034013607,0.0620689655172413,0.0067114093959731
3.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,50/50,0.044067796,0.0753424657534246,0.0134228187919463
4.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,20/80,0.13993174,0.2867132867132867,0.0
5.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,30/70,0.07142857,0.1458333333333333,0.0
6.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,40/60,0.050847456,0.1034482758620689,0.0
7.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,50/50,0.020270271,0.0342465753424657,0.0066666666666666
8.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,20/80,0.2,0.4068965517241379,0.0
9.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,30/70,0.1632653,0.3333333333333333,0.0
10.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,40/60,0.1118644,0.2275862068965517,0.0
11.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,50/50,0.08813559,0.1793103448275862,0.0
12.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,20/80,0.053333335,0.1,0.0066666666666666
13.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,30/70,0.08,0.14,0.02
14.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,40/60,0.05,0.06,0.04
15.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,50/50,0.07666667,0.0333333333333333,0.12
16.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,20/80,0.10333334,0.2066666666666666,0.0
17.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,30/70,0.023333333,0.04,0.0066666666666666
18.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,40/60,0.02,0.0266666666666666,0.0133333333333333
19.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,50/50,0.06333333,0.0266666666666666,0.1
20.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,20/80,0.22333334,0.4466666666666666,0.0
21.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,30/70,0.06666667,0.1333333333333333,0.0
22.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,40/60,0.05,0.1,0.0
23.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,50/50,0.05,0.0733333333333333,0.0266666666666666
24.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,20/80,0.052083332,0.0869565217391304,0.02
25.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,30/70,0.020547945,0.0140845070422535,0.0266666666666666
26.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,40/60,0.040816326,0.0275862068965517,0.0536912751677852
27.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,50/50,0.040677965,0.0205479452054794,0.0604026845637583
28.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,20/80,0.13651876,0.2797202797202797,0.0
29.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,30/70,0.08503401,0.1736111111111111,0.0
30.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,40/60,0.050847456,0.1034482758620689,0.0
31.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,50/50,0.02364865,0.0410958904109589,0.0066666666666666
32.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,20/80,0.23050848,0.4689655172413793,0.0
33.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,30/70,0.088435374,0.1805555555555555,0.0
34.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,40/60,0.098305084,0.2,0.0
35.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,50/50,0.054237287,0.0827586206896551,0.0266666666666666
36.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,20/80,0.07333334,0.0666666666666666,0.08
37.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,30/70,0.08,0.14,0.02
38.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,40/60,0.033333335,0.0266666666666666,0.04
39.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,50/50,0.06333333,0.0133333333333333,0.1133333333333333
40.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,20/80,0.086666666,0.1733333333333333,0.0
41.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,30/70,0.02,0.0333333333333333,0.0066666666666666
42.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,40/60,0.030000001,0.0266666666666666,0.0333333333333333
43.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,50/50,0.046666667,0.0133333333333333,0.08
44.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,20/80,0.13666667,0.2733333333333333,0.0
45.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,30/70,0.06666667,0.1266666666666666,0.0066666666666666
46.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,40/60,0.06333333,0.12,0.0066666666666666
47.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,50/50,0.06666667,0.0533333333333333,0.08
48.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,20/80,0.1701389,0.3550724637681159,0.0
49.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,30/70,0.48630136,1.0,0.0
50.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,40/60,0.047619045,0.096551724137931,0.0
51.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,50/50,0.047457628,0.047945205479452,0.046979865771812
52.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,20/80,0.03412969,0.0699300699300699,0.0
53.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,30/70,0.027210884,0.0347222222222222,0.02
54.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,40/60,0.013559322,0.0137931034482758,0.0133333333333333
55.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,50/50,0.016891893,0.0205479452054794,0.0133333333333333
56.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,20/80,0.094915256,0.1862068965517241,0.0066666666666666
57.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,30/70,0.047619045,0.0833333333333333,0.0133333333333333
58.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,40/60,0.044067796,0.0482758620689655,0.04
59.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,50/50,0.040677965,0.0206896551724137,0.06
60.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,20/80,0.18,0.36,0.0
61.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,30/70,0.5,1.0,0.0
62.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,40/60,0.043333333,0.0733333333333333,0.0133333333333333
63.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,50/50,0.05666667,0.0866666666666666,0.0266666666666666
64.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,20/80,0.043333333,0.0866666666666666,0.0
65.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,30/70,0.033333335,0.0666666666666666,0.0
66.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,40/60,0.02,0.0266666666666666,0.0133333333333333
67.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,50/50,0.023333333,0.04,0.0066666666666666
68.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,20/80,0.060000002,0.1133333333333333,0.0066666666666666
69.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,30/70,0.05,0.04,0.06
70.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,40/60,0.07,0.0266666666666666,0.1133333333333333
71.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,50/50,0.086666666,0.0266666666666666,0.1466666666666666
72.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,20/80,0.05902778,0.0942028985507246,0.0266666666666666
73.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,30/70,0.030821918,0.0211267605633802,0.04
74.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,40/60,0.037414964,0.0137931034482758,0.0604026845637583
75.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,50/50,0.08135593,0.0068493150684931,0.1543624161073825
76.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,bing,20/80,0.058020476,0.1188811188811188,0.0
77.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,bing,30/70,0.023809522,0.0486111111111111,0.0
78.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,bing,40/60,0.020338982,0.0413793103448275,0.0
79.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,bing,50/50,0.04391892,0.0890410958904109,0.0
80.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,bing,20/80,0.0779661,0.1586206896551724,0.0
81.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,bing,30/70,0.054421768,0.1111111111111111,0.0
82.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,bing,40/60,0.044067796,0.0758620689655172,0.0133333333333333
83.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,bing,50/50,0.054237287,0.0551724137931034,0.0533333333333333
84.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,google,20/80,0.06333333,0.1,0.0266666666666666
85.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,google,30/70,0.046666667,0.0333333333333333,0.06
86.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,google,40/60,0.05666667,0.0266666666666666,0.0866666666666666
87.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,google,50/50,0.06333333,0.02,0.1066666666666666
88.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,google,20/80,0.043333333,0.0866666666666666,0.0
89.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,google,30/70,0.013333334,0.02,0.0066666666666666
90.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,google,40/60,0.013333334,0.02,0.0066666666666666
91.0,bing,False,BoxBlur,alexnet,20/80,curriculum,resnet,google,50/50,0.030000001,0.0333333333333333,0.0266666666666666
92.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,google,20/80,0.07666667,0.1533333333333333,0.0
93.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,google,30/70,0.060000002,0.0866666666666666,0.0333333333333333
94.0,bing,False,BoxBlur,alexnet,20/80,curriculum,vgg,google,40/60,0.05666667,0.0666666666666666,0.0466666666666666
