Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,20/80,0.16319445,0.3405797101449275,0.0
1.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,30/70,0.047945205,0.0985915492957746,0.0
2.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,40/60,0.030612245,0.0551724137931034,0.0067114093959731
3.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,50/50,0.027118644,0.0342465753424657,0.0201342281879194
4.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,20/80,0.4846416,0.993006993006993,0.0
5.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,30/70,0.26190475,0.5347222222222222,0.0
6.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,40/60,0.050847456,0.1034482758620689,0.0
7.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,50/50,0.010135136,0.0205479452054794,0.0
8.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,20/80,0.48135594,0.9793103448275862,0.0
9.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,30/70,0.41156462,0.8402777777777778,0.0
10.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,40/60,0.29491526,0.6,0.0
11.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,50/50,0.08813559,0.1793103448275862,0.0
12.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,20/80,0.11,0.22,0.0
13.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,30/70,0.15,0.2866666666666667,0.0133333333333333
14.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,40/60,0.09666667,0.1933333333333333,0.0
15.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,50/50,0.08,0.16,0.0
16.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,20/80,0.49333334,0.9866666666666668,0.0
17.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,30/70,0.35,0.7,0.0
18.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,40/60,0.12666667,0.2533333333333333,0.0
19.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,50/50,0.11333334,0.2266666666666666,0.0
20.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,20/80,0.49666667,0.9933333333333332,0.0
21.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,30/70,0.47333336,0.9466666666666668,0.0
