Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.14236112,0.2753623188405797,0.02
1.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.09246575,0.1619718309859155,0.0266666666666666
2.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.088435374,0.1379310344827586,0.0402684563758389
3.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.050847456,0.0684931506849315,0.0335570469798657
4.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.13993174,0.2797202797202797,0.0066666666666666
5.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.044217687,0.0763888888888889,0.0133333333333333
6.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.016949153,0.0206896551724137,0.0133333333333333
7.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.030405406,0.0136986301369863,0.0466666666666666
8.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.17966102,0.3655172413793103,0.0
9.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.12585033,0.2569444444444444,0.0
10.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.084745765,0.1724137931034483,0.0
11.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.061016947,0.1172413793103448,0.0066666666666666
12.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.16,0.2933333333333333,0.0266666666666666
13.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.11333334,0.1866666666666666,0.04
14.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.11,0.18,0.04
