Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,20/80,0.034722224,0.072463768115942,0.0
1.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,30/70,0.020547945,0.0352112676056338,0.0066666666666666
2.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,40/60,0.017006803,0.0206896551724137,0.0134228187919463
3.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,50/50,0.020338982,0.0273972602739726,0.0134228187919463
4.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,20/80,0.054607507,0.1118881118881118,0.0
5.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,30/70,0.013605442,0.0208333333333333,0.0066666666666666
6.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,40/60,0.0033898305,0.0,0.0066666666666666
7.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,50/50,0.010135136,0.0,0.02
8.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,20/80,0.10508475,0.2137931034482758,0.0
9.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,30/70,0.06462585,0.1319444444444444,0.0
10.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,40/60,0.054237287,0.1103448275862069,0.0
11.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,50/50,0.023728814,0.0482758620689655,0.0
12.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,20/80,0.033333335,0.0666666666666666,0.0
13.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,30/70,0.030000001,0.06,0.0
14.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,40/60,0.023333333,0.04,0.0066666666666666
15.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,50/50,0.026666667,0.0466666666666666,0.0066666666666666
16.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,20/80,0.05666667,0.1133333333333333,0.0
17.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,30/70,0.026666667,0.0466666666666666,0.0066666666666666
18.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,40/60,0.02,0.04,0.0
19.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,50/50,0.016666668,0.02,0.0133333333333333
20.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,20/80,0.09666667,0.1933333333333333,0.0
21.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,30/70,0.033333335,0.0666666666666666,0.0
22.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,40/60,0.026666667,0.0533333333333333,0.0
23.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,50/50,0.023333333,0.0466666666666666,0.0
24.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,20/80,0.017361112,0.0289855072463768,0.0066666666666666
25.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,30/70,0.0102739725,0.0211267605633802,0.0
26.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,40/60,0.010204081,0.0068965517241379,0.0134228187919463
27.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,50/50,0.006779661,0.0068493150684931,0.0067114093959731
28.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,20/80,0.03754266,0.0769230769230769,0.0
29.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,30/70,0.017006803,0.0347222222222222,0.0
30.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,40/60,0.0033898305,0.0068965517241379,0.0
31.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,50/50,0.006756757,0.0,0.0133333333333333
32.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,20/80,0.12881356,0.2620689655172414,0.0
33.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,30/70,0.037414964,0.0694444444444444,0.0066666666666666
34.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,40/60,0.016949153,0.0275862068965517,0.0066666666666666
35.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,50/50,0.006779661,0.0068965517241379,0.0066666666666666
36.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,20/80,0.04,0.04,0.04
37.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,30/70,0.023333333,0.04,0.0066666666666666
38.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,40/60,0.023333333,0.0333333333333333,0.0133333333333333
39.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,50/50,0.02,0.0333333333333333,0.0066666666666666
40.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,20/80,0.03666667,0.0666666666666666,0.0066666666666666
41.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,30/70,0.026666667,0.0333333333333333,0.02
42.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,40/60,0.023333333,0.0266666666666666,0.02
43.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,50/50,0.030000001,0.02,0.04
44.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,20/80,0.033333335,0.06,0.0066666666666666
45.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,30/70,0.030000001,0.0466666666666666,0.0133333333333333
46.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,40/60,0.030000001,0.04,0.02
47.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,50/50,0.026666667,0.0333333333333333,0.02
48.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,20/80,0.027777778,0.0579710144927536,0.0
49.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,30/70,0.48630136,1.0,0.0
