Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,20/80,0.048611112,0.0797101449275362,0.02
1.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,30/70,0.034246575,0.028169014084507,0.04
2.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,40/60,0.047619045,0.0413793103448275,0.0536912751677852
3.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,50/50,0.044067796,0.0273972602739726,0.0604026845637583
4.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,20/80,0.020477815,0.0419580419580419,0.0
5.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,30/70,0.013605442,0.0277777777777777,0.0
6.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,40/60,0.013559322,0.0206896551724137,0.0066666666666666
7.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,50/50,0.013513514,0.0136986301369863,0.0133333333333333
8.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,20/80,0.016949153,0.0344827586206896,0.0
9.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,30/70,0.006802721,0.0138888888888888,0.0
10.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,40/60,0.006779661,0.0137931034482758,0.0
11.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,50/50,0.013559322,0.0068965517241379,0.02
12.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,20/80,0.086666666,0.1133333333333333,0.06
13.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,30/70,0.06333333,0.0466666666666666,0.08
14.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,40/60,0.086666666,0.0466666666666666,0.1266666666666666
15.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,50/50,0.06666667,0.0533333333333333,0.08
16.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,20/80,0.033333335,0.06,0.0066666666666666
17.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,30/70,0.030000001,0.0466666666666666,0.0133333333333333
18.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,40/60,0.026666667,0.0466666666666666,0.0066666666666666
19.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,50/50,0.043333333,0.0333333333333333,0.0533333333333333
20.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,20/80,0.030000001,0.06,0.0
21.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,30/70,0.013333334,0.02,0.0066666666666666
22.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,40/60,0.013333334,0.02,0.0066666666666666
