Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,20/80,0.114583336,0.181159420289855,0.0533333333333333
1.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,30/70,0.23972602,0.0211267605633802,0.4466666666666666
2.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,40/60,0.3537415,0.0068965517241379,0.6912751677852349
3.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,50/50,0.34237286,0.0,0.6778523489932886
4.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,20/80,0.331058,0.6783216783216783,0.0
5.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,30/70,0.26190475,0.5277777777777778,0.0066666666666666
6.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,40/60,0.20338982,0.4,0.0133333333333333
7.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,50/50,0.20608109,0.1438356164383561,0.2666666666666666
8.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,20/80,0.1559322,0.3172413793103448,0.0
9.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,30/70,0.11564626,0.1805555555555555,0.0533333333333333
10.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,40/60,0.122033894,0.096551724137931,0.1466666666666666
11.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,50/50,0.16271186,0.0482758620689655,0.2733333333333333
12.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,20/80,0.29333335,0.0533333333333333,0.5333333333333333
13.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,30/70,0.34666666,0.0266666666666666,0.6666666666666666
14.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,40/60,0.40666667,0.0,0.8133333333333334
15.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,50/50,0.39000002,0.0,0.78
16.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,20/80,0.26666668,0.52,0.0133333333333333
17.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,30/70,0.20666668,0.3333333333333333,0.08
18.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,40/60,0.18333334,0.28,0.0866666666666666
19.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,50/50,0.24000001,0.14,0.34
20.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,20/80,0.17333333,0.3333333333333333,0.0133333333333333
21.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,30/70,0.11333334,0.1666666666666666,0.06
22.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,40/60,0.15333334,0.1,0.2066666666666666
23.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,50/50,0.22666667,0.06,0.3933333333333333
24.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,bing,20/80,0.16319445,0.2681159420289855,0.0666666666666666
