Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,20/80,0.034722224,0.072463768115942,0.0
1.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,30/70,0.006849315,0.0140845070422535,0.0
2.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,40/60,0.020408163,0.0413793103448275,0.0
3.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,50/50,0.037288137,0.0753424657534246,0.0
4.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,20/80,0.013651877,0.0279720279720279,0.0
5.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,30/70,0.0034013605,0.0069444444444444,0.0
6.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,40/60,0.0033898305,0.0068965517241379,0.0
7.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,50/50,0.0033783785,0.0068493150684931,0.0
8.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,20/80,0.013559322,0.0275862068965517,0.0
9.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,30/70,0.0,0.0,0.0
10.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,40/60,0.0,0.0,0.0
11.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,50/50,0.0,0.0,0.0
12.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,20/80,0.05666667,0.1133333333333333,0.0
13.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,30/70,0.07666667,0.1533333333333333,0.0
14.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,40/60,0.03666667,0.0733333333333333,0.0
15.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,50/50,0.04,0.08,0.0
16.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,20/80,0.046666667,0.0933333333333333,0.0
17.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,30/70,0.02,0.04,0.0
18.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,40/60,0.02,0.04,0.0
19.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,50/50,0.016666668,0.0333333333333333,0.0
20.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,20/80,0.03666667,0.0733333333333333,0.0
21.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,30/70,0.030000001,0.06,0.0
22.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,40/60,0.02,0.04,0.0
23.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,50/50,0.016666668,0.0333333333333333,0.0
24.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,20/80,0.013888889,0.0289855072463768,0.0
25.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,30/70,0.01369863,0.028169014084507,0.0
26.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,40/60,0.010204081,0.0206896551724137,0.0
27.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,50/50,0.020338982,0.0410958904109589,0.0
28.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,20/80,0.0034129692,0.0069930069930069,0.0
29.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,30/70,0.0034013605,0.0069444444444444,0.0
30.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,40/60,0.0,0.0,0.0
31.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,50/50,0.0,0.0,0.0
32.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,20/80,0.023728814,0.0482758620689655,0.0
33.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,30/70,0.0034013605,0.0069444444444444,0.0
34.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,40/60,0.0033898305,0.0068965517241379,0.0
35.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,50/50,0.0,0.0,0.0
36.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,google,20/80,0.046666667,0.0933333333333333,0.0
37.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,google,30/70,0.06333333,0.1266666666666666,0.0
38.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,google,40/60,0.046666667,0.0933333333333333,0.0
39.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,google,50/50,0.033333335,0.0666666666666666,0.0
40.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,google,20/80,0.04,0.08,0.0
41.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,google,30/70,0.016666668,0.0333333333333333,0.0
42.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,google,40/60,0.016666668,0.0333333333333333,0.0
43.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,google,50/50,0.01,0.02,0.0
44.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,google,20/80,0.03666667,0.0733333333333333,0.0
45.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,google,30/70,0.023333333,0.0466666666666666,0.0
46.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,google,40/60,0.02,0.04,0.0
47.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,google,50/50,0.016666668,0.0333333333333333,0.0
48.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,bing,20/80,0.05902778,0.1231884057971014,0.0
49.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,bing,30/70,0.48630136,1.0,0.0
50.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,bing,40/60,0.030612245,0.0551724137931034,0.0067114093959731
51.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,bing,50/50,0.0033898305,0.0068493150684931,0.0
52.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,bing,20/80,0.0,0.0,0.0
53.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,bing,30/70,0.0,0.0,0.0
54.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,bing,40/60,0.0,0.0,0.0
55.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,bing,50/50,0.0,0.0,0.0
56.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,bing,20/80,0.006779661,0.0137931034482758,0.0
57.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,bing,30/70,0.006802721,0.0138888888888888,0.0
58.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,bing,40/60,0.006779661,0.0,0.0133333333333333
59.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,bing,50/50,0.0033898305,0.0068965517241379,0.0
60.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,google,20/80,0.06666667,0.1333333333333333,0.0
61.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,google,30/70,0.5,1.0,0.0
62.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,google,40/60,0.03666667,0.0466666666666666,0.0266666666666666
63.0,bing,False,SaltPepper,alexnet,20/80,adaptive,alexnet,google,50/50,0.030000001,0.04,0.02
64.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,google,20/80,0.01,0.02,0.0
65.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,google,30/70,0.01,0.02,0.0
66.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,google,40/60,0.01,0.0133333333333333,0.0066666666666666
67.0,bing,False,SaltPepper,alexnet,20/80,adaptive,resnet,google,50/50,0.006666667,0.0066666666666666,0.0066666666666666
68.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,google,20/80,0.023333333,0.0466666666666666,0.0
69.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,google,30/70,0.016666668,0.0266666666666666,0.0066666666666666
70.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,google,40/60,0.02,0.04,0.0
71.0,bing,False,SaltPepper,alexnet,20/80,adaptive,vgg,google,50/50,0.016666668,0.0333333333333333,0.0
72.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,bing,20/80,0.024305556,0.0507246376811594,0.0
73.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,bing,30/70,0.017123288,0.0352112676056338,0.0
74.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,bing,40/60,0.010204081,0.0206896551724137,0.0
75.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,bing,50/50,0.006779661,0.0136986301369863,0.0
76.0,bing,False,SaltPepper,alexnet,20/80,curriculum,resnet,bing,20/80,0.0034129692,0.0069930069930069,0.0
77.0,bing,False,SaltPepper,alexnet,20/80,curriculum,resnet,bing,30/70,0.0,0.0,0.0
78.0,bing,False,SaltPepper,alexnet,20/80,curriculum,resnet,bing,40/60,0.0,0.0,0.0
79.0,bing,False,SaltPepper,alexnet,20/80,curriculum,resnet,bing,50/50,0.0,0.0,0.0
80.0,bing,False,SaltPepper,alexnet,20/80,curriculum,vgg,bing,20/80,0.0033898305,0.0068965517241379,0.0
81.0,bing,False,SaltPepper,alexnet,20/80,curriculum,vgg,bing,30/70,0.0034013605,0.0069444444444444,0.0
82.0,bing,False,SaltPepper,alexnet,20/80,curriculum,vgg,bing,40/60,0.0,0.0,0.0
83.0,bing,False,SaltPepper,alexnet,20/80,curriculum,vgg,bing,50/50,0.0,0.0,0.0
84.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,google,20/80,0.06666667,0.1333333333333333,0.0
85.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,google,30/70,0.03666667,0.0733333333333333,0.0
86.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,google,40/60,0.03666667,0.0733333333333333,0.0
87.0,bing,False,SaltPepper,alexnet,20/80,curriculum,alexnet,google,50/50,0.046666667,0.0933333333333333,0.0
