Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,20/80,0.16319445,0.3405797101449275,0.0
1.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,30/70,0.10616438,0.2112676056338028,0.0066666666666666
2.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,40/60,0.1972789,0.4,0.0
3.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,50/50,0.07457627,0.1232876712328767,0.0268456375838926
4.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,20/80,0.24914674,0.5104895104895105,0.0
5.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,30/70,0.207483,0.4236111111111111,0.0
6.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,40/60,0.13559322,0.2689655172413793,0.0066666666666666
7.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,50/50,0.13175675,0.2054794520547945,0.06
8.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,20/80,0.13559322,0.096551724137931,0.1733333333333333
9.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,30/70,0.21088435,0.0486111111111111,0.3666666666666666
10.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,40/60,0.2237288,0.0,0.44
11.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,50/50,0.16949153,0.0,0.3333333333333333
12.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,20/80,0.22666667,0.4533333333333333,0.0
13.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,30/70,0.11,0.2133333333333333,0.0066666666666666
14.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,40/60,0.17666668,0.3533333333333333,0.0
15.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,50/50,0.093333334,0.1133333333333333,0.0733333333333333
16.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,20/80,0.19333334,0.38,0.0066666666666666
17.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,30/70,0.18333334,0.2533333333333333,0.1133333333333333
18.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,40/60,0.19333334,0.2133333333333333,0.1733333333333333
19.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,50/50,0.19,0.2,0.18
20.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,20/80,0.25,0.0733333333333333,0.4266666666666667
21.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,30/70,0.24666667,0.04,0.4533333333333333
22.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,40/60,0.28333333,0.04,0.5266666666666666
23.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,50/50,0.28333333,0.0266666666666666,0.54
24.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,20/80,0.052083332,0.072463768115942,0.0333333333333333
25.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,30/70,0.09589041,0.0422535211267605,0.1466666666666666
26.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,40/60,0.14285713,0.0275862068965517,0.2550335570469799
