Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.29166666,0.3550724637681159,0.2333333333333333
1.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.34931508,0.2887323943661972,0.4066666666666667
2.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.36734694,0.3379310344827586,0.3959731543624161
3.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.3016949,0.2123287671232876,0.3892617449664429
4.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.054607507,0.1118881118881118,0.0
5.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.013605442,0.0208333333333333,0.0066666666666666
6.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.013559322,0.0206896551724137,0.0066666666666666
7.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.020270271,0.0205479452054794,0.02
8.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.05762712,0.1172413793103448,0.0
9.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.027210884,0.0416666666666666,0.0133333333333333
10.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.023728814,0.0206896551724137,0.0266666666666666
11.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.016949153,0.0275862068965517,0.0066666666666666
12.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.24666667,0.3733333333333333,0.12
13.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.28,0.3133333333333333,0.2466666666666666
14.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.24333334,0.2666666666666666,0.22
15.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.23,0.2333333333333333,0.2266666666666666
16.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.06333333,0.1266666666666666,0.0
17.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.03666667,0.06,0.0133333333333333
18.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.033333335,0.0533333333333333,0.0133333333333333
19.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.033333335,0.0466666666666666,0.02
20.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.06333333,0.1266666666666666,0.0
21.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.033333335,0.0666666666666666,0.0
22.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.030000001,0.06,0.0
23.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.03666667,0.06,0.0133333333333333
24.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.2777778,0.3333333333333333,0.2266666666666666
