Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.4519573,0.7555555555555555,0.1712328767123287
1.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.4894366,0.6911764705882353,0.304054054054054
2.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.47183096,0.5683453237410072,0.3793103448275862
3.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.4548611,0.5347222222222222,0.375
4.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,20/80,0.21453288,0.3571428571428571,0.0805369127516778
5.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,30/70,0.17182131,0.2253521126760563,0.1208053691275167
6.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,40/60,0.18088737,0.2534246575342466,0.1088435374149659
7.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,50/50,0.17006803,0.2108843537414966,0.1292517006802721
8.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,20/80,0.19097222,0.3071428571428571,0.081081081081081
9.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,30/70,0.1764706,0.2605633802816901,0.0952380952380952
10.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,40/60,0.19863014,0.3103448275862069,0.0884353741496598
11.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,50/50,0.18150684,0.2465753424657534,0.1164383561643835
12.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,20/80,0.45333335,0.64,0.2666666666666666
13.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,30/70,0.48000002,0.62,0.34
14.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,40/60,0.43333334,0.5066666666666667,0.36
15.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,50/50,0.46,0.42,0.5
16.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,20/80,0.22333334,0.38,0.0666666666666666
17.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,30/70,0.19333334,0.3066666666666666,0.08
18.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,40/60,0.19,0.2333333333333333,0.1466666666666666
19.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,50/50,0.19,0.22,0.16
20.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,20/80,0.22666667,0.38,0.0733333333333333
21.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,30/70,0.23666668,0.3666666666666666,0.1066666666666666
22.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,40/60,0.22666667,0.32,0.1333333333333333
23.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,google,50/50,0.21666667,0.2466666666666666,0.1866666666666666
24.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,20/80,0.3772242,0.6222222222222222,0.1506849315068493
25.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,30/70,0.38732395,0.6397058823529411,0.1554054054054054
26.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,40/60,0.36619717,0.5107913669064749,0.2275862068965517
27.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,bing,50/50,0.3125,0.3402777777777778,0.2847222222222222
28.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,20/80,0.19377163,0.3357142857142857,0.0604026845637583
29.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,30/70,0.18900344,0.2746478873239437,0.1073825503355704
30.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,40/60,0.16382252,0.2397260273972602,0.0884353741496598
31.0,bing,True,BIM,alexnet,20/80,PGD,resnet,bing,50/50,0.14285713,0.1768707482993197,0.1088435374149659
32.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,20/80,0.18402778,0.3,0.0743243243243243
33.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,30/70,0.16955018,0.2464788732394366,0.0952380952380952
34.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,40/60,0.16438356,0.2275862068965517,0.1020408163265306
35.0,bing,True,BIM,alexnet,20/80,PGD,vgg,bing,50/50,0.15410958,0.1712328767123287,0.136986301369863
36.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,google,20/80,0.40666667,0.6666666666666666,0.1466666666666666
37.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,google,30/70,0.39000002,0.5266666666666666,0.2533333333333333
38.0,bing,True,BIM,alexnet,20/80,PGD,alexnet,google,40/60,0.36333334,0.4133333333333333,0.3133333333333333
