Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,20/80,0.13167259,0.1555555555555555,0.1095890410958904
1.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,30/70,0.13732395,0.0441176470588235,0.2229729729729729
2.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,40/60,0.109154925,0.1510791366906475,0.0689655172413793
3.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,bing,50/50,0.12847222,0.0625,0.1944444444444444
4.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,20/80,0.11418685,0.1357142857142857,0.0939597315436241
5.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,30/70,0.13402063,0.1126760563380281,0.1543624161073825
6.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,40/60,0.11945392,0.1095890410958904,0.1292517006802721
7.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,bing,50/50,0.11904762,0.0748299319727891,0.1632653061224489
8.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,20/80,0.1388889,0.25,0.0337837837837837
9.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,30/70,0.11764706,0.1126760563380281,0.1224489795918367
10.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,40/60,0.14383562,0.1448275862068965,0.1428571428571428
11.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,bing,50/50,0.13356164,0.0958904109589041,0.1712328767123287
12.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,20/80,0.22333334,0.3866666666666666,0.06
13.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,30/70,0.20333333,0.3333333333333333,0.0733333333333333
14.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,40/60,0.13666667,0.1333333333333333,0.14
15.0,bing,False,BoxBlur,alexnet,20/80,FGSM,alexnet,google,50/50,0.14333333,0.0666666666666666,0.22
16.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,20/80,0.26000002,0.5,0.02
17.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,30/70,0.22666667,0.42,0.0333333333333333
18.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,40/60,0.15666667,0.2266666666666666,0.0866666666666666
19.0,bing,False,BoxBlur,alexnet,20/80,FGSM,resnet,google,50/50,0.123333335,0.1333333333333333,0.1133333333333333
20.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,20/80,0.28666666,0.5533333333333333,0.02
21.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,30/70,0.2,0.3733333333333333,0.0266666666666666
22.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,40/60,0.15333334,0.2066666666666666,0.1
23.0,bing,False,BoxBlur,alexnet,20/80,FGSM,vgg,google,50/50,0.12666667,0.12,0.1333333333333333
24.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,20/80,0.11743772,0.0888888888888888,0.1438356164383561
25.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,30/70,0.123239435,0.0588235294117647,0.1824324324324324
26.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,40/60,0.12676056,0.0287769784172661,0.2206896551724138
27.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,bing,50/50,0.1388889,0.0486111111111111,0.2291666666666666
28.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,20/80,0.11418685,0.1071428571428571,0.1208053691275167
29.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,30/70,0.11683849,0.056338028169014,0.174496644295302
30.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,40/60,0.11604095,0.0410958904109589,0.1904761904761904
31.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,bing,50/50,0.1122449,0.0340136054421768,0.1904761904761904
32.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,20/80,0.15277778,0.2142857142857142,0.0945945945945946
33.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,30/70,0.12110727,0.0774647887323943,0.1632653061224489
34.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,40/60,0.13013698,0.0827586206896551,0.1768707482993197
35.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,bing,50/50,0.11643836,0.0342465753424657,0.1986301369863013
36.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,20/80,0.19333334,0.3333333333333333,0.0533333333333333
37.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,30/70,0.16,0.22,0.1
38.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,40/60,0.17666668,0.1066666666666666,0.2466666666666666
39.0,bing,False,BoxBlur,alexnet,20/80,PGD,alexnet,google,50/50,0.16666667,0.0866666666666666,0.2466666666666666
40.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,20/80,0.20333333,0.3866666666666666,0.02
41.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,30/70,0.17,0.3,0.04
42.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,40/60,0.123333335,0.12,0.1266666666666666
43.0,bing,False,BoxBlur,alexnet,20/80,PGD,resnet,google,50/50,0.11,0.04,0.18
44.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,20/80,0.22666667,0.4,0.0533333333333333
45.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,30/70,0.18333334,0.2933333333333333,0.0733333333333333
46.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,40/60,0.12666667,0.12,0.1333333333333333
47.0,bing,False,BoxBlur,alexnet,20/80,PGD,vgg,google,50/50,0.120000005,0.0466666666666666,0.1933333333333333
48.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,20/80,0.22064057,0.3851851851851852,0.0684931506849315
49.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,30/70,0.34507042,0.0588235294117647,0.6081081081081081
50.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,40/60,0.20774648,0.158273381294964,0.2551724137931034
51.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,bing,50/50,0.21527778,0.0972222222222222,0.3333333333333333
52.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,20/80,0.28027683,0.5571428571428572,0.0201342281879194
53.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,30/70,0.25773197,0.0633802816901408,0.4429530201342282
54.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,40/60,0.18088737,0.2465753424657534,0.1156462585034013
55.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,bing,50/50,0.17006803,0.0952380952380952,0.2448979591836734
56.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,20/80,0.3611111,0.7285714285714285,0.0135135135135135
57.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,30/70,0.23529412,0.1901408450704225,0.2789115646258503
58.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,40/60,0.22945206,0.3103448275862069,0.1496598639455782
59.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,bing,50/50,0.22260274,0.2260273972602739,0.2191780821917808
60.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,20/80,0.41,0.8133333333333334,0.0066666666666666
61.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,30/70,0.25,0.3533333333333333,0.1466666666666666
62.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,40/60,0.23,0.22,0.24
63.0,bing,False,BoxBlur,alexnet,20/80,adaptive,alexnet,google,50/50,0.17,0.2,0.14
64.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,20/80,0.27,0.5,0.04
65.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,30/70,0.33666667,0.64,0.0333333333333333
66.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,40/60,0.26000002,0.06,0.46
67.0,bing,False,BoxBlur,alexnet,20/80,adaptive,resnet,google,50/50,0.16666667,0.1466666666666666,0.1866666666666666
68.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,20/80,0.4766667,0.9533333333333334,0.0
69.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,30/70,0.38,0.7133333333333334,0.0466666666666666
70.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,40/60,0.4166667,0.8066666666666666,0.0266666666666666
71.0,bing,False,BoxBlur,alexnet,20/80,adaptive,vgg,google,50/50,0.26000002,0.3533333333333333,0.1666666666666666
72.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,20/80,0.12099644,0.1185185185185185,0.1232876712328767
73.0,bing,False,BoxBlur,alexnet,20/80,curriculum,alexnet,bing,30/70,0.14436619,0.0294117647058823,0.25
