Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,20/80,0.36654803,0.725925925925926,0.0342465753424657
1.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,30/70,0.27112675,0.3970588235294117,0.1554054054054054
2.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,40/60,0.3309859,0.5107913669064749,0.1586206896551724
3.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,50/50,0.22916667,0.2222222222222222,0.2361111111111111
4.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,20/80,0.4117647,0.8285714285714286,0.0201342281879194
5.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,30/70,0.3676976,0.7112676056338029,0.0402684563758389
6.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,40/60,0.20136519,0.363013698630137,0.0408163265306122
7.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,50/50,0.14965986,0.1700680272108843,0.1292517006802721
8.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,20/80,0.35416666,0.7214285714285714,0.0067567567567567
9.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,30/70,0.23529412,0.4718309859154929,0.0068027210884353
10.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,40/60,0.2979452,0.5862068965517241,0.0136054421768707
11.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,50/50,0.11643836,0.1986301369863013,0.0342465753424657
12.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,20/80,0.40666667,0.74,0.0733333333333333
13.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,30/70,0.30333334,0.4733333333333333,0.1333333333333333
14.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,40/60,0.36666667,0.5866666666666667,0.1466666666666666
15.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,50/50,0.27666667,0.2866666666666667,0.2666666666666666
16.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,20/80,0.39666668,0.78,0.0133333333333333
17.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,30/70,0.32333335,0.6133333333333333,0.0333333333333333
18.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,40/60,0.22333334,0.3866666666666666,0.06
19.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,50/50,0.120000005,0.12,0.12
20.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,20/80,0.34666666,0.68,0.0133333333333333
21.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,30/70,0.40333334,0.78,0.0266666666666666
22.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,40/60,0.28,0.5266666666666666,0.0333333333333333
23.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,50/50,0.17333333,0.3,0.0466666666666666
24.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,20/80,0.40925267,0.837037037037037,0.0136986301369863
25.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,30/70,0.17605634,0.2573529411764705,0.1013513513513513
26.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,40/60,0.21478873,0.2805755395683453,0.1517241379310344
27.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,50/50,0.1701389,0.2291666666666666,0.1111111111111111
28.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,20/80,0.33910036,0.6857142857142857,0.0134228187919463
29.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,30/70,0.2371134,0.4577464788732394,0.0268456375838926
30.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,40/60,0.19795221,0.3698630136986301,0.0272108843537414
31.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,50/50,0.17346938,0.2448979591836734,0.1020408163265306
32.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,20/80,0.30555555,0.6214285714285714,0.0067567567567567
33.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,30/70,0.183391,0.3591549295774648,0.0136054421768707
34.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,40/60,0.1369863,0.2482758620689655,0.0272108843537414
35.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,50/50,0.10273972,0.1301369863013698,0.0753424657534246
36.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,google,20/80,0.34,0.6333333333333333,0.0466666666666666
37.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,google,30/70,0.32,0.5533333333333333,0.0866666666666666
38.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,google,40/60,0.24333334,0.38,0.1066666666666666
39.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,google,50/50,0.23666668,0.3266666666666666,0.1466666666666666
40.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,google,20/80,0.23333333,0.4466666666666666,0.02
41.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,google,30/70,0.16,0.2733333333333333,0.0466666666666666
42.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,google,40/60,0.13666667,0.1533333333333333,0.12
43.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,google,50/50,0.14666668,0.08,0.2133333333333333
44.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,google,20/80,0.30666667,0.5866666666666667,0.0266666666666666
45.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,google,30/70,0.15666667,0.2733333333333333,0.04
