Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.3807829,0.6666666666666666,0.1164383561643835
1.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.34154928,0.3823529411764705,0.304054054054054
2.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.43309858,0.6187050359712231,0.2551724137931034
3.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.34375,0.25,0.4375
4.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.23875433,0.3857142857142857,0.1006711409395973
5.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.2646048,0.2746478873239437,0.2550335570469799
6.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.22184299,0.2671232876712329,0.1768707482993197
7.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.22789115,0.1020408163265306,0.3537414965986394
8.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.3125,0.6142857142857143,0.027027027027027
9.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.2698962,0.4154929577464789,0.1292517006802721
10.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.25,0.4275862068965517,0.0748299319727891
11.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.24657534,0.2534246575342466,0.2397260273972602
12.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.43666667,0.66,0.2133333333333333
13.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.41,0.3,0.52
14.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.36333334,0.2333333333333333,0.4933333333333333
15.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.4166667,0.2066666666666666,0.6266666666666667
16.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.29333335,0.4933333333333333,0.0933333333333333
17.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.25666666,0.3533333333333333,0.16
18.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.22,0.2333333333333333,0.2066666666666666
19.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.19333334,0.1133333333333333,0.2733333333333333
20.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.34333333,0.66,0.0266666666666666
21.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.31333333,0.5933333333333334,0.0333333333333333
22.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.24333334,0.3333333333333333,0.1533333333333333
23.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.24666667,0.2533333333333333,0.24
24.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.3024911,0.4296296296296296,0.184931506849315
25.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,30/70,0.3309859,0.25,0.4054054054054054
26.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,40/60,0.3591549,0.2014388489208633,0.5103448275862069
27.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,50/50,0.2777778,0.1944444444444444,0.3611111111111111
28.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,20/80,0.24567474,0.3571428571428571,0.1409395973154362
29.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,30/70,0.24742268,0.2253521126760563,0.2684563758389262
30.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,40/60,0.2423208,0.1986301369863013,0.2857142857142857
31.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,50/50,0.25510204,0.0816326530612244,0.4285714285714285
32.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,20/80,0.2326389,0.3785714285714285,0.0945945945945946
33.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,30/70,0.21107267,0.1971830985915492,0.2244897959183673
34.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,40/60,0.21232876,0.1379310344827586,0.2857142857142857
35.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,50/50,0.24315068,0.0958904109589041,0.3904109589041096
36.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,20/80,0.37666667,0.5133333333333333,0.24
37.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,30/70,0.32666668,0.3,0.3533333333333333
38.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,40/60,0.30666667,0.1733333333333333,0.44
39.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,50/50,0.32,0.1733333333333333,0.4666666666666667
40.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,20/80,0.26000002,0.2666666666666666,0.2533333333333333
41.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,30/70,0.28,0.2,0.36
42.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,40/60,0.28,0.08,0.48
43.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,50/50,0.29666668,0.0266666666666666,0.5666666666666667
44.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,20/80,0.24000001,0.34,0.14
45.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,30/70,0.24000001,0.1933333333333333,0.2866666666666667
46.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,40/60,0.28,0.0666666666666666,0.4933333333333333
47.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,50/50,0.3,0.04,0.56
48.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,20/80,0.4519573,0.9185185185185184,0.0205479452054794
49.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,30/70,0.39084506,0.7352941176470589,0.0743243243243243
50.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,40/60,0.3309859,0.6258992805755396,0.0482758620689655
51.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,50/50,0.3298611,0.5416666666666666,0.1180555555555555
52.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,20/80,0.42214534,0.8714285714285714,0.0
53.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,30/70,0.25773197,0.4084507042253521,0.1140939597315436
54.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,40/60,0.3105802,0.5616438356164384,0.0612244897959183
55.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,50/50,0.17006803,0.2925170068027211,0.0476190476190476
56.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,bing,20/80,0.4513889,0.9214285714285714,0.0067567567567567
57.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,bing,30/70,0.23183392,0.4436619718309859,0.0272108843537414
58.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,bing,40/60,0.25342464,0.4206896551724138,0.0884353741496598
59.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,bing,50/50,0.27739725,0.363013698630137,0.1917808219178082
60.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,google,20/80,0.46666667,0.8933333333333333,0.04
61.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,google,30/70,0.37333333,0.6266666666666667,0.12
62.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,google,40/60,0.39333335,0.58,0.2066666666666666
63.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,google,50/50,0.38,0.4933333333333333,0.2666666666666666
64.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,google,20/80,0.19,0.3466666666666667,0.0333333333333333
65.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,google,30/70,0.29666668,0.52,0.0733333333333333
66.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,google,40/60,0.25333333,0.3866666666666666,0.12
67.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,google,50/50,0.13000001,0.0933333333333333,0.1666666666666666
68.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,google,20/80,0.29333335,0.5266666666666666,0.06
69.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,google,30/70,0.32,0.4333333333333333,0.2066666666666666
70.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,google,40/60,0.29000002,0.4066666666666667,0.1733333333333333
71.0,bing,True,FGSM,alexnet,20/80,adaptive,vgg,google,50/50,0.29333335,0.1,0.4866666666666667
72.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,bing,20/80,0.23131673,0.3925925925925926,0.0821917808219178
73.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,bing,30/70,0.22535211,0.3382352941176471,0.1216216216216216
74.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,bing,40/60,0.21830985,0.3237410071942446,0.1172413793103448
75.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,bing,50/50,0.23958333,0.1527777777777778,0.3263888888888889
76.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,bing,20/80,0.16262977,0.2214285714285714,0.1073825503355704
77.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,bing,30/70,0.18213059,0.2746478873239437,0.0939597315436241
78.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,bing,40/60,0.15699658,0.1506849315068493,0.1632653061224489
79.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,bing,50/50,0.15646258,0.1224489795918367,0.1904761904761904
80.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,bing,20/80,0.19791667,0.2928571428571428,0.1081081081081081
81.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,bing,30/70,0.16608997,0.2323943661971831,0.1020408163265306
82.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,bing,40/60,0.13356164,0.1517241379310344,0.1156462585034013
83.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,bing,50/50,0.1609589,0.0890410958904109,0.2328767123287671
84.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,google,20/80,0.30666667,0.48,0.1333333333333333
85.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,google,30/70,0.3,0.4733333333333333,0.1266666666666666
86.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,google,40/60,0.29333335,0.3866666666666666,0.2
87.0,bing,True,FGSM,alexnet,20/80,curriculum,alexnet,google,50/50,0.25333333,0.16,0.3466666666666667
88.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,google,20/80,0.21000001,0.3066666666666666,0.1133333333333333
89.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,google,30/70,0.21000001,0.28,0.14
90.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,google,40/60,0.15333334,0.1533333333333333,0.1533333333333333
91.0,bing,True,FGSM,alexnet,20/80,curriculum,resnet,google,50/50,0.15,0.12,0.18
92.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,google,20/80,0.2,0.2266666666666666,0.1733333333333333
93.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,google,30/70,0.17666668,0.22,0.1333333333333333
94.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,google,40/60,0.18,0.1533333333333333,0.2066666666666666
95.0,bing,True,FGSM,alexnet,20/80,curriculum,vgg,google,50/50,0.15333334,0.0866666666666666,0.22
96.0,bing,True,FGSM,alexnet,20/80,ensamble,alexnet,bing,20/80,0.23843417,0.3333333333333333,0.1506849315068493
97.0,bing,True,FGSM,alexnet,20/80,ensamble,alexnet,bing,30/70,0.29929578,0.25,0.3445945945945945
