Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,20/80,0.15302491,0.3111111111111111,0.0068493150684931
1.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,30/70,0.116197184,0.1911764705882352,0.0472972972972973
2.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,40/60,0.09507042,0.1798561151079136,0.0137931034482758
3.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,50/50,0.07986111,0.1180555555555555,0.0416666666666666
4.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,20/80,0.05882353,0.0785714285714285,0.0402684563758389
5.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,30/70,0.048109967,0.056338028169014,0.0402684563758389
6.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,40/60,0.054607507,0.0753424657534246,0.0340136054421768
7.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,50/50,0.054421768,0.0408163265306122,0.0680272108843537
8.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,20/80,0.13194445,0.2642857142857143,0.0067567567567567
9.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,30/70,0.10726644,0.1830985915492957,0.0340136054421768
10.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,40/60,0.1369863,0.2620689655172414,0.0136054421768707
11.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,50/50,0.08219178,0.1164383561643835,0.047945205479452
12.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,20/80,0.2,0.3666666666666666,0.0333333333333333
13.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,30/70,0.14666668,0.2133333333333333,0.08
14.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,40/60,0.11,0.1,0.12
15.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,50/50,0.123333335,0.1133333333333333,0.1333333333333333
16.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,20/80,0.13666667,0.2466666666666666,0.0266666666666666
17.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,30/70,0.10333334,0.1733333333333333,0.0333333333333333
18.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,40/60,0.093333334,0.14,0.0466666666666666
19.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,50/50,0.06333333,0.06,0.0666666666666666
20.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,20/80,0.21666667,0.4333333333333333,0.0
21.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,30/70,0.2,0.3866666666666666,0.0133333333333333
22.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,40/60,0.14,0.2466666666666666,0.0333333333333333
23.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,google,50/50,0.11333334,0.1666666666666666,0.06
24.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,20/80,0.09252669,0.1333333333333333,0.0547945205479452
25.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,30/70,0.109154925,0.1102941176470588,0.1081081081081081
26.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,40/60,0.1056338,0.0647482014388489,0.1448275862068965
27.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,bing,50/50,0.1388889,0.0694444444444444,0.2083333333333333
28.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,20/80,0.051903117,0.0928571428571428,0.0134228187919463
29.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,30/70,0.03436426,0.0352112676056338,0.0335570469798657
30.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,40/60,0.0443686,0.047945205479452,0.0408163265306122
31.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,bing,50/50,0.040816326,0.0136054421768707,0.0680272108843537
32.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,20/80,0.083333336,0.1357142857142857,0.0337837837837837
33.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,30/70,0.06920415,0.0774647887323943,0.0612244897959183
34.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,40/60,0.06506849,0.0482758620689655,0.0816326530612244
35.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,bing,50/50,0.05479452,0.0342465753424657,0.0753424657534246
36.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,20/80,0.17666668,0.28,0.0733333333333333
37.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,30/70,0.15,0.1466666666666666,0.1533333333333333
38.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,40/60,0.12666667,0.0933333333333333,0.16
39.0,bing,False,GaussianNoise,alexnet,20/80,PGD,alexnet,google,50/50,0.14666668,0.06,0.2333333333333333
40.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,20/80,0.09,0.1333333333333333,0.0466666666666666
41.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,30/70,0.07,0.0933333333333333,0.0466666666666666
42.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,40/60,0.060000002,0.0466666666666666,0.0733333333333333
43.0,bing,False,GaussianNoise,alexnet,20/80,PGD,resnet,google,50/50,0.07666667,0.02,0.1333333333333333
44.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,20/80,0.11333334,0.1666666666666666,0.06
45.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,30/70,0.07666667,0.06,0.0933333333333333
46.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,40/60,0.083333336,0.04,0.1266666666666666
47.0,bing,False,GaussianNoise,alexnet,20/80,PGD,vgg,google,50/50,0.09,0.0266666666666666,0.1533333333333333
48.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,20/80,0.25622776,0.5333333333333333,0.0
49.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,30/70,0.10211267,0.1838235294117647,0.027027027027027
50.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,40/60,0.09507042,0.1942446043165467,0.0
51.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,alexnet,bing,50/50,0.10069445,0.1666666666666666,0.0347222222222222
52.0,bing,False,GaussianNoise,alexnet,20/80,adaptive,resnet,bing,20/80,0.25951558,0.5357142857142857,0.0
