Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,20/80,0.085409254,0.1777777777777777,0.0
1.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,30/70,0.056338027,0.088235294117647,0.027027027027027
2.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,40/60,0.056338027,0.0863309352517985,0.0275862068965517
3.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,50/50,0.038194444,0.0555555555555555,0.0208333333333333
4.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,20/80,0.034602076,0.0642857142857142,0.0067114093959731
5.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,30/70,0.030927835,0.0352112676056338,0.0268456375838926
6.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,40/60,0.023890784,0.047945205479452,0.0
7.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,50/50,0.017006803,0.0204081632653061,0.0136054421768707
8.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,20/80,0.013888889,0.0285714285714285,0.0
9.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,30/70,0.010380623,0.0070422535211267,0.0136054421768707
10.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,40/60,0.01369863,0.0206896551724137,0.0068027210884353
11.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,50/50,0.01369863,0.0205479452054794,0.0068493150684931
12.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,20/80,0.11666667,0.2133333333333333,0.02
13.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,30/70,0.10333334,0.2066666666666666,0.0
14.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,40/60,0.086666666,0.14,0.0333333333333333
15.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,50/50,0.06333333,0.04,0.0866666666666666
16.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,20/80,0.06333333,0.1266666666666666,0.0
17.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,30/70,0.046666667,0.0933333333333333,0.0
18.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,40/60,0.030000001,0.0333333333333333,0.0266666666666666
19.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,50/50,0.030000001,0.0266666666666666,0.0333333333333333
20.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,20/80,0.046666667,0.0866666666666666,0.0066666666666666
21.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,30/70,0.03666667,0.0666666666666666,0.0066666666666666
22.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,40/60,0.030000001,0.04,0.02
23.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,50/50,0.026666667,0.0266666666666666,0.0266666666666666
24.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,20/80,0.046263345,0.0962962962962963,0.0
25.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,30/70,0.035211265,0.0514705882352941,0.0202702702702702
26.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,40/60,0.03169014,0.0431654676258992,0.0206896551724137
27.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,50/50,0.013888889,0.0208333333333333,0.0069444444444444
28.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,20/80,0.017301038,0.0285714285714285,0.0067114093959731
29.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,30/70,0.01718213,0.0211267605633802,0.0134228187919463
30.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,40/60,0.023890784,0.0410958904109589,0.0068027210884353
31.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,50/50,0.023809522,0.0340136054421768,0.0136054421768707
32.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,20/80,0.010416667,0.0214285714285714,0.0
33.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,30/70,0.013840831,0.028169014084507,0.0
34.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,40/60,0.006849315,0.0137931034482758,0.0
35.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,50/50,0.01369863,0.0205479452054794,0.0068493150684931
36.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,20/80,0.14,0.2733333333333333,0.0066666666666666
37.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,30/70,0.09666667,0.18,0.0133333333333333
38.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,40/60,0.06666667,0.1066666666666666,0.0266666666666666
39.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,50/50,0.06333333,0.0666666666666666,0.06
40.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,20/80,0.05,0.0933333333333333,0.0066666666666666
41.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,30/70,0.043333333,0.0733333333333333,0.0133333333333333
42.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,40/60,0.033333335,0.0466666666666666,0.02
43.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,50/50,0.030000001,0.02,0.04
44.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,20/80,0.05,0.0866666666666666,0.0133333333333333
45.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,30/70,0.04,0.0666666666666666,0.0133333333333333
46.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,40/60,0.030000001,0.04,0.02
47.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,50/50,0.026666667,0.02,0.0333333333333333
48.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,20/80,0.110320285,0.2296296296296296,0.0
49.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,30/70,0.045774646,0.0514705882352941,0.0405405405405405
50.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,40/60,0.038732395,0.0719424460431654,0.0068965517241379
51.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,50/50,0.052083332,0.0208333333333333,0.0833333333333333
52.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,20/80,0.19031143,0.3928571428571428,0.0
53.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,30/70,0.041237116,0.0070422535211267,0.0738255033557047
54.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,40/60,0.058020476,0.0890410958904109,0.0272108843537414
55.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,50/50,0.06802721,0.1224489795918367,0.0136054421768707
56.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,20/80,0.27083334,0.55,0.0067567567567567
57.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,30/70,0.07612457,0.1267605633802817,0.0272108843537414
58.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,40/60,0.04452055,0.0413793103448275,0.0476190476190476
59.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,50/50,0.07191781,0.0547945205479452,0.0890410958904109
60.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,google,20/80,0.11,0.2133333333333333,0.0066666666666666
