Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,20/80,0.17437722,0.0592592592592592,0.2808219178082192
1.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,30/70,0.19014084,0.0514705882352941,0.3175675675675675
2.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,40/60,0.21830985,0.0719424460431654,0.3586206896551724
3.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,50/50,0.2013889,0.0208333333333333,0.3819444444444444
4.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,20/80,0.11418685,0.05,0.174496644295302
5.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,30/70,0.16494846,0.0070422535211267,0.3154362416107382
6.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,40/60,0.16040955,0.0,0.3197278911564626
7.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,50/50,0.21088435,0.0,0.4217687074829932
8.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,20/80,0.16666667,0.0714285714285714,0.2567567567567567
9.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,30/70,0.21453288,0.028169014084507,0.3945578231292517
10.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,40/60,0.23630136,0.0275862068965517,0.4421768707482993
11.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,50/50,0.26712328,0.0068493150684931,0.5273972602739726
12.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,20/80,0.18666667,0.2133333333333333,0.16
13.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,30/70,0.19,0.0933333333333333,0.2866666666666667
14.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,40/60,0.23,0.06,0.4
15.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,50/50,0.33,0.0066666666666666,0.6533333333333333
16.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,20/80,0.13000001,0.1066666666666666,0.1533333333333333
