Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,20/80,0.42348754,0.7925925925925926,0.0821917808219178
1.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,30/70,0.4471831,0.7352941176470589,0.1824324324324324
2.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,40/60,0.40492958,0.5611510791366906,0.2551724137931034
3.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,50/50,0.38541666,0.4861111111111111,0.2847222222222222
4.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,20/80,0.16955018,0.2857142857142857,0.0604026845637583
5.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,30/70,0.1580756,0.2112676056338028,0.1073825503355704
6.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,40/60,0.15358362,0.2123287671232876,0.0952380952380952
7.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,50/50,0.12244898,0.1156462585034013,0.1292517006802721
8.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,20/80,0.2673611,0.5071428571428571,0.0405405405405405
9.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,30/70,0.21799308,0.3873239436619718,0.0544217687074829
10.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,40/60,0.28767124,0.5448275862068965,0.0340136054421768
11.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,50/50,0.21575342,0.3698630136986301,0.0616438356164383
12.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,20/80,0.44333336,0.7266666666666667,0.16
13.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,30/70,0.43666667,0.6333333333333333,0.24
14.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,40/60,0.39000002,0.5133333333333333,0.2666666666666666
15.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,50/50,0.36333334,0.3533333333333333,0.3733333333333333
16.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,20/80,0.21000001,0.3866666666666666,0.0333333333333333
17.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,30/70,0.19,0.32,0.06
18.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,40/60,0.15333334,0.2066666666666666,0.1
19.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,50/50,0.14,0.16,0.12
