Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.4733096,0.7777777777777778,0.1917808219178082
1.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.49295774,0.7205882352941176,0.2837837837837837
2.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.46830985,0.5755395683453237,0.3655172413793103
3.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.44791666,0.5138888888888888,0.3819444444444444
4.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.21799308,0.3714285714285714,0.0738255033557047
5.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.17869416,0.2464788732394366,0.1140939597315436
6.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.1774744,0.2534246575342466,0.1020408163265306
7.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.14965986,0.1768707482993197,0.1224489795918367
8.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.19444445,0.3142857142857143,0.081081081081081
9.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.15916955,0.2323943661971831,0.0884353741496598
10.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.19863014,0.3103448275862069,0.0884353741496598
11.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.18835616,0.2671232876712329,0.1095890410958904
12.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.4466667,0.64,0.2533333333333333
13.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.46666667,0.6133333333333333,0.32
14.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.43666667,0.5133333333333333,0.36
15.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.44333336,0.4133333333333333,0.4733333333333333
16.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.22333334,0.36,0.0866666666666666
17.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.22333334,0.3266666666666666,0.12
18.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.19333334,0.2333333333333333,0.1533333333333333
19.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.18666667,0.2133333333333333,0.16
20.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.22,0.3733333333333333,0.0666666666666666
21.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.22,0.3333333333333333,0.1066666666666666
22.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.20666668,0.2866666666666667,0.1266666666666666
23.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.21000001,0.2333333333333333,0.1866666666666666
24.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.36654803,0.6148148148148148,0.136986301369863
25.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,30/70,0.40140843,0.6470588235294118,0.1756756756756756
26.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,40/60,0.37676054,0.5323741007194245,0.2275862068965517
27.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,50/50,0.2951389,0.3125,0.2777777777777778
28.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,20/80,0.20069204,0.3428571428571428,0.0671140939597315
29.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,30/70,0.19243987,0.2887323943661972,0.1006711409395973
30.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,40/60,0.16040955,0.2260273972602739,0.0952380952380952
31.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,50/50,0.15306123,0.1700680272108843,0.1360544217687075
32.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,20/80,0.1701389,0.2785714285714286,0.0675675675675675
33.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,30/70,0.16608997,0.2253521126760563,0.1088435374149659
34.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,40/60,0.15068492,0.2068965517241379,0.0952380952380952
35.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,50/50,0.15753424,0.1712328767123287,0.1438356164383561
36.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,20/80,0.40666667,0.66,0.1533333333333333
37.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,30/70,0.37666667,0.52,0.2333333333333333
38.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,40/60,0.34666666,0.3733333333333333,0.32
39.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,50/50,0.34666666,0.38,0.3133333333333333
40.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,20/80,0.21333334,0.3533333333333333,0.0733333333333333
41.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,30/70,0.20666668,0.2933333333333333,0.12
42.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,40/60,0.21000001,0.2933333333333333,0.1266666666666666
43.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,50/50,0.18666667,0.1933333333333333,0.18
44.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,20/80,0.19666667,0.3,0.0933333333333333
45.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,30/70,0.18,0.24,0.12
46.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,40/60,0.17333333,0.2133333333333333,0.1333333333333333
47.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,50/50,0.16666667,0.16,0.1733333333333333
48.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,20/80,0.33451957,0.6444444444444445,0.047945205479452
49.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,30/70,0.21478873,0.3602941176470588,0.081081081081081
50.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,40/60,0.19014084,0.3093525179856115,0.0758620689655172
51.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,50/50,0.16319445,0.1458333333333333,0.1805555555555555
52.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,bing,20/80,0.3010381,0.6071428571428571,0.0134228187919463
53.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,bing,30/70,0.1580756,0.2253521126760563,0.0939597315436241
54.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,bing,40/60,0.17406143,0.2808219178082192,0.0680272108843537
55.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,bing,50/50,0.08503401,0.1428571428571428,0.0272108843537414
56.0,bing,True,RFGSM,alexnet,20/80,adaptive,vgg,bing,20/80,0.3576389,0.7285714285714285,0.0067567567567567
57.0,bing,True,RFGSM,alexnet,20/80,adaptive,vgg,bing,30/70,0.13148789,0.2112676056338028,0.0544217687074829
58.0,bing,True,RFGSM,alexnet,20/80,adaptive,vgg,bing,40/60,0.09931507,0.1310344827586207,0.0680272108843537
59.0,bing,True,RFGSM,alexnet,20/80,adaptive,vgg,bing,50/50,0.15410958,0.1917808219178082,0.1164383561643835
60.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,google,20/80,0.36666667,0.5733333333333334,0.16
61.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,google,30/70,0.26333335,0.4066666666666667,0.12
62.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,google,40/60,0.33333334,0.5133333333333333,0.1533333333333333
63.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,google,50/50,0.35,0.5266666666666666,0.1733333333333333
64.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,google,20/80,0.11666667,0.2066666666666666,0.0266666666666666
65.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,google,30/70,0.15666667,0.2266666666666666,0.0866666666666666
