Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,20/80,0.46975088,0.0074074074074074,0.8972602739726028
1.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,30/70,0.47887322,0.0073529411764705,0.9121621621621622
2.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,40/60,0.48591548,0.0071942446043165,0.9448275862068966
3.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,50/50,0.49305555,0.0069444444444444,0.9791666666666666
4.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,20/80,0.28719723,0.1571428571428571,0.4093959731543624
5.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,30/70,0.29553264,0.1619718309859155,0.4228187919463087
6.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,40/60,0.32764503,0.0890410958904109,0.564625850340136
7.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,50/50,0.35714284,0.0272108843537414,0.6870748299319728
8.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,20/80,0.23958333,0.1785714285714285,0.2972972972972973
9.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,30/70,0.25951558,0.0845070422535211,0.4285714285714285
10.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,40/60,0.28082192,0.0896551724137931,0.4693877551020408
11.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,50/50,0.28424656,0.0547945205479452,0.5136986301369864
12.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,20/80,0.42333335,0.0533333333333333,0.7933333333333333
13.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,30/70,0.45333335,0.0266666666666666,0.88
14.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,40/60,0.48000002,0.02,0.94
15.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,50/50,0.48666668,0.0066666666666666,0.9666666666666668
16.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,20/80,0.27333334,0.2666666666666666,0.28
17.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,30/70,0.34666666,0.08,0.6133333333333333
18.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,40/60,0.34,0.0866666666666666,0.5933333333333334
19.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,50/50,0.45666668,0.0,0.9133333333333332
20.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,20/80,0.28,0.3666666666666666,0.1933333333333333
21.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,30/70,0.23333333,0.0933333333333333,0.3733333333333333
22.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,40/60,0.28666666,0.0466666666666666,0.5266666666666666
23.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,50/50,0.35333335,0.02,0.6866666666666666
