Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,20/80,0.27402136,0.5703703703703704,0.0
1.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,30/70,0.20070422,0.3897058823529412,0.027027027027027
2.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,40/60,0.2112676,0.4172661870503597,0.0137931034482758
3.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,50/50,0.1701389,0.3125,0.0277777777777777
4.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,20/80,0.2214533,0.45,0.0067114093959731
5.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,30/70,0.1305842,0.2605633802816901,0.0067114093959731
6.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,40/60,0.09215017,0.1712328767123287,0.0136054421768707
7.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,50/50,0.08163265,0.0680272108843537,0.0952380952380952
8.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,20/80,0.11111111,0.1857142857142857,0.0405405405405405
9.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,30/70,0.09342561,0.0492957746478873,0.1360544217687075
10.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,40/60,0.12328767,0.0344827586206896,0.2108843537414966
11.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,50/50,0.10273972,0.0410958904109589,0.1643835616438356
12.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,20/80,0.27333334,0.5066666666666667,0.04
13.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,30/70,0.28333333,0.5466666666666666,0.02
14.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,40/60,0.2,0.2866666666666667,0.1133333333333333
15.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,50/50,0.16,0.08,0.24
16.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,20/80,0.23,0.4466666666666666,0.0133333333333333
17.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,30/70,0.18,0.34,0.02
18.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,40/60,0.10666667,0.18,0.0333333333333333
19.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,50/50,0.09666667,0.0333333333333333,0.16
20.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,20/80,0.13000001,0.2066666666666666,0.0533333333333333
21.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,30/70,0.1,0.0533333333333333,0.1466666666666666
22.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,40/60,0.14333333,0.0333333333333333,0.2533333333333333
23.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,50/50,0.19666667,0.0,0.3933333333333333
24.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,20/80,0.23131673,0.4444444444444444,0.0342465753424657
25.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,30/70,0.22535211,0.0955882352941176,0.3445945945945945
26.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,40/60,0.20070422,0.0935251798561151,0.3034482758620689
27.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,50/50,0.15972222,0.0694444444444444,0.25
28.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,20/80,0.11764706,0.2214285714285714,0.0201342281879194
29.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,30/70,0.07216495,0.1056338028169014,0.0402684563758389
30.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,40/60,0.061433446,0.0753424657534246,0.0476190476190476
31.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,50/50,0.07142857,0.0612244897959183,0.0816326530612244
32.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,20/80,0.090277776,0.1214285714285714,0.0608108108108108
33.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,30/70,0.07612457,0.0492957746478873,0.1020408163265306
34.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,40/60,0.09931507,0.0275862068965517,0.1700680272108843
35.0,bing,False,SaltPepper,alexnet,20/80,PGD,vgg,bing,50/50,0.09589041,0.0273972602739726,0.1643835616438356
36.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,google,20/80,0.27,0.3,0.24
