Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,20/80,0.07829181,0.1111111111111111,0.047945205479452
1.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,30/70,0.08098591,0.0588235294117647,0.1013513513513513
2.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,40/60,0.059859153,0.0431654676258992,0.0758620689655172
3.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,50/50,0.065972224,0.0208333333333333,0.1111111111111111
4.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,20/80,0.03114187,0.0571428571428571,0.0067114093959731
5.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,30/70,0.030927835,0.0492957746478873,0.0134228187919463
6.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,40/60,0.023890784,0.0342465753424657,0.0136054421768707
7.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,50/50,0.013605442,0.0068027210884353,0.0204081632653061
8.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,20/80,0.024305556,0.0428571428571428,0.0067567567567567
9.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,30/70,0.024221454,0.0140845070422535,0.0340136054421768
10.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,40/60,0.017123288,0.0068965517241379,0.0272108843537414
11.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,50/50,0.030821918,0.0205479452054794,0.0410958904109589
12.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,20/80,0.11,0.1733333333333333,0.0466666666666666
13.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,30/70,0.10333334,0.1,0.1066666666666666
14.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,40/60,0.11333334,0.06,0.1666666666666666
15.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,50/50,0.12666667,0.02,0.2333333333333333
16.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,google,20/80,0.06666667,0.1266666666666666,0.0066666666666666
17.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,google,30/70,0.043333333,0.0733333333333333,0.0133333333333333
18.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,google,40/60,0.033333335,0.0333333333333333,0.0333333333333333
19.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,google,50/50,0.043333333,0.0266666666666666,0.06
20.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,google,20/80,0.07333334,0.1266666666666666,0.02
21.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,google,30/70,0.05666667,0.0666666666666666,0.0466666666666666
22.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,google,40/60,0.046666667,0.0333333333333333,0.06
23.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,google,50/50,0.043333333,0.02,0.0666666666666666
24.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,bing,20/80,0.071174376,0.0518518518518518,0.0890410958904109
25.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,bing,30/70,0.07746479,0.0661764705882353,0.0878378378378378
26.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,bing,40/60,0.09859155,0.0215827338129496,0.1724137931034483
27.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,bing,50/50,0.08680556,0.0208333333333333,0.1527777777777778
28.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,bing,20/80,0.017301038,0.0285714285714285,0.0067114093959731
29.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,bing,30/70,0.024054984,0.028169014084507,0.0201342281879194
30.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,bing,40/60,0.010238907,0.0068493150684931,0.0136054421768707
31.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,bing,50/50,0.017006803,0.0068027210884353,0.0272108843537414
32.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,vgg,bing,20/80,0.013888889,0.0214285714285714,0.0067567567567567
33.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,vgg,bing,30/70,0.020761246,0.0070422535211267,0.0340136054421768
34.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,vgg,bing,40/60,0.01369863,0.0,0.0272108843537414
35.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,vgg,bing,50/50,0.017123288,0.0,0.0342465753424657
36.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,google,20/80,0.12666667,0.1533333333333333,0.1
37.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,google,30/70,0.11333334,0.0866666666666666,0.14
38.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,google,40/60,0.13000001,0.06,0.2
39.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,alexnet,google,50/50,0.13333334,0.06,0.2066666666666666
40.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,google,20/80,0.046666667,0.0733333333333333,0.02
41.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,google,30/70,0.026666667,0.0333333333333333,0.02
42.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,google,40/60,0.030000001,0.0266666666666666,0.0333333333333333
43.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,resnet,google,50/50,0.046666667,0.02,0.0733333333333333
44.0,bing,False,SplitMergeRGB,alexnet,20/80,PGD,vgg,google,20/80,0.043333333,0.0666666666666666,0.02
