Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,20/80,0.25622776,0.5259259259259259,0.0068493150684931
1.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,30/70,0.24647887,0.4926470588235294,0.0202702702702702
2.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,40/60,0.17605634,0.3453237410071942,0.0137931034482758
3.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,50/50,0.072916664,0.1180555555555555,0.0277777777777777
4.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,20/80,0.14186852,0.2857142857142857,0.0067114093959731
5.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,30/70,0.07560138,0.1338028169014084,0.0201342281879194
6.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,40/60,0.061433446,0.1095890410958904,0.0136054421768707
7.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,50/50,0.040816326,0.0476190476190476,0.0340136054421768
8.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,20/80,0.114583336,0.2285714285714285,0.0067567567567567
9.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,30/70,0.06228374,0.1267605633802817,0.0
10.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,40/60,0.05821918,0.1172413793103448,0.0
11.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,50/50,0.034246575,0.0410958904109589,0.0273972602739726
12.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,20/80,0.34666666,0.6733333333333333,0.02
13.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,30/70,0.18666667,0.34,0.0333333333333333
14.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,40/60,0.19,0.3266666666666666,0.0533333333333333
15.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,50/50,0.19,0.2933333333333333,0.0866666666666666
