Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.7615658,0.9407407407407408,0.5958904109589042
1.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.7676056,0.8529411764705882,0.6891891891891891
2.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.80985916,0.8705035971223022,0.7517241379310344
3.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.7847222,0.7777777777777778,0.7916666666666666
4.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.18685122,0.3071428571428571,0.0738255033557047
5.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.16151203,0.1971830985915492,0.1275167785234899
6.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.15017064,0.1917808219178082,0.1088435374149659
7.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.1462585,0.1292517006802721,0.1632653061224489
8.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.18055555,0.3142857142857143,0.054054054054054
9.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.1764706,0.2535211267605634,0.1020408163265306
10.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.2089041,0.3241379310344827,0.0952380952380952
11.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.17465754,0.2191780821917808,0.1301369863013698
12.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.74666667,0.86,0.6333333333333333
13.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.77000004,0.8133333333333334,0.7266666666666667
14.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.74666667,0.7466666666666667,0.7466666666666667
15.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.77000004,0.6866666666666666,0.8533333333333334
16.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.20333333,0.3733333333333333,0.0333333333333333
17.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.17,0.2866666666666667,0.0533333333333333
18.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.15333334,0.1666666666666666,0.14
19.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.14333333,0.1133333333333333,0.1733333333333333
20.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.22333334,0.4266666666666667,0.02
21.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.23,0.3666666666666666,0.0933333333333333
22.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.20666668,0.2866666666666667,0.1266666666666666
23.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.17333333,0.2,0.1466666666666666
24.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.59786475,0.7851851851851852,0.4246575342465753
25.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,bing,30/70,0.61619717,0.8161764705882353,0.4324324324324324
26.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,bing,40/60,0.6302817,0.6906474820143885,0.5724137931034483
27.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,bing,50/50,0.5729167,0.5347222222222222,0.6111111111111112
28.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,bing,20/80,0.15224914,0.2357142857142857,0.0738255033557047
29.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,bing,30/70,0.13402063,0.1478873239436619,0.1208053691275167
30.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,bing,40/60,0.12969282,0.1301369863013698,0.1292517006802721
31.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,bing,50/50,0.13605443,0.0612244897959183,0.2108843537414966
32.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,bing,20/80,0.14930555,0.2285714285714285,0.0743243243243243
33.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,bing,30/70,0.14532873,0.176056338028169,0.1156462585034013
34.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,bing,40/60,0.15410958,0.193103448275862,0.1156462585034013
35.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,bing,50/50,0.14383562,0.1027397260273972,0.184931506849315
36.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,google,20/80,0.62333333,0.8466666666666667,0.4
37.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,google,30/70,0.6433334,0.7533333333333333,0.5333333333333333
38.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,google,40/60,0.62,0.62,0.62
39.0,bing,True,TIFGSM,alexnet,20/80,PGD,alexnet,google,50/50,0.62333333,0.5866666666666667,0.66
40.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,google,20/80,0.16,0.28,0.04
41.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,google,30/70,0.15,0.1866666666666666,0.1133333333333333
42.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,google,40/60,0.13000001,0.1133333333333333,0.1466666666666666
43.0,bing,True,TIFGSM,alexnet,20/80,PGD,resnet,google,50/50,0.14,0.0666666666666666,0.2133333333333333
44.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,google,20/80,0.18333334,0.2933333333333333,0.0733333333333333
45.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,google,30/70,0.16333334,0.22,0.1066666666666666
46.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,google,40/60,0.15,0.1866666666666666,0.1133333333333333
47.0,bing,True,TIFGSM,alexnet,20/80,PGD,vgg,google,50/50,0.15666667,0.1133333333333333,0.2
48.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,bing,20/80,0.46975088,0.8148148148148148,0.1506849315068493
49.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,bing,30/70,0.4366197,0.6470588235294118,0.2432432432432432
50.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,bing,40/60,0.40492958,0.60431654676259,0.2137931034482758
51.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,bing,50/50,0.32291666,0.3680555555555556,0.2777777777777778
52.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,bing,20/80,0.29757786,0.6071428571428571,0.0067114093959731
53.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,bing,30/70,0.13402063,0.1901408450704225,0.0805369127516778
54.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,bing,40/60,0.16382252,0.273972602739726,0.0544217687074829
55.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,bing,50/50,0.108843535,0.1836734693877551,0.0340136054421768
56.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,bing,20/80,0.34375,0.7071428571428572,0.0
57.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,bing,30/70,0.14186852,0.2323943661971831,0.0544217687074829
58.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,bing,40/60,0.10958904,0.1517241379310344,0.0680272108843537
59.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,bing,50/50,0.16780822,0.1986301369863013,0.136986301369863
60.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,google,20/80,0.6066667,0.86,0.3533333333333333
61.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,google,30/70,0.40666667,0.6,0.2133333333333333
62.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,google,40/60,0.53000003,0.7333333333333333,0.3266666666666666
63.0,bing,True,TIFGSM,alexnet,20/80,adaptive,alexnet,google,50/50,0.54,0.7333333333333333,0.3466666666666667
64.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,google,20/80,0.15,0.2733333333333333,0.0266666666666666
65.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,google,30/70,0.15333334,0.2533333333333333,0.0533333333333333
66.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,google,40/60,0.15,0.2533333333333333,0.0466666666666666
67.0,bing,True,TIFGSM,alexnet,20/80,adaptive,resnet,google,50/50,0.093333334,0.0933333333333333,0.0933333333333333
68.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,google,20/80,0.17666668,0.3066666666666666,0.0466666666666666
69.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,google,30/70,0.19,0.1733333333333333,0.2066666666666666
70.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,google,40/60,0.16666667,0.1466666666666666,0.1866666666666666
71.0,bing,True,TIFGSM,alexnet,20/80,adaptive,vgg,google,50/50,0.15666667,0.0933333333333333,0.22
72.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,bing,20/80,0.48042706,0.7555555555555555,0.2260273972602739
73.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,bing,30/70,0.47183096,0.6911764705882353,0.2702702702702703
74.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,bing,40/60,0.5246479,0.7050359712230215,0.3517241379310344
75.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,bing,50/50,0.44791666,0.4236111111111111,0.4722222222222222
76.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,bing,20/80,0.11418685,0.1714285714285714,0.0604026845637583
77.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,bing,30/70,0.12371134,0.1901408450704225,0.0604026845637583
78.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,bing,40/60,0.10921501,0.1095890410958904,0.1088435374149659
79.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,bing,50/50,0.091836736,0.1156462585034013,0.0680272108843537
80.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,bing,20/80,0.13541667,0.1857142857142857,0.0878378378378378
81.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,bing,30/70,0.14186852,0.1690140845070422,0.1156462585034013
82.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,bing,40/60,0.1369863,0.1862068965517241,0.0884353741496598
83.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,bing,50/50,0.11986301,0.1232876712328767,0.1164383561643835
84.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,google,20/80,0.50333333,0.76,0.2466666666666666
85.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,google,30/70,0.54,0.7333333333333333,0.3466666666666667
86.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,google,40/60,0.52000004,0.7133333333333334,0.3266666666666666
87.0,bing,True,TIFGSM,alexnet,20/80,curriculum,alexnet,google,50/50,0.49333334,0.5066666666666667,0.48
88.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,google,20/80,0.17666668,0.28,0.0733333333333333
89.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,google,30/70,0.14,0.1933333333333333,0.0866666666666666
90.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,google,40/60,0.11,0.1266666666666666,0.0933333333333333
91.0,bing,True,TIFGSM,alexnet,20/80,curriculum,resnet,google,50/50,0.11,0.1066666666666666,0.1133333333333333
92.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,google,20/80,0.16666667,0.2333333333333333,0.1
93.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,google,30/70,0.14666668,0.1733333333333333,0.12
94.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,google,40/60,0.16666667,0.1733333333333333,0.16
95.0,bing,True,TIFGSM,alexnet,20/80,curriculum,vgg,google,50/50,0.15333334,0.1866666666666666,0.12
96.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,bing,20/80,0.6014235,0.725925925925926,0.4863013698630137
97.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,bing,30/70,0.60211265,0.7426470588235294,0.4729729729729729
98.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,bing,40/60,0.59859157,0.6618705035971223,0.5379310344827586
99.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,bing,50/50,0.5763889,0.5625,0.5902777777777778
100.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,bing,20/80,0.15224914,0.2642857142857143,0.046979865771812
101.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,bing,30/70,0.1443299,0.2183098591549295,0.0738255033557047
102.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,bing,40/60,0.1433447,0.136986301369863,0.1496598639455782
103.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,bing,50/50,0.11904762,0.1156462585034013,0.1224489795918367
104.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,bing,20/80,0.1701389,0.2714285714285714,0.0743243243243243
105.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,bing,30/70,0.15224914,0.204225352112676,0.1020408163265306
106.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,bing,40/60,0.1609589,0.2,0.1224489795918367
107.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,bing,50/50,0.15410958,0.1643835616438356,0.1438356164383561
108.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,google,20/80,0.6566667,0.8333333333333334,0.48
109.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,google,30/70,0.67333335,0.68,0.6666666666666666
110.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,google,40/60,0.58000004,0.6266666666666667,0.5333333333333333
111.0,bing,True,TIFGSM,alexnet,20/80,ensamble,alexnet,google,50/50,0.62333333,0.5733333333333334,0.6733333333333333
112.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,google,20/80,0.19,0.34,0.04
113.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,google,30/70,0.15333334,0.2066666666666666,0.1
114.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,google,40/60,0.14,0.16,0.12
115.0,bing,True,TIFGSM,alexnet,20/80,ensamble,resnet,google,50/50,0.14,0.1333333333333333,0.1466666666666666
116.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,google,20/80,0.20666668,0.3333333333333333,0.08
117.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,google,30/70,0.16666667,0.2466666666666666,0.0866666666666666
118.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,google,40/60,0.17,0.22,0.12
119.0,bing,True,TIFGSM,alexnet,20/80,ensamble,vgg,google,50/50,0.16333334,0.1933333333333333,0.1333333333333333
120.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,bing,20/80,0.72953737,0.9185185185185184,0.5547945205479452
121.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,bing,30/70,0.80281687,0.875,0.7364864864864865
122.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,bing,40/60,0.82042253,0.7697841726618705,0.8689655172413793
123.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,bing,50/50,0.8055556,0.8263888888888888,0.7847222222222222
124.0,bing,True,TIFGSM,alexnet,20/80,nonMath,resnet,bing,20/80,0.18685122,0.3071428571428571,0.0738255033557047
125.0,bing,True,TIFGSM,alexnet,20/80,nonMath,resnet,bing,30/70,0.16151203,0.2183098591549295,0.1073825503355704
126.0,bing,True,TIFGSM,alexnet,20/80,nonMath,resnet,bing,40/60,0.18088737,0.1643835616438356,0.1972789115646258
127.0,bing,True,TIFGSM,alexnet,20/80,nonMath,resnet,bing,50/50,0.15646258,0.1496598639455782,0.1632653061224489
128.0,bing,True,TIFGSM,alexnet,20/80,nonMath,vgg,bing,20/80,0.20486112,0.3857142857142857,0.0337837837837837
129.0,bing,True,TIFGSM,alexnet,20/80,nonMath,vgg,bing,30/70,0.19723184,0.323943661971831,0.0748299319727891
130.0,bing,True,TIFGSM,alexnet,20/80,nonMath,vgg,bing,40/60,0.19520548,0.2275862068965517,0.1632653061224489
131.0,bing,True,TIFGSM,alexnet,20/80,nonMath,vgg,bing,50/50,0.2020548,0.2534246575342466,0.1506849315068493
132.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,google,20/80,0.78000003,0.8133333333333334,0.7466666666666667
133.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,google,30/70,0.79333335,0.8133333333333334,0.7733333333333333
134.0,bing,True,TIFGSM,alexnet,20/80,nonMath,alexnet,google,40/60,0.7766667,0.7666666666666667,0.7866666666666666
