Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.6091954,0.819672131147541,0.4244604316546763
1.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.5075188,0.5714285714285714,0.45
2.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.49454546,0.4814814814814814,0.5071428571428571
3.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.5253623,0.5179856115107914,0.5328467153284672
4.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,20/80,0.2398524,0.1953125,0.2797202797202797
5.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,30/70,0.24822694,0.144927536231884,0.3472222222222222
6.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,40/60,0.27017546,0.1205673758865248,0.4166666666666667
7.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,bing,50/50,0.27972028,0.0625,0.5
8.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,20/80,0.35636362,0.366412213740458,0.3472222222222222
9.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,30/70,0.3381295,0.237037037037037,0.4335664335664335
10.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,40/60,0.3274648,0.2127659574468085,0.4405594405594406
11.0,bing,True,BIM,alexnet,20/80,FGSM,vgg,bing,50/50,0.31205672,0.0633802816901408,0.5642857142857143
12.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,20/80,0.48333335,0.52,0.4466666666666666
13.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,30/70,0.46333334,0.3866666666666666,0.54
14.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,40/60,0.46666667,0.3066666666666666,0.6266666666666667
15.0,bing,True,BIM,alexnet,20/80,FGSM,alexnet,google,50/50,0.46666667,0.2466666666666666,0.6866666666666666
16.0,bing,True,BIM,alexnet,20/80,FGSM,resnet,google,20/80,0.29333335,0.3066666666666666,0.28
