Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,20/80,0.13409962,0.0983606557377049,0.1654676258992805
1.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,30/70,0.14285715,0.0634920634920634,0.2142857142857142
2.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,40/60,0.13818182,0.0592592592592592,0.2142857142857142
3.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,bing,50/50,0.16304348,0.0431654676258992,0.2846715328467153
4.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,20/80,0.03690037,0.0078125,0.0629370629370629
5.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,30/70,0.08510638,0.0217391304347826,0.1458333333333333
6.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,40/60,0.0877193,0.0141843971631205,0.1597222222222222
7.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,bing,50/50,0.14685315,0.0138888888888888,0.2816901408450704
8.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,20/80,0.043636363,0.0076335877862595,0.0763888888888889
9.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,30/70,0.06115108,0.0,0.1188811188811188
10.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,40/60,0.09507042,0.0212765957446808,0.1678321678321678
11.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,bing,50/50,0.10992908,0.0,0.2214285714285714
12.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,20/80,0.22333334,0.2666666666666666,0.18
13.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,30/70,0.21000001,0.1733333333333333,0.2466666666666666
14.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,40/60,0.23333333,0.1333333333333333,0.3333333333333333
15.0,bing,True,DeepFool,alexnet,20/80,FGSM,alexnet,google,50/50,0.26333335,0.0933333333333333,0.4333333333333333
16.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,20/80,0.17,0.2266666666666666,0.1133333333333333
17.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,30/70,0.15666667,0.12,0.1933333333333333
18.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,40/60,0.18,0.0933333333333333,0.2666666666666666
19.0,bing,True,DeepFool,alexnet,20/80,FGSM,resnet,google,50/50,0.22333334,0.0666666666666666,0.38
20.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,20/80,0.18666667,0.1866666666666666,0.1866666666666666
21.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,30/70,0.20333333,0.1066666666666666,0.3
22.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,40/60,0.24000001,0.06,0.42
23.0,bing,True,DeepFool,alexnet,20/80,FGSM,vgg,google,50/50,0.30333334,0.0533333333333333,0.5533333333333333
24.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,20/80,0.10344827,0.0983606557377049,0.1079136690647482
25.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,30/70,0.10150376,0.0476190476190476,0.15
26.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,40/60,0.14181818,0.037037037037037,0.2428571428571428
27.0,bing,True,DeepFool,alexnet,20/80,PGD,alexnet,bing,50/50,0.123188406,0.0647482014388489,0.1824817518248175
28.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,20/80,0.018450186,0.0078125,0.0279720279720279
29.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,30/70,0.04609929,0.0217391304347826,0.0694444444444444
30.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,40/60,0.045614038,0.0212765957446808,0.0694444444444444
31.0,bing,True,DeepFool,alexnet,20/80,PGD,resnet,bing,50/50,0.04895105,0.0208333333333333,0.0774647887323943
32.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,20/80,0.03272727,0.0305343511450381,0.0347222222222222
33.0,bing,True,DeepFool,alexnet,20/80,PGD,vgg,bing,30/70,0.032374103,0.0,0.0629370629370629
