Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.49042144,0.6967213114754098,0.3093525179856115
1.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.36090225,0.4444444444444444,0.2857142857142857
2.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.32,0.3333333333333333,0.3071428571428571
3.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.36231884,0.2733812949640288,0.4525547445255474
4.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.15867159,0.1640625,0.1538461538461538
5.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.20212765,0.108695652173913,0.2916666666666667
6.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.18596491,0.0921985815602836,0.2777777777777778
7.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.2097902,0.0416666666666666,0.380281690140845
8.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.17454545,0.1755725190839694,0.1736111111111111
9.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.21223022,0.1185185185185185,0.3006993006993007
10.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.22535211,0.0851063829787234,0.3636363636363636
11.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.26950353,0.0352112676056338,0.5071428571428571
12.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.4,0.52,0.28
13.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.37333333,0.3466666666666667,0.4
14.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.36666667,0.2733333333333333,0.46
15.0,bing,True,FGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.36333334,0.1666666666666666,0.56
16.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.24666667,0.3266666666666666,0.1666666666666666
17.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.20333333,0.1133333333333333,0.2933333333333333
18.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.22333334,0.08,0.3666666666666666
19.0,bing,True,FGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.29666668,0.04,0.5533333333333333
20.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.22,0.2333333333333333,0.2066666666666666
21.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.29666668,0.06,0.5333333333333333
22.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.32,0.0533333333333333,0.5866666666666667
23.0,bing,True,FGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.37333333,0.02,0.7266666666666667
24.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.3065134,0.4754098360655737,0.158273381294964
25.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,30/70,0.2593985,0.3968253968253968,0.1357142857142857
26.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,40/60,0.27272728,0.2962962962962963,0.25
27.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,bing,50/50,0.22463769,0.2302158273381295,0.218978102189781
28.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,20/80,0.14391144,0.2578125,0.0419580419580419
29.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,30/70,0.120567374,0.1666666666666666,0.0763888888888889
30.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,40/60,0.1368421,0.1631205673758865,0.1111111111111111
31.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,bing,50/50,0.12587413,0.1111111111111111,0.1408450704225352
32.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,20/80,0.22545455,0.4351145038167939,0.0347222222222222
33.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,30/70,0.16187051,0.2296296296296296,0.0979020979020979
34.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,40/60,0.14788732,0.1418439716312056,0.1538461538461538
35.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,bing,50/50,0.14893617,0.0633802816901408,0.2357142857142857
36.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,20/80,0.35333335,0.5266666666666666,0.18
37.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,30/70,0.29333335,0.2266666666666666,0.36
38.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,40/60,0.29666668,0.14,0.4533333333333333
39.0,bing,True,FGSM,alexnet,20/80,PGD,alexnet,google,50/50,0.31333333,0.0866666666666666,0.54
40.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,20/80,0.24666667,0.38,0.1133333333333333
41.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,30/70,0.16666667,0.1533333333333333,0.18
42.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,40/60,0.18,0.0866666666666666,0.2733333333333333
43.0,bing,True,FGSM,alexnet,20/80,PGD,resnet,google,50/50,0.21000001,0.0533333333333333,0.3666666666666666
44.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,20/80,0.22666667,0.2933333333333333,0.16
45.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,30/70,0.21666667,0.1,0.3333333333333333
46.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,40/60,0.28666666,0.0666666666666666,0.5066666666666667
47.0,bing,True,FGSM,alexnet,20/80,PGD,vgg,google,50/50,0.28,0.0533333333333333,0.5066666666666667
48.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,20/80,0.22605364,0.4508196721311475,0.0287769784172661
49.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,30/70,0.23308271,0.3174603174603174,0.1571428571428571
50.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,40/60,0.24727273,0.1925925925925926,0.3
51.0,bing,True,FGSM,alexnet,20/80,adaptive,alexnet,bing,50/50,0.1268116,0.1510791366906475,0.1021897810218978
52.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,20/80,0.13284133,0.2578125,0.0209790209790209
53.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,30/70,0.10638297,0.1956521739130435,0.0208333333333333
54.0,bing,True,FGSM,alexnet,20/80,adaptive,resnet,bing,40/60,0.10175439,0.1560283687943262,0.0486111111111111
