Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,20/80,0.18390805,0.2459016393442623,0.1294964028776978
1.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,30/70,0.17293234,0.2063492063492063,0.1428571428571428
2.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,40/60,0.13454546,0.1037037037037037,0.1642857142857142
3.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,bing,50/50,0.17391305,0.0719424460431654,0.2773722627737226
4.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,20/80,0.062730625,0.046875,0.0769230769230769
5.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,30/70,0.11702127,0.0434782608695652,0.1875
6.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,40/60,0.1754386,0.0638297872340425,0.2847222222222222
7.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,bing,50/50,0.1923077,0.0208333333333333,0.3661971830985915
8.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,20/80,0.10181818,0.0458015267175572,0.1527777777777778
9.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,30/70,0.15107913,0.0148148148148148,0.2797202797202797
10.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,40/60,0.18309858,0.0283687943262411,0.3356643356643357
11.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,vgg,bing,50/50,0.24468084,0.0,0.4928571428571429
12.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,20/80,0.24666667,0.3266666666666666,0.1666666666666666
13.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,30/70,0.25,0.2133333333333333,0.2866666666666667
14.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,40/60,0.23333333,0.1466666666666666,0.32
15.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,alexnet,google,50/50,0.22333334,0.0866666666666666,0.36
16.0,bing,False,GaussianNoise,alexnet,20/80,FGSM,resnet,google,20/80,0.18666667,0.2533333333333333,0.12
