Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,20/80,0.118773945,0.221311475409836,0.0287769784172661
1.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,30/70,0.09398496,0.119047619047619,0.0714285714285714
2.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,40/60,0.08,0.1037037037037037,0.0571428571428571
3.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,bing,50/50,0.11594203,0.0719424460431654,0.1605839416058394
4.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,20/80,0.025830258,0.046875,0.0069930069930069
5.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,30/70,0.031914894,0.0289855072463768,0.0347222222222222
6.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,40/60,0.042105265,0.0496453900709219,0.0347222222222222
7.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,bing,50/50,0.027972028,0.0347222222222222,0.0211267605633802
8.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,20/80,0.03272727,0.015267175572519,0.0486111111111111
9.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,30/70,0.025179857,0.0074074074074074,0.0419580419580419
10.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,40/60,0.035211265,0.0354609929078014,0.0349650349650349
11.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,bing,50/50,0.021276595,0.0211267605633802,0.0214285714285714
12.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,20/80,0.21666667,0.38,0.0533333333333333
13.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,30/70,0.16666667,0.26,0.0733333333333333
14.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,40/60,0.16,0.1466666666666666,0.1733333333333333
15.0,bing,False,GreyScale,alexnet,20/80,FGSM,alexnet,google,50/50,0.15333334,0.0933333333333333,0.2133333333333333
16.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,20/80,0.19,0.3666666666666666,0.0133333333333333
17.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,30/70,0.11,0.2066666666666666,0.0133333333333333
18.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,40/60,0.093333334,0.1266666666666666,0.06
19.0,bing,False,GreyScale,alexnet,20/80,FGSM,resnet,google,50/50,0.07666667,0.0866666666666666,0.0666666666666666
20.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,20/80,0.10666667,0.1666666666666666,0.0466666666666666
21.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,30/70,0.083333336,0.1066666666666666,0.06
22.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,40/60,0.07,0.0666666666666666,0.0733333333333333
23.0,bing,False,GreyScale,alexnet,20/80,FGSM,vgg,google,50/50,0.07666667,0.0533333333333333,0.1
24.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,20/80,0.10727969,0.1885245901639344,0.0359712230215827
25.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,30/70,0.10150376,0.1111111111111111,0.0928571428571428
26.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,40/60,0.094545454,0.0814814814814814,0.1071428571428571
27.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,bing,50/50,0.0942029,0.0575539568345323,0.1313868613138686
28.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,20/80,0.014760148,0.0234375,0.0069930069930069
29.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,30/70,0.03900709,0.036231884057971,0.0416666666666666
30.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,40/60,0.045614038,0.0425531914893617,0.0486111111111111
31.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,bing,50/50,0.034965035,0.0416666666666666,0.028169014084507
32.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,20/80,0.036363635,0.0305343511450381,0.0416666666666666
33.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,30/70,0.025179857,0.0074074074074074,0.0419580419580419
34.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,40/60,0.028169014,0.0212765957446808,0.0349650349650349
35.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,bing,50/50,0.021276595,0.0070422535211267,0.0357142857142857
36.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,20/80,0.24000001,0.42,0.06
37.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,30/70,0.16333334,0.2533333333333333,0.0733333333333333
38.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,40/60,0.17666668,0.1533333333333333,0.2
39.0,bing,False,GreyScale,alexnet,20/80,PGD,alexnet,google,50/50,0.14666668,0.06,0.2333333333333333
40.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,20/80,0.19333334,0.36,0.0266666666666666
41.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,30/70,0.123333335,0.1933333333333333,0.0533333333333333
42.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,40/60,0.09,0.1133333333333333,0.0666666666666666
43.0,bing,False,GreyScale,alexnet,20/80,PGD,resnet,google,50/50,0.07666667,0.0666666666666666,0.0866666666666666
44.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,20/80,0.11,0.18,0.04
45.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,30/70,0.06666667,0.0733333333333333,0.06
46.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,40/60,0.06666667,0.06,0.0733333333333333
47.0,bing,False,GreyScale,alexnet,20/80,PGD,vgg,google,50/50,0.07,0.04,0.1
48.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,20/80,0.13409962,0.1229508196721311,0.1438848920863309
49.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,30/70,0.15037595,0.0634920634920634,0.2285714285714285
50.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,40/60,0.22181818,0.0222222222222222,0.4142857142857143
51.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,bing,50/50,0.09057971,0.0215827338129496,0.1605839416058394
52.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,20/80,0.16605166,0.3359375,0.0139860139860139
53.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,30/70,0.11347517,0.181159420289855,0.0486111111111111
54.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,40/60,0.091228075,0.0496453900709219,0.1319444444444444
55.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,bing,50/50,0.13636364,0.1666666666666666,0.1056338028169014
56.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,20/80,0.17454545,0.3206106870229007,0.0416666666666666
57.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,30/70,0.10431655,0.1555555555555555,0.0559440559440559
58.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,40/60,0.116197184,0.0496453900709219,0.1818181818181818
59.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,bing,50/50,0.13120566,0.1408450704225352,0.1214285714285714
60.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,google,20/80,0.34,0.66,0.02
61.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,google,30/70,0.26000002,0.0666666666666666,0.4533333333333333
62.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,google,40/60,0.18666667,0.0466666666666666,0.3266666666666666
63.0,bing,False,GreyScale,alexnet,20/80,adaptive,alexnet,google,50/50,0.20666668,0.0933333333333333,0.32
64.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,google,20/80,0.18666667,0.28,0.0933333333333333
65.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,google,30/70,0.17333333,0.1866666666666666,0.16
66.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,google,40/60,0.120000005,0.1266666666666666,0.1133333333333333
67.0,bing,False,GreyScale,alexnet,20/80,adaptive,resnet,google,50/50,0.13666667,0.1733333333333333,0.1
68.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,google,20/80,0.37,0.72,0.02
69.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,google,30/70,0.23666668,0.3733333333333333,0.1
70.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,google,40/60,0.22666667,0.36,0.0933333333333333
71.0,bing,False,GreyScale,alexnet,20/80,adaptive,vgg,google,50/50,0.20333333,0.18,0.2266666666666666
72.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,bing,20/80,0.1302682,0.2295081967213114,0.0431654676258992
73.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,bing,30/70,0.10902256,0.1507936507936507,0.0714285714285714
74.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,bing,40/60,0.087272726,0.0962962962962963,0.0785714285714285
75.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,bing,50/50,0.07608696,0.0431654676258992,0.1094890510948905
76.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,bing,20/80,0.018450186,0.0234375,0.0139860139860139
77.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,bing,30/70,0.031914894,0.0144927536231884,0.0486111111111111
78.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,bing,40/60,0.045614038,0.0141843971631205,0.0763888888888889
79.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,bing,50/50,0.031468533,0.0277777777777777,0.0352112676056338
80.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,bing,20/80,0.03272727,0.0381679389312977,0.0277777777777777
81.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,bing,30/70,0.039568346,0.0074074074074074,0.0699300699300699
82.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,bing,40/60,0.028169014,0.0141843971631205,0.0419580419580419
83.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,bing,50/50,0.028368793,0.0070422535211267,0.05
84.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,google,20/80,0.22666667,0.3733333333333333,0.08
85.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,google,30/70,0.17,0.24,0.1
86.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,google,40/60,0.19666667,0.26,0.1333333333333333
87.0,bing,False,GreyScale,alexnet,20/80,curriculum,alexnet,google,50/50,0.18,0.0266666666666666,0.3333333333333333
88.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,google,20/80,0.19333334,0.3666666666666666,0.02
89.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,google,30/70,0.13333334,0.2,0.0666666666666666
90.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,google,40/60,0.09666667,0.0666666666666666,0.1266666666666666
91.0,bing,False,GreyScale,alexnet,20/80,curriculum,resnet,google,50/50,0.09666667,0.0866666666666666,0.1066666666666666
92.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,google,20/80,0.09666667,0.14,0.0533333333333333
93.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,google,30/70,0.07666667,0.0733333333333333,0.08
94.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,google,40/60,0.08,0.0466666666666666,0.1133333333333333
95.0,bing,False,GreyScale,alexnet,20/80,curriculum,vgg,google,50/50,0.09666667,0.0466666666666666,0.1466666666666666
96.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,bing,20/80,0.10727969,0.1639344262295081,0.0575539568345323
97.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,bing,30/70,0.09398496,0.0714285714285714,0.1142857142857142
98.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,bing,40/60,0.08,0.0222222222222222,0.1357142857142857
99.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,bing,50/50,0.07971015,0.0287769784172661,0.1313868613138686
100.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,bing,20/80,0.014760148,0.015625,0.0139860139860139
101.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,bing,30/70,0.031914894,0.036231884057971,0.0277777777777777
102.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,bing,40/60,0.038596492,0.0212765957446808,0.0555555555555555
103.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,bing,50/50,0.045454547,0.0347222222222222,0.056338028169014
104.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,bing,20/80,0.03272727,0.0229007633587786,0.0416666666666666
105.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,bing,30/70,0.02877698,0.0074074074074074,0.0489510489510489
106.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,bing,40/60,0.03169014,0.0212765957446808,0.0419580419580419
107.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,bing,50/50,0.024822693,0.0211267605633802,0.0285714285714285
108.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,google,20/80,0.20333333,0.3533333333333333,0.0533333333333333
109.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,google,30/70,0.15666667,0.2,0.1133333333333333
110.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,google,40/60,0.24333334,0.38,0.1066666666666666
111.0,bing,False,GreyScale,alexnet,20/80,ensamble,alexnet,google,50/50,0.20333333,0.0533333333333333,0.3533333333333333
112.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,google,20/80,0.14666668,0.2533333333333333,0.04
113.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,google,30/70,0.12666667,0.1866666666666666,0.0666666666666666
114.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,google,40/60,0.09,0.12,0.06
115.0,bing,False,GreyScale,alexnet,20/80,ensamble,resnet,google,50/50,0.086666666,0.08,0.0933333333333333
116.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,google,20/80,0.11,0.1733333333333333,0.0466666666666666
117.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,google,30/70,0.08,0.0733333333333333,0.0866666666666666
118.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,google,40/60,0.07666667,0.0666666666666666,0.0866666666666666
119.0,bing,False,GreyScale,alexnet,20/80,ensamble,vgg,google,50/50,0.08,0.04,0.12
120.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,bing,20/80,0.12260536,0.2377049180327868,0.0215827338129496
121.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,bing,30/70,0.08646617,0.1349206349206349,0.0428571428571428
122.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,bing,40/60,0.06909091,0.0814814814814814,0.0571428571428571
123.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,bing,50/50,0.06521739,0.0431654676258992,0.0875912408759124
124.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,bing,20/80,0.03690037,0.078125,0.0
125.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,bing,30/70,0.028368793,0.0507246376811594,0.0069444444444444
126.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,bing,40/60,0.021052632,0.0212765957446808,0.0208333333333333
127.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,bing,50/50,0.04195804,0.0069444444444444,0.0774647887323943
128.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,bing,20/80,0.047272727,0.0763358778625954,0.0208333333333333
129.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,bing,30/70,0.025179857,0.0296296296296296,0.0209790209790209
130.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,bing,40/60,0.02112676,0.0212765957446808,0.0209790209790209
131.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,bing,50/50,0.014184397,0.0070422535211267,0.0214285714285714
132.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,google,20/80,0.24000001,0.4,0.08
133.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,google,30/70,0.19,0.2133333333333333,0.1666666666666666
134.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,google,40/60,0.17666668,0.1066666666666666,0.2466666666666666
135.0,bing,False,GreyScale,alexnet,20/80,nonMath,alexnet,google,50/50,0.16666667,0.0666666666666666,0.2666666666666666
136.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,google,20/80,0.14,0.2066666666666666,0.0733333333333333
137.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,google,30/70,0.09,0.0866666666666666,0.0933333333333333
138.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,google,40/60,0.07666667,0.0466666666666666,0.1066666666666666
139.0,bing,False,GreyScale,alexnet,20/80,nonMath,resnet,google,50/50,0.08,0.0266666666666666,0.1333333333333333
140.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,google,20/80,0.11,0.1866666666666666,0.0333333333333333
141.0,bing,False,GreyScale,alexnet,20/80,nonMath,vgg,google,30/70,0.08,0.08,0.08
