Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,20/80,0.43295017,0.9262295081967212,0.0
1.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,30/70,0.40977445,0.8650793650793651,0.0
2.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,40/60,0.36363637,0.6814814814814815,0.0571428571428571
3.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,bing,50/50,0.3188406,0.5251798561151079,0.1094890510948905
4.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,20/80,0.2915129,0.6171875,0.0
5.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,30/70,0.18439716,0.3405797101449275,0.0347222222222222
6.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,40/60,0.2,0.3829787234042553,0.0208333333333333
7.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,bing,50/50,0.13986014,0.2083333333333333,0.0704225352112676
8.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,20/80,0.4218182,0.8854961832061069,0.0
9.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,30/70,0.38129497,0.7777777777777778,0.0069930069930069
10.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,40/60,0.39788732,0.7943262411347518,0.0069930069930069
11.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,bing,50/50,0.30851063,0.5985915492957746,0.0142857142857142
12.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,20/80,0.43,0.8333333333333334,0.0266666666666666
13.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,30/70,0.42000002,0.78,0.06
14.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,40/60,0.40333334,0.7066666666666667,0.1
15.0,bing,False,InvertColor,alexnet,20/80,FGSM,alexnet,google,50/50,0.33,0.24,0.42
16.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,20/80,0.40333334,0.8066666666666666,0.0
17.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,30/70,0.28,0.54,0.02
18.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,40/60,0.2,0.3533333333333333,0.0466666666666666
19.0,bing,False,InvertColor,alexnet,20/80,FGSM,resnet,google,50/50,0.18333334,0.2133333333333333,0.1533333333333333
20.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,20/80,0.39666668,0.7933333333333333,0.0
21.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,30/70,0.30666667,0.6,0.0133333333333333
22.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,40/60,0.26333335,0.4733333333333333,0.0533333333333333
23.0,bing,False,InvertColor,alexnet,20/80,FGSM,vgg,google,50/50,0.19333334,0.2933333333333333,0.0933333333333333
24.0,bing,False,InvertColor,alexnet,20/80,PGD,alexnet,bing,20/80,0.440613,0.9344262295081968,0.0071942446043165
25.0,bing,False,InvertColor,alexnet,20/80,PGD,alexnet,bing,30/70,0.39097744,0.8095238095238095,0.0142857142857142
26.0,bing,False,InvertColor,alexnet,20/80,PGD,alexnet,bing,40/60,0.33454546,0.6444444444444445,0.0357142857142857
27.0,bing,False,InvertColor,alexnet,20/80,PGD,alexnet,bing,50/50,0.30797103,0.5251798561151079,0.0875912408759124
28.0,bing,False,InvertColor,alexnet,20/80,PGD,resnet,bing,20/80,0.34317344,0.7265625,0.0
29.0,bing,False,InvertColor,alexnet,20/80,PGD,resnet,bing,30/70,0.23049645,0.463768115942029,0.0069444444444444
30.0,bing,False,InvertColor,alexnet,20/80,PGD,resnet,bing,40/60,0.19298247,0.3900709219858156,0.0
31.0,bing,False,InvertColor,alexnet,20/80,PGD,resnet,bing,50/50,0.1048951,0.1805555555555555,0.028169014084507
32.0,bing,False,InvertColor,alexnet,20/80,PGD,vgg,bing,20/80,0.38181818,0.8015267175572519,0.0
33.0,bing,False,InvertColor,alexnet,20/80,PGD,vgg,bing,30/70,0.2913669,0.6,0.0
