Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,20/80,0.5670498,0.7704918032786885,0.3884892086330935
1.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,30/70,0.47744364,0.6349206349206349,0.3357142857142857
2.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,40/60,0.45454547,0.4592592592592592,0.45
3.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,bing,50/50,0.45289856,0.4028776978417266,0.5036496350364964
4.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,20/80,0.21033211,0.1328125,0.2797202797202797
5.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,30/70,0.24822694,0.1159420289855072,0.375
6.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,40/60,0.2912281,0.1063829787234042,0.4722222222222222
7.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,bing,50/50,0.3146853,0.0486111111111111,0.5845070422535211
8.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,20/80,0.33818182,0.3282442748091603,0.3472222222222222
9.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,30/70,0.37410071,0.1185185185185185,0.6153846153846154
10.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,40/60,0.3943662,0.1134751773049645,0.6713286713286714
11.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,bing,50/50,0.4148936,0.0352112676056338,0.8
12.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,20/80,0.5366667,0.6933333333333334,0.38
13.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,30/70,0.47333336,0.5,0.4466666666666666
14.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,40/60,0.42666668,0.4,0.4533333333333333
15.0,bing,True,PGD,alexnet,20/80,FGSM,alexnet,google,50/50,0.45333335,0.2866666666666667,0.62
16.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,20/80,0.28333333,0.28,0.2866666666666667
17.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,30/70,0.26333335,0.0866666666666666,0.44
18.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,40/60,0.27,0.0733333333333333,0.4666666666666667
19.0,bing,True,PGD,alexnet,20/80,FGSM,resnet,google,50/50,0.35666668,0.04,0.6733333333333333
20.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,google,20/80,0.3866667,0.2533333333333333,0.52
21.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,google,30/70,0.4,0.0466666666666666,0.7533333333333333
22.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,google,40/60,0.42333335,0.04,0.8066666666666666
23.0,bing,True,PGD,alexnet,20/80,FGSM,vgg,google,50/50,0.43666667,0.0133333333333333,0.86
24.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,bing,20/80,0.34099615,0.6885245901639344,0.0359712230215827
25.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,bing,30/70,0.24060151,0.4285714285714285,0.0714285714285714
26.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,bing,40/60,0.24727273,0.3851851851851852,0.1142857142857142
27.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,bing,50/50,0.17391305,0.2733812949640288,0.072992700729927
28.0,bing,True,PGD,alexnet,20/80,PGD,resnet,bing,20/80,0.2287823,0.46875,0.0139860139860139
29.0,bing,True,PGD,alexnet,20/80,PGD,resnet,bing,30/70,0.16666666,0.3115942028985507,0.0277777777777777
30.0,bing,True,PGD,alexnet,20/80,PGD,resnet,bing,40/60,0.12280702,0.1843971631205673,0.0625
31.0,bing,True,PGD,alexnet,20/80,PGD,resnet,bing,50/50,0.14335664,0.1666666666666666,0.1197183098591549
32.0,bing,True,PGD,alexnet,20/80,PGD,vgg,bing,20/80,0.42909092,0.8702290076335878,0.0277777777777777
33.0,bing,True,PGD,alexnet,20/80,PGD,vgg,bing,30/70,0.32733813,0.6222222222222222,0.0489510489510489
34.0,bing,True,PGD,alexnet,20/80,PGD,vgg,bing,40/60,0.29929578,0.475177304964539,0.1258741258741259
35.0,bing,True,PGD,alexnet,20/80,PGD,vgg,bing,50/50,0.23404254,0.2816901408450704,0.1857142857142857
36.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,google,20/80,0.39000002,0.6466666666666666,0.1333333333333333
37.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,google,30/70,0.29000002,0.38,0.2
38.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,google,40/60,0.29000002,0.26,0.32
39.0,bing,True,PGD,alexnet,20/80,PGD,alexnet,google,50/50,0.25666666,0.0866666666666666,0.4266666666666667
40.0,bing,True,PGD,alexnet,20/80,PGD,resnet,google,20/80,0.27,0.4533333333333333,0.0866666666666666
41.0,bing,True,PGD,alexnet,20/80,PGD,resnet,google,30/70,0.16333334,0.1666666666666666,0.16
42.0,bing,True,PGD,alexnet,20/80,PGD,resnet,google,40/60,0.21000001,0.0866666666666666,0.3333333333333333
43.0,bing,True,PGD,alexnet,20/80,PGD,resnet,google,50/50,0.24000001,0.06,0.42
44.0,bing,True,PGD,alexnet,20/80,PGD,vgg,google,20/80,0.37,0.58,0.16
45.0,bing,True,PGD,alexnet,20/80,PGD,vgg,google,30/70,0.28333333,0.2866666666666667,0.28
46.0,bing,True,PGD,alexnet,20/80,PGD,vgg,google,40/60,0.3,0.2,0.4
47.0,bing,True,PGD,alexnet,20/80,PGD,vgg,google,50/50,0.28,0.12,0.44
48.0,bing,True,PGD,alexnet,20/80,adaptive,alexnet,bing,20/80,0.23754789,0.4754098360655737,0.0287769784172661
49.0,bing,True,PGD,alexnet,20/80,adaptive,alexnet,bing,30/70,0.28195488,0.4603174603174603,0.1214285714285714
50.0,bing,True,PGD,alexnet,20/80,adaptive,alexnet,bing,40/60,0.27272728,0.2518518518518518,0.2928571428571428
51.0,bing,True,PGD,alexnet,20/80,adaptive,alexnet,bing,50/50,0.17028986,0.2302158273381295,0.1094890510948905
