Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.6130268,0.819672131147541,0.4316546762589928
1.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.5037594,0.5634920634920635,0.45
2.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.50545454,0.5037037037037037,0.5071428571428571
3.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.5289855,0.4892086330935252,0.5693430656934306
4.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.22140221,0.1640625,0.2727272727272727
5.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.24113475,0.1376811594202898,0.3402777777777778
6.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.2736842,0.1276595744680851,0.4166666666666667
7.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.27972028,0.0486111111111111,0.5140845070422535
8.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.35272726,0.366412213740458,0.3402777777777778
9.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.35971224,0.2518518518518518,0.4615384615384615
10.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.3309859,0.1985815602836879,0.4615384615384615
11.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.31205672,0.056338028169014,0.5714285714285714
12.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.5,0.5333333333333333,0.4666666666666667
13.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.47333336,0.4066666666666667,0.54
14.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.49,0.3266666666666666,0.6533333333333333
15.0,bing,True,RFGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.47333336,0.2466666666666666,0.7
16.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.30333334,0.3266666666666666,0.28
17.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.26666668,0.0933333333333333,0.44
18.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.28,0.0666666666666666,0.4933333333333333
19.0,bing,True,RFGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.31666666,0.0466666666666666,0.5866666666666667
20.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.33666667,0.28,0.3933333333333333
21.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.32333335,0.06,0.5866666666666667
22.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.35333335,0.0666666666666666,0.64
23.0,bing,True,RFGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.37,0.0333333333333333,0.7066666666666667
24.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,20/80,0.45210728,0.5983606557377049,0.3237410071942446
25.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,30/70,0.43233085,0.5396825396825397,0.3357142857142857
26.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,40/60,0.38909093,0.4592592592592592,0.3214285714285714
27.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,bing,50/50,0.4021739,0.3741007194244604,0.4306569343065693
28.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,20/80,0.15498155,0.203125,0.1118881118881118
29.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,30/70,0.19503546,0.2028985507246377,0.1875
30.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,40/60,0.19298247,0.1773049645390071,0.2083333333333333
31.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,bing,50/50,0.2097902,0.1319444444444444,0.2887323943661972
32.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,20/80,0.31272727,0.4580152671755725,0.1805555555555555
33.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,30/70,0.26618704,0.3037037037037037,0.2307692307692307
34.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,40/60,0.2640845,0.2198581560283688,0.3076923076923077
35.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,bing,50/50,0.24113475,0.1549295774647887,0.3285714285714285
36.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,20/80,0.41333336,0.52,0.3066666666666666
37.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,30/70,0.37,0.34,0.4
38.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,40/60,0.39333335,0.26,0.5266666666666666
39.0,bing,True,RFGSM,alexnet,20/80,PGD,alexnet,google,50/50,0.40666667,0.22,0.5933333333333334
40.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,20/80,0.27333334,0.3266666666666666,0.22
41.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,30/70,0.22666667,0.1866666666666666,0.2666666666666666
42.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,40/60,0.24000001,0.1,0.38
43.0,bing,True,RFGSM,alexnet,20/80,PGD,resnet,google,50/50,0.26333335,0.0466666666666666,0.48
44.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,20/80,0.30666667,0.3066666666666666,0.3066666666666666
45.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,30/70,0.27666667,0.12,0.4333333333333333
46.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,40/60,0.31333333,0.06,0.5666666666666667
47.0,bing,True,RFGSM,alexnet,20/80,PGD,vgg,google,50/50,0.33,0.0533333333333333,0.6066666666666667
48.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,20/80,0.23754789,0.4672131147540984,0.0359712230215827
49.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,30/70,0.2744361,0.373015873015873,0.1857142857142857
50.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,40/60,0.26545456,0.2518518518518518,0.2785714285714286
51.0,bing,True,RFGSM,alexnet,20/80,adaptive,alexnet,bing,50/50,0.18478261,0.237410071942446,0.1313868613138686
52.0,bing,True,RFGSM,alexnet,20/80,adaptive,resnet,bing,20/80,0.12177122,0.21875,0.0349650349650349
