Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,20/80,0.4367816,0.9098360655737704,0.0215827338129496
1.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,30/70,0.33458647,0.6190476190476191,0.0785714285714285
2.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,40/60,0.33818182,0.6074074074074074,0.0785714285714285
3.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,bing,50/50,0.35869566,0.4532374100719424,0.2627737226277372
4.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,20/80,0.45387456,0.953125,0.0069930069930069
5.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,30/70,0.429078,0.8405797101449275,0.0347222222222222
6.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,40/60,0.44912282,0.8936170212765957,0.0138888888888888
7.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,bing,50/50,0.36013985,0.6388888888888888,0.0774647887323943
8.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,20/80,0.4618182,0.9618320610687024,0.0069444444444444
9.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,30/70,0.4532374,0.9185185185185184,0.0139860139860139
10.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,40/60,0.4471831,0.8865248226950354,0.0139860139860139
11.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,bing,50/50,0.3652482,0.6619718309859155,0.0642857142857142
12.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,20/80,0.42000002,0.7733333333333333,0.0666666666666666
13.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,30/70,0.33666667,0.4666666666666667,0.2066666666666666
14.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,40/60,0.30666667,0.2866666666666667,0.3266666666666666
15.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,alexnet,google,50/50,0.32666668,0.2933333333333333,0.36
16.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,20/80,0.49,0.98,0.0
17.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,30/70,0.42666668,0.8,0.0533333333333333
18.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,40/60,0.36333334,0.6533333333333333,0.0733333333333333
19.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,resnet,google,50/50,0.34666666,0.2066666666666666,0.4866666666666667
20.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,20/80,0.48333335,0.96,0.0066666666666666
21.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,30/70,0.39333335,0.72,0.0666666666666666
22.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,40/60,0.42333335,0.7533333333333333,0.0933333333333333
23.0,bing,False,RandomBlackBox,alexnet,20/80,FGSM,vgg,google,50/50,0.30666667,0.2333333333333333,0.38
24.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,bing,20/80,0.40996167,0.860655737704918,0.014388489208633
25.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,bing,30/70,0.36090225,0.7222222222222222,0.0357142857142857
26.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,bing,40/60,0.33818182,0.5851851851851851,0.1
27.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,bing,50/50,0.38768116,0.6762589928057554,0.0948905109489051
28.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,bing,20/80,0.47232473,0.984375,0.0139860139860139
29.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,bing,30/70,0.4361702,0.855072463768116,0.0347222222222222
30.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,bing,40/60,0.4526316,0.8794326241134752,0.0347222222222222
31.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,bing,50/50,0.4055944,0.625,0.1830985915492957
32.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,bing,20/80,0.4509091,0.9465648854961832,0.0
33.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,bing,30/70,0.4172662,0.837037037037037,0.0209790209790209
34.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,bing,40/60,0.41901407,0.8226950354609929,0.0209790209790209
35.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,bing,50/50,0.30851063,0.5352112676056338,0.0785714285714285
36.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,google,20/80,0.46666667,0.88,0.0533333333333333
37.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,google,30/70,0.37333333,0.3,0.4466666666666666
38.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,google,40/60,0.32666668,0.16,0.4933333333333333
39.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,alexnet,google,50/50,0.34,0.1866666666666666,0.4933333333333333
40.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,google,20/80,0.5,0.9933333333333332,0.0066666666666666
41.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,google,30/70,0.46333334,0.7933333333333333,0.1333333333333333
42.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,google,40/60,0.35666668,0.3866666666666666,0.3266666666666666
43.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,resnet,google,50/50,0.3866667,0.06,0.7133333333333334
44.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,google,20/80,0.48666668,0.9666666666666668,0.0066666666666666
45.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,google,30/70,0.38333336,0.6533333333333333,0.1133333333333333
46.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,google,40/60,0.3866667,0.6933333333333334,0.08
47.0,bing,False,RandomBlackBox,alexnet,20/80,PGD,vgg,google,50/50,0.29666668,0.18,0.4133333333333333
48.0,bing,False,RandomBlackBox,alexnet,20/80,adaptive,alexnet,bing,20/80,0.37931034,0.680327868852459,0.1151079136690647
49.0,bing,False,RandomBlackBox,alexnet,20/80,adaptive,alexnet,bing,30/70,0.40977445,0.8015873015873016,0.0571428571428571
50.0,bing,False,RandomBlackBox,alexnet,20/80,adaptive,alexnet,bing,40/60,0.3309091,0.4888888888888889,0.1785714285714285
51.0,bing,False,RandomBlackBox,alexnet,20/80,adaptive,alexnet,bing,50/50,0.3152174,0.4388489208633093,0.1897810218978102
52.0,bing,False,RandomBlackBox,alexnet,20/80,adaptive,resnet,bing,20/80,0.4686347,0.9921875,0.0
