Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,20/80,0.3908046,0.4672131147540984,0.3237410071942446
1.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,30/70,0.35338348,0.3571428571428571,0.35
2.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,40/60,0.28363636,0.3777777777777777,0.1928571428571428
3.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,bing,50/50,0.4130435,0.1510791366906475,0.6788321167883211
4.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,20/80,0.18081181,0.1640625,0.1958041958041958
5.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,30/70,0.22695035,0.144927536231884,0.3055555555555556
6.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,40/60,0.21052632,0.3120567375886525,0.1111111111111111
7.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,bing,50/50,0.23426573,0.0902777777777777,0.380281690140845
8.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,20/80,0.22909091,0.2061068702290076,0.25
9.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,30/70,0.25539568,0.1407407407407407,0.3636363636363636
10.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,40/60,0.278169,0.2624113475177305,0.2937062937062937
11.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,bing,50/50,0.28014183,0.0422535211267605,0.5214285714285715
12.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,20/80,0.36333334,0.5066666666666667,0.22
13.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,30/70,0.30333334,0.2266666666666666,0.38
14.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,40/60,0.29666668,0.1533333333333333,0.44
15.0,bing,False,SaltPepper,alexnet,20/80,FGSM,alexnet,google,50/50,0.37666667,0.0666666666666666,0.6866666666666666
16.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,20/80,0.29666668,0.42,0.1733333333333333
17.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,30/70,0.26333335,0.18,0.3466666666666667
18.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,40/60,0.29000002,0.1133333333333333,0.4666666666666667
19.0,bing,False,SaltPepper,alexnet,20/80,FGSM,resnet,google,50/50,0.33333334,0.04,0.6266666666666667
20.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,20/80,0.27333334,0.2,0.3466666666666667
21.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,30/70,0.27,0.2333333333333333,0.3066666666666666
22.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,40/60,0.34666666,0.0,0.6933333333333334
23.0,bing,False,SaltPepper,alexnet,20/80,FGSM,vgg,google,50/50,0.4,0.0,0.8
24.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,20/80,0.42911875,0.8852459016393442,0.0287769784172661
25.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,30/70,0.3157895,0.4206349206349206,0.2214285714285714
26.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,40/60,0.28,0.2888888888888888,0.2714285714285714
27.0,bing,False,SaltPepper,alexnet,20/80,PGD,alexnet,bing,50/50,0.30797103,0.2086330935251798,0.4087591240875912
28.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,20/80,0.199262,0.2890625,0.1188811188811188
29.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,30/70,0.19503546,0.1739130434782608,0.2152777777777778
30.0,bing,False,SaltPepper,alexnet,20/80,PGD,resnet,bing,40/60,0.1754386,0.2340425531914893,0.1180555555555555
