Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,20/80,0.36398467,0.7704918032786885,0.0071942446043165
1.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,30/70,0.30451128,0.626984126984127,0.0142857142857142
2.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,40/60,0.29090908,0.5703703703703704,0.0214285714285714
3.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,bing,50/50,0.26811594,0.4748201438848921,0.0583941605839416
4.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,20/80,0.16236162,0.34375,0.0
5.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,30/70,0.08510638,0.1739130434782608,0.0
6.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,40/60,0.11929825,0.2198581560283688,0.0208333333333333
7.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,resnet,bing,50/50,0.066433564,0.0972222222222222,0.0352112676056338
8.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,20/80,0.22545455,0.465648854961832,0.0069444444444444
9.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,30/70,0.13669065,0.2814814814814815,0.0
10.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,40/60,0.18661971,0.375886524822695,0.0
11.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,vgg,bing,50/50,0.09219858,0.176056338028169,0.0071428571428571
12.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,20/80,0.42333335,0.7933333333333333,0.0533333333333333
13.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,30/70,0.31333333,0.5533333333333333,0.0733333333333333
14.0,bing,False,SplitMergeRGB,alexnet,20/80,FGSM,alexnet,google,40/60,0.34666666,0.64,0.0533333333333333
