Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,20/80,0.080459766,0.1639344262295081,0.0071942446043165
1.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,30/70,0.071428575,0.1269841269841269,0.0214285714285714
2.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,40/60,0.23636363,0.1111111111111111,0.3571428571428571
3.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,bing,50/50,0.0942029,0.0935251798561151,0.0948905109489051
4.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,20/80,0.033210333,0.0703125,0.0
5.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,30/70,0.03900709,0.0797101449275362,0.0
6.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,40/60,0.03508772,0.0709219858156028,0.0
7.0,bing,True,Square,alexnet,20/80,FGSM,resnet,bing,50/50,0.115384616,0.0625,0.1690140845070422
8.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,20/80,0.04,0.0687022900763358,0.0138888888888888
9.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,30/70,0.035971224,0.0592592592592592,0.0139860139860139
10.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,40/60,0.049295776,0.0780141843971631,0.0209790209790209
11.0,bing,True,Square,alexnet,20/80,FGSM,vgg,bing,50/50,0.04609929,0.056338028169014,0.0357142857142857
12.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,20/80,0.16666667,0.32,0.0133333333333333
13.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,30/70,0.13333334,0.2266666666666666,0.04
14.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,40/60,0.11333334,0.1866666666666666,0.04
15.0,bing,True,Square,alexnet,20/80,FGSM,alexnet,google,50/50,0.11666667,0.1466666666666666,0.0866666666666666
16.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,20/80,0.14,0.28,0.0
17.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,30/70,0.10333334,0.1733333333333333,0.0333333333333333
18.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,40/60,0.09666667,0.14,0.0533333333333333
19.0,bing,True,Square,alexnet,20/80,FGSM,resnet,google,50/50,0.28666666,0.1066666666666666,0.4666666666666667
20.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,20/80,0.13333334,0.24,0.0266666666666666
21.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,30/70,0.15666667,0.16,0.1533333333333333
22.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,40/60,0.13333334,0.1133333333333333,0.1533333333333333
23.0,bing,True,Square,alexnet,20/80,FGSM,vgg,google,50/50,0.35,0.1066666666666666,0.5933333333333334
24.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,20/80,0.11111111,0.1639344262295081,0.0647482014388489
25.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,30/70,0.10902256,0.1111111111111111,0.1071428571428571
26.0,bing,True,Square,alexnet,20/80,PGD,alexnet,bing,40/60,0.39636365,0.0814814814814814,0.7
