Unnamed: 0,source_dataset,isMath,attack,source_model,source_balancing,source_adv_training,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,20/80,0.8697318,1.0,0.7553956834532374
1.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,30/70,0.84210527,1.0,0.7
2.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,40/60,0.88,0.9555555555555556,0.8071428571428572
3.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,bing,50/50,0.9202899,0.9640287769784172,0.8759124087591241
4.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,20/80,0.38745388,0.4296875,0.3496503496503496
5.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,30/70,0.3971631,0.3623188405797101,0.4305555555555556
6.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,40/60,0.40350878,0.3262411347517731,0.4791666666666667
7.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,bing,50/50,0.3881119,0.1666666666666666,0.6126760563380281
8.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,20/80,0.48,0.7099236641221374,0.2708333333333333
9.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,30/70,0.47841728,0.5703703703703704,0.3916083916083916
10.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,40/60,0.47887322,0.5390070921985816,0.4195804195804196
11.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,bing,50/50,0.4397163,0.3732394366197183,0.5071428571428571
12.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,20/80,0.7966667,0.9533333333333334,0.64
13.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,30/70,0.81,0.9066666666666666,0.7133333333333334
14.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,40/60,0.84333336,0.8533333333333334,0.8333333333333334
15.0,bing,True,TIFGSM,alexnet,20/80,FGSM,alexnet,google,50/50,0.87333333,0.84,0.9066666666666666
16.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,20/80,0.44,0.4866666666666667,0.3933333333333333
17.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,30/70,0.36666667,0.2333333333333333,0.5
18.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,40/60,0.4,0.26,0.54
19.0,bing,True,TIFGSM,alexnet,20/80,FGSM,resnet,google,50/50,0.4166667,0.1866666666666666,0.6466666666666666
20.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,20/80,0.46333334,0.56,0.3666666666666666
21.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,30/70,0.39333335,0.1933333333333333,0.5933333333333334
22.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,40/60,0.46333334,0.3266666666666666,0.6
23.0,bing,True,TIFGSM,alexnet,20/80,FGSM,vgg,google,50/50,0.43666667,0.1533333333333333,0.72
