,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,BoxBlur,alexnet,20/80,alexnet,bing,20/80,0.05902778,0.12318840579710146,0.0
1,bing,False,BoxBlur,alexnet,20/80,alexnet,bing,30/70,0.06506849,0.11267605633802817,0.02
2,bing,False,BoxBlur,alexnet,20/80,alexnet,bing,40/60,0.051020406,0.0896551724137931,0.013422818791946308
3,bing,False,BoxBlur,alexnet,20/80,alexnet,bing,50/50,0.050847456,0.06164383561643835,0.040268456375838924
4,bing,False,BoxBlur,alexnet,20/80,resnet,bing,20/80,0.18430033,0.3776223776223776,0.0
5,bing,False,BoxBlur,alexnet,20/80,resnet,bing,30/70,0.15646258,0.3194444444444444,0.0
6,bing,False,BoxBlur,alexnet,20/80,resnet,bing,40/60,0.08135593,0.16551724137931034,0.0
7,bing,False,BoxBlur,alexnet,20/80,resnet,bing,50/50,0.033783786,0.0410958904109589,0.02666666666666667
8,bing,False,BoxBlur,alexnet,20/80,vgg,bing,20/80,0.20677966,0.4206896551724138,0.0
9,bing,False,BoxBlur,alexnet,20/80,vgg,bing,30/70,0.22789115,0.4652777777777778,0.0
10,bing,False,BoxBlur,alexnet,20/80,vgg,bing,40/60,0.08135593,0.15172413793103448,0.013333333333333334
11,bing,False,BoxBlur,alexnet,20/80,vgg,bing,50/50,0.08813559,0.09655172413793103,0.08
12,bing,False,BoxBlur,alexnet,20/80,alexnet,google,20/80,0.06333333,0.10666666666666667,0.02
13,bing,False,BoxBlur,alexnet,20/80,alexnet,google,30/70,0.053333335,0.07333333333333333,0.03333333333333333
14,bing,False,BoxBlur,alexnet,20/80,alexnet,google,40/60,0.07666667,0.12,0.03333333333333333
15,bing,False,BoxBlur,alexnet,20/80,alexnet,google,50/50,0.05666667,0.05333333333333334,0.06
16,bing,False,BoxBlur,alexnet,20/80,resnet,google,20/80,0.11,0.22,0.0
17,bing,False,BoxBlur,alexnet,20/80,resnet,google,30/70,0.046666667,0.07333333333333333,0.02
18,bing,False,BoxBlur,alexnet,20/80,resnet,google,40/60,0.033333335,0.03333333333333333,0.03333333333333333
19,bing,False,BoxBlur,alexnet,20/80,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
20,bing,False,BoxBlur,alexnet,20/80,vgg,google,20/80,0.21333334,0.4266666666666667,0.0
21,bing,False,BoxBlur,alexnet,20/80,vgg,google,30/70,0.10666667,0.20666666666666667,0.006666666666666667
22,bing,False,BoxBlur,alexnet,20/80,vgg,google,40/60,0.07666667,0.14666666666666667,0.006666666666666667
23,bing,False,BoxBlur,alexnet,20/80,vgg,google,50/50,0.08,0.07333333333333333,0.08666666666666667
24,bing,False,BoxBlur,alexnet,30/70,alexnet,bing,20/80,0.05902778,0.12318840579710146,0.0
25,bing,False,BoxBlur,alexnet,30/70,alexnet,bing,30/70,0.06506849,0.11267605633802817,0.02
26,bing,False,BoxBlur,alexnet,30/70,alexnet,bing,40/60,0.051020406,0.0896551724137931,0.013422818791946308
27,bing,False,BoxBlur,alexnet,30/70,alexnet,bing,50/50,0.050847456,0.06164383561643835,0.040268456375838924
28,bing,False,BoxBlur,alexnet,30/70,resnet,bing,20/80,0.18430033,0.3776223776223776,0.0
29,bing,False,BoxBlur,alexnet,30/70,resnet,bing,30/70,0.15646258,0.3194444444444444,0.0
30,bing,False,BoxBlur,alexnet,30/70,resnet,bing,40/60,0.08135593,0.16551724137931034,0.0
31,bing,False,BoxBlur,alexnet,30/70,resnet,bing,50/50,0.033783786,0.0410958904109589,0.02666666666666667
32,bing,False,BoxBlur,alexnet,30/70,vgg,bing,20/80,0.20677966,0.4206896551724138,0.0
33,bing,False,BoxBlur,alexnet,30/70,vgg,bing,30/70,0.22789115,0.4652777777777778,0.0
34,bing,False,BoxBlur,alexnet,30/70,vgg,bing,40/60,0.08135593,0.15172413793103448,0.013333333333333334
35,bing,False,BoxBlur,alexnet,30/70,vgg,bing,50/50,0.08813559,0.09655172413793103,0.08
36,bing,False,BoxBlur,alexnet,30/70,alexnet,google,20/80,0.06333333,0.10666666666666667,0.02
37,bing,False,BoxBlur,alexnet,30/70,alexnet,google,30/70,0.053333335,0.07333333333333333,0.03333333333333333
38,bing,False,BoxBlur,alexnet,30/70,alexnet,google,40/60,0.07666667,0.12,0.03333333333333333
39,bing,False,BoxBlur,alexnet,30/70,alexnet,google,50/50,0.05666667,0.05333333333333334,0.06
40,bing,False,BoxBlur,alexnet,30/70,resnet,google,20/80,0.11,0.22,0.0
41,bing,False,BoxBlur,alexnet,30/70,resnet,google,30/70,0.046666667,0.07333333333333333,0.02
