,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,DeepFool,alexnet,20/80,alexnet,bing,20/80,0.3298611,0.5289855072463768,0.14666666666666667
1,bing,True,DeepFool,alexnet,20/80,alexnet,bing,30/70,0.5239726,0.9014084507042254,0.16666666666666666
2,bing,True,DeepFool,alexnet,20/80,alexnet,bing,40/60,0.16666666,0.06896551724137931,0.26174496644295303
3,bing,True,DeepFool,alexnet,20/80,alexnet,bing,50/50,0.25762713,0.19863013698630136,0.31543624161073824
4,bing,True,DeepFool,alexnet,20/80,resnet,bing,20/80,0.15017064,0.25874125874125875,0.04666666666666667
5,bing,True,DeepFool,alexnet,20/80,resnet,bing,30/70,0.08503401,0.09027777777777778,0.08
6,bing,True,DeepFool,alexnet,20/80,resnet,bing,40/60,0.10508475,0.027586206896551724,0.18
7,bing,True,DeepFool,alexnet,20/80,resnet,bing,50/50,0.13513514,0.00684931506849315,0.26
8,bing,True,DeepFool,alexnet,20/80,vgg,bing,20/80,0.32203388,0.6482758620689655,0.006666666666666667
9,bing,True,DeepFool,alexnet,20/80,vgg,bing,30/70,0.2244898,0.4375,0.02
10,bing,True,DeepFool,alexnet,20/80,vgg,bing,40/60,0.07118644,0.0896551724137931,0.05333333333333334
11,bing,True,DeepFool,alexnet,20/80,vgg,bing,50/50,0.07118644,0.05517241379310345,0.08666666666666667
12,bing,True,DeepFool,alexnet,20/80,alexnet,google,20/80,0.30666667,0.46,0.15333333333333332
13,bing,True,DeepFool,alexnet,20/80,alexnet,google,30/70,0.15,0.08666666666666667,0.21333333333333335
14,bing,True,DeepFool,alexnet,20/80,alexnet,google,40/60,0.17,0.06,0.28
15,bing,True,DeepFool,alexnet,20/80,alexnet,google,50/50,0.16666667,0.04666666666666667,0.2866666666666667
16,bing,True,DeepFool,alexnet,20/80,resnet,google,20/80,0.12666667,0.13333333333333333,0.12
17,bing,True,DeepFool,alexnet,20/80,resnet,google,30/70,0.07333334,0.08,0.06666666666666667
18,bing,True,DeepFool,alexnet,20/80,resnet,google,40/60,0.093333334,0.03333333333333333,0.15333333333333332
19,bing,True,DeepFool,alexnet,20/80,resnet,google,50/50,0.10666667,0.02,0.19333333333333333
20,bing,True,DeepFool,alexnet,20/80,vgg,google,20/80,0.31666666,0.6266666666666667,0.006666666666666667
21,bing,True,DeepFool,alexnet,20/80,vgg,google,30/70,0.09666667,0.14,0.05333333333333334
22,bing,True,DeepFool,alexnet,20/80,vgg,google,40/60,0.07666667,0.1,0.05333333333333334
23,bing,True,DeepFool,alexnet,20/80,vgg,google,50/50,0.07666667,0.08666666666666667,0.06666666666666667
24,bing,True,DeepFool,alexnet,30/70,alexnet,bing,20/80,0.2013889,0.39855072463768115,0.02
25,bing,True,DeepFool,alexnet,30/70,alexnet,bing,30/70,0.48972604,0.9859154929577465,0.02
26,bing,True,DeepFool,alexnet,30/70,alexnet,bing,40/60,0.06122449,0.07586206896551724,0.04697986577181208
27,bing,True,DeepFool,alexnet,30/70,alexnet,bing,50/50,0.24067797,0.4178082191780822,0.06711409395973154
28,bing,True,DeepFool,alexnet,30/70,resnet,bing,20/80,0.105802044,0.2097902097902098,0.006666666666666667
29,bing,True,DeepFool,alexnet,30/70,resnet,bing,30/70,0.030612245,0.04861111111111111,0.013333333333333334
30,bing,True,DeepFool,alexnet,30/70,resnet,bing,40/60,0.016949153,0.006896551724137931,0.02666666666666667
31,bing,True,DeepFool,alexnet,30/70,resnet,bing,50/50,0.030405406,0.0,0.06
32,bing,True,DeepFool,alexnet,30/70,vgg,bing,20/80,0.27118644,0.5517241379310345,0.0
33,bing,True,DeepFool,alexnet,30/70,vgg,bing,30/70,0.12244898,0.24305555555555555,0.006666666666666667
34,bing,True,DeepFool,alexnet,30/70,vgg,bing,40/60,0.027118644,0.041379310344827586,0.013333333333333334
35,bing,True,DeepFool,alexnet,30/70,vgg,bing,50/50,0.033898305,0.034482758620689655,0.03333333333333333
36,bing,True,DeepFool,alexnet,30/70,alexnet,google,20/80,0.32,0.6066666666666667,0.03333333333333333
37,bing,True,DeepFool,alexnet,30/70,alexnet,google,30/70,0.04,0.04666666666666667,0.03333333333333333
38,bing,True,DeepFool,alexnet,30/70,alexnet,google,40/60,0.033333335,0.02666666666666667,0.04
39,bing,True,DeepFool,alexnet,30/70,alexnet,google,50/50,0.033333335,0.02666666666666667,0.04
40,bing,True,DeepFool,alexnet,30/70,resnet,google,20/80,0.030000001,0.04,0.02
41,bing,True,DeepFool,alexnet,30/70,resnet,google,30/70,0.026666667,0.03333333333333333,0.02
42,bing,True,DeepFool,alexnet,30/70,resnet,google,40/60,0.030000001,0.02666666666666667,0.03333333333333333
43,bing,True,DeepFool,alexnet,30/70,resnet,google,50/50,0.030000001,0.013333333333333334,0.04666666666666667
44,bing,True,DeepFool,alexnet,30/70,vgg,google,20/80,0.25666666,0.5133333333333333,0.0
45,bing,True,DeepFool,alexnet,30/70,vgg,google,30/70,0.046666667,0.08666666666666667,0.006666666666666667
46,bing,True,DeepFool,alexnet,30/70,vgg,google,40/60,0.030000001,0.05333333333333334,0.006666666666666667
47,bing,True,DeepFool,alexnet,30/70,vgg,google,50/50,0.033333335,0.04666666666666667,0.02
