,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.28819445,0.15217391304347827,0.41333333333333333
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.2979452,0.11971830985915492,0.4666666666666667
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.34353742,0.07586206896551724,0.6040268456375839
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.38305083,0.0410958904109589,0.7181208053691275
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.17064846,0.16083916083916083,0.18
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.16666666,0.1111111111111111,0.22
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.22711864,0.006896551724137931,0.44
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.2533784,0.0,0.5
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.16271186,0.32413793103448274,0.006666666666666667
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.15986395,0.3194444444444444,0.006666666666666667
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.06440678,0.08275862068965517,0.04666666666666667
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.122033894,0.08275862068965517,0.16
12,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.35333335,0.14,0.5666666666666667
13,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.34333333,0.12,0.5666666666666667
14,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.39000002,0.07333333333333333,0.7066666666666667
15,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.36666667,0.06,0.6733333333333333
16,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.2,0.08,0.32
17,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.16666667,0.06,0.2733333333333333
18,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.21333334,0.02666666666666667,0.4
19,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.25,0.02,0.48
20,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.17333333,0.32666666666666666,0.02
21,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.083333336,0.1,0.06666666666666667
22,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.07666667,0.09333333333333334,0.06
23,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.093333334,0.05333333333333334,0.13333333333333333
24,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.2777778,0.15217391304347827,0.3933333333333333
