,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,20/80,0.017361112,0.007246376811594203,0.02666666666666667
1,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,30/70,0.023972603,0.0,0.04666666666666667
2,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,40/60,0.023809522,0.0,0.04697986577181208
3,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,50/50,0.037288137,0.0,0.0738255033557047
4,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,20/80,0.017064845,0.013986013986013986,0.02
5,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,30/70,0.010204081,0.0,0.02
6,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,40/60,0.040677965,0.0,0.08
7,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,50/50,0.10135135,0.0,0.2
8,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,20/80,0.06440678,0.12413793103448276,0.006666666666666667
9,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,30/70,0.05782313,0.1111111111111111,0.006666666666666667
10,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,40/60,0.020338982,0.013793103448275862,0.02666666666666667
11,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,50/50,0.037288137,0.006896551724137931,0.06666666666666667
12,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,20/80,0.026666667,0.03333333333333333,0.02
13,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,30/70,0.026666667,0.02,0.03333333333333333
14,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,40/60,0.053333335,0.02,0.08666666666666667
15,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,50/50,0.06666667,0.013333333333333334,0.12
16,bing,False,GaussianNoise,alexnet,20/80,resnet,google,20/80,0.04,0.02,0.06
17,bing,False,GaussianNoise,alexnet,20/80,resnet,google,30/70,0.033333335,0.013333333333333334,0.05333333333333334
18,bing,False,GaussianNoise,alexnet,20/80,resnet,google,40/60,0.05,0.013333333333333334,0.08666666666666667
19,bing,False,GaussianNoise,alexnet,20/80,resnet,google,50/50,0.09,0.006666666666666667,0.17333333333333334
20,bing,False,GaussianNoise,alexnet,20/80,vgg,google,20/80,0.07,0.13333333333333333,0.006666666666666667
21,bing,False,GaussianNoise,alexnet,20/80,vgg,google,30/70,0.04,0.06,0.02
22,bing,False,GaussianNoise,alexnet,20/80,vgg,google,40/60,0.04,0.04666666666666667,0.03333333333333333
23,bing,False,GaussianNoise,alexnet,20/80,vgg,google,50/50,0.04,0.04,0.04
24,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,20/80,0.013888889,0.007246376811594203,0.02
25,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,30/70,0.017123288,0.0,0.03333333333333333
26,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,40/60,0.020408163,0.0,0.040268456375838924
27,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,50/50,0.027118644,0.0,0.053691275167785234
28,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,20/80,0.010238907,0.006993006993006993,0.013333333333333334
29,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,30/70,0.013605442,0.0,0.02666666666666667
30,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,40/60,0.044067796,0.0,0.08666666666666667
31,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,50/50,0.0945946,0.0,0.18666666666666668
32,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,20/80,0.07118644,0.13793103448275862,0.006666666666666667
33,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,30/70,0.06462585,0.125,0.006666666666666667
34,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,40/60,0.016949153,0.013793103448275862,0.02
35,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,50/50,0.033898305,0.006896551724137931,0.06
36,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,20/80,0.033333335,0.04666666666666667,0.02
37,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,30/70,0.03666667,0.02666666666666667,0.04666666666666667
38,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,40/60,0.053333335,0.02,0.08666666666666667
39,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,50/50,0.07,0.02,0.12
40,bing,False,GaussianNoise,alexnet,30/70,resnet,google,20/80,0.03666667,0.02666666666666667,0.04666666666666667
41,bing,False,GaussianNoise,alexnet,30/70,resnet,google,30/70,0.030000001,0.02,0.04
42,bing,False,GaussianNoise,alexnet,30/70,resnet,google,40/60,0.053333335,0.02,0.08666666666666667
43,bing,False,GaussianNoise,alexnet,30/70,resnet,google,50/50,0.086666666,0.006666666666666667,0.16666666666666666
44,bing,False,GaussianNoise,alexnet,30/70,vgg,google,20/80,0.07,0.13333333333333333,0.006666666666666667
45,bing,False,GaussianNoise,alexnet,30/70,vgg,google,30/70,0.030000001,0.04666666666666667,0.013333333333333334
46,bing,False,GaussianNoise,alexnet,30/70,vgg,google,40/60,0.030000001,0.04666666666666667,0.013333333333333334
47,bing,False,GaussianNoise,alexnet,30/70,vgg,google,50/50,0.046666667,0.03333333333333333,0.06
48,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,20/80,0.017361112,0.007246376811594203,0.02666666666666667
49,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,30/70,0.01369863,0.0,0.02666666666666667
50,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,40/60,0.020408163,0.0,0.040268456375838924
51,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,50/50,0.050847456,0.0,0.10067114093959731
52,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,20/80,0.013651877,0.013986013986013986,0.013333333333333334
53,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,30/70,0.020408163,0.006944444444444444,0.03333333333333333
54,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,40/60,0.037288137,0.0,0.07333333333333333
55,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,50/50,0.11148649,0.0,0.22
56,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,20/80,0.07457627,0.14482758620689656,0.006666666666666667
57,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,30/70,0.06122449,0.11805555555555555,0.006666666666666667
58,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,40/60,0.016949153,0.020689655172413793,0.013333333333333334
59,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,50/50,0.030508474,0.013793103448275862,0.04666666666666667
60,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,20/80,0.026666667,0.03333333333333333,0.02
61,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,30/70,0.030000001,0.02,0.04
62,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,40/60,0.05666667,0.02,0.09333333333333334
63,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,50/50,0.07,0.02,0.12
64,bing,False,GaussianNoise,alexnet,40/60,resnet,google,20/80,0.043333333,0.04,0.04666666666666667
65,bing,False,GaussianNoise,alexnet,40/60,resnet,google,30/70,0.03666667,0.02,0.05333333333333334
66,bing,False,GaussianNoise,alexnet,40/60,resnet,google,40/60,0.060000002,0.013333333333333334,0.10666666666666667
67,bing,False,GaussianNoise,alexnet,40/60,resnet,google,50/50,0.10666667,0.006666666666666667,0.20666666666666667
68,bing,False,GaussianNoise,alexnet,40/60,vgg,google,20/80,0.07666667,0.14666666666666667,0.006666666666666667
69,bing,False,GaussianNoise,alexnet,40/60,vgg,google,30/70,0.033333335,0.06,0.006666666666666667
70,bing,False,GaussianNoise,alexnet,40/60,vgg,google,40/60,0.04,0.06,0.02
71,bing,False,GaussianNoise,alexnet,40/60,vgg,google,50/50,0.04,0.03333333333333333,0.04666666666666667
72,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,20/80,0.020833334,0.007246376811594203,0.03333333333333333
73,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,30/70,0.017123288,0.007042253521126761,0.02666666666666667
74,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,40/60,0.017006803,0.0,0.03355704697986577
75,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,50/50,0.044067796,0.0,0.087248322147651
76,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,20/80,0.013651877,0.013986013986013986,0.013333333333333334
77,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,30/70,0.010204081,0.006944444444444444,0.013333333333333334
78,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,40/60,0.030508474,0.0,0.06
79,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,50/50,0.08783784,0.0,0.17333333333333334
80,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,20/80,0.06440678,0.12413793103448276,0.006666666666666667
81,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,30/70,0.06122449,0.11805555555555555,0.006666666666666667
82,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,40/60,0.020338982,0.013793103448275862,0.02666666666666667
83,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,50/50,0.037288137,0.0,0.07333333333333333
84,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,20/80,0.030000001,0.02666666666666667,0.03333333333333333
85,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,30/70,0.033333335,0.02,0.04666666666666667
86,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,40/60,0.05666667,0.02,0.09333333333333334
87,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,50/50,0.07666667,0.013333333333333334,0.14
88,bing,False,GaussianNoise,alexnet,50/50,resnet,google,20/80,0.04,0.04,0.04
89,bing,False,GaussianNoise,alexnet,50/50,resnet,google,30/70,0.023333333,0.02,0.02666666666666667
90,bing,False,GaussianNoise,alexnet,50/50,resnet,google,40/60,0.05,0.02,0.08
91,bing,False,GaussianNoise,alexnet,50/50,resnet,google,50/50,0.086666666,0.006666666666666667,0.16666666666666666
92,bing,False,GaussianNoise,alexnet,50/50,vgg,google,20/80,0.060000002,0.11333333333333333,0.006666666666666667
93,bing,False,GaussianNoise,alexnet,50/50,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
94,bing,False,GaussianNoise,alexnet,50/50,vgg,google,40/60,0.04,0.04666666666666667,0.03333333333333333
95,bing,False,GaussianNoise,alexnet,50/50,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
96,bing,False,GaussianNoise,resnet,20/80,alexnet,bing,20/80,0.010416667,0.007246376811594203,0.013333333333333334
