,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,InvertColor,alexnet,20/80,alexnet,bing,20/80,0.041666668,0.07246376811594203,0.013333333333333334
1,bing,False,InvertColor,alexnet,20/80,alexnet,bing,30/70,0.047945205,0.056338028169014086,0.04
2,bing,False,InvertColor,alexnet,20/80,alexnet,bing,40/60,0.040816326,0.027586206896551724,0.053691275167785234
3,bing,False,InvertColor,alexnet,20/80,alexnet,bing,50/50,0.061016947,0.02054794520547945,0.10067114093959731
4,bing,False,InvertColor,alexnet,20/80,resnet,bing,20/80,0.013651877,0.02097902097902098,0.006666666666666667
5,bing,False,InvertColor,alexnet,20/80,resnet,bing,30/70,0.013605442,0.020833333333333332,0.006666666666666667
6,bing,False,InvertColor,alexnet,20/80,resnet,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
7,bing,False,InvertColor,alexnet,20/80,resnet,bing,50/50,0.013513514,0.00684931506849315,0.02
8,bing,False,InvertColor,alexnet,20/80,vgg,bing,20/80,0.010169491,0.020689655172413793,0.0
9,bing,False,InvertColor,alexnet,20/80,vgg,bing,30/70,0.006802721,0.013888888888888888,0.0
10,bing,False,InvertColor,alexnet,20/80,vgg,bing,40/60,0.0033898305,0.0,0.006666666666666667
11,bing,False,InvertColor,alexnet,20/80,vgg,bing,50/50,0.016949153,0.0,0.03333333333333333
12,bing,False,InvertColor,alexnet,20/80,alexnet,google,20/80,0.06666667,0.06666666666666667,0.06666666666666667
13,bing,False,InvertColor,alexnet,20/80,alexnet,google,30/70,0.05,0.05333333333333334,0.04666666666666667
14,bing,False,InvertColor,alexnet,20/80,alexnet,google,40/60,0.08,0.04,0.12
15,bing,False,InvertColor,alexnet,20/80,alexnet,google,50/50,0.11666667,0.02666666666666667,0.20666666666666667
16,bing,False,InvertColor,alexnet,20/80,resnet,google,20/80,0.03666667,0.05333333333333334,0.02
17,bing,False,InvertColor,alexnet,20/80,resnet,google,30/70,0.026666667,0.04,0.013333333333333334
18,bing,False,InvertColor,alexnet,20/80,resnet,google,40/60,0.030000001,0.04,0.02
19,bing,False,InvertColor,alexnet,20/80,resnet,google,50/50,0.023333333,0.02666666666666667,0.02
