,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,PGD,alexnet,20/80,alexnet,bing,20/80,0.17361112,0.10869565217391304,0.23333333333333334
1,bing,True,PGD,alexnet,20/80,alexnet,bing,30/70,0.17465754,0.07746478873239436,0.26666666666666666
2,bing,True,PGD,alexnet,20/80,alexnet,bing,40/60,0.21768707,0.041379310344827586,0.38926174496644295
3,bing,True,PGD,alexnet,20/80,alexnet,bing,50/50,0.26101694,0.0273972602739726,0.4899328859060403
4,bing,True,PGD,alexnet,20/80,resnet,bing,20/80,0.054607507,0.07692307692307693,0.03333333333333333
5,bing,True,PGD,alexnet,20/80,resnet,bing,30/70,0.047619045,0.027777777777777776,0.06666666666666667
6,bing,True,PGD,alexnet,20/80,resnet,bing,40/60,0.12881356,0.0,0.25333333333333335
7,bing,True,PGD,alexnet,20/80,resnet,bing,50/50,0.21283785,0.0,0.42
8,bing,True,PGD,alexnet,20/80,vgg,bing,20/80,0.16271186,0.31724137931034485,0.013333333333333334
9,bing,True,PGD,alexnet,20/80,vgg,bing,30/70,0.1632653,0.3194444444444444,0.013333333333333334
10,bing,True,PGD,alexnet,20/80,vgg,bing,40/60,0.06440678,0.05517241379310345,0.07333333333333333
11,bing,True,PGD,alexnet,20/80,vgg,bing,50/50,0.084745765,0.027586206896551724,0.14
12,bing,True,PGD,alexnet,20/80,alexnet,google,20/80,0.15,0.12,0.18
13,bing,True,PGD,alexnet,20/80,alexnet,google,30/70,0.17666668,0.08,0.2733333333333333
14,bing,True,PGD,alexnet,20/80,alexnet,google,40/60,0.21333334,0.05333333333333334,0.37333333333333335
15,bing,True,PGD,alexnet,20/80,alexnet,google,50/50,0.28333333,0.04666666666666667,0.52
16,bing,True,PGD,alexnet,20/80,resnet,google,20/80,0.1,0.06,0.14
17,bing,True,PGD,alexnet,20/80,resnet,google,30/70,0.06666667,0.03333333333333333,0.1
18,bing,True,PGD,alexnet,20/80,resnet,google,40/60,0.11333334,0.02,0.20666666666666667
19,bing,True,PGD,alexnet,20/80,resnet,google,50/50,0.18333334,0.013333333333333334,0.35333333333333333
20,bing,True,PGD,alexnet,20/80,vgg,google,20/80,0.15666667,0.3,0.013333333333333334
21,bing,True,PGD,alexnet,20/80,vgg,google,30/70,0.093333334,0.14,0.04666666666666667
22,bing,True,PGD,alexnet,20/80,vgg,google,40/60,0.07333334,0.08666666666666667,0.06
23,bing,True,PGD,alexnet,20/80,vgg,google,50/50,0.08,0.06666666666666667,0.09333333333333334
