,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,RFGSM,alexnet,20/80,alexnet,bing,20/80,0.15972222,0.2608695652173913,0.06666666666666667
1,bing,True,RFGSM,alexnet,20/80,alexnet,bing,30/70,0.10273972,0.1619718309859155,0.04666666666666667
2,bing,True,RFGSM,alexnet,20/80,alexnet,bing,40/60,0.11564626,0.15172413793103448,0.08053691275167785
3,bing,True,RFGSM,alexnet,20/80,alexnet,bing,50/50,0.1118644,0.0958904109589041,0.12751677852348994
4,bing,True,RFGSM,alexnet,20/80,resnet,bing,20/80,0.027303753,0.055944055944055944,0.0
5,bing,True,RFGSM,alexnet,20/80,resnet,bing,30/70,0.040816326,0.08333333333333333,0.0
6,bing,True,RFGSM,alexnet,20/80,resnet,bing,40/60,0.013559322,0.020689655172413793,0.006666666666666667
7,bing,True,RFGSM,alexnet,20/80,resnet,bing,50/50,0.006756757,0.00684931506849315,0.006666666666666667
8,bing,True,RFGSM,alexnet,20/80,vgg,bing,20/80,0.027118644,0.05517241379310345,0.0
9,bing,True,RFGSM,alexnet,20/80,vgg,bing,30/70,0.017006803,0.034722222222222224,0.0
10,bing,True,RFGSM,alexnet,20/80,vgg,bing,40/60,0.010169491,0.020689655172413793,0.0
11,bing,True,RFGSM,alexnet,20/80,vgg,bing,50/50,0.0,0.0,0.0
12,bing,True,RFGSM,alexnet,20/80,alexnet,google,20/80,0.15333334,0.28,0.02666666666666667
13,bing,True,RFGSM,alexnet,20/80,alexnet,google,30/70,0.120000005,0.22,0.02
14,bing,True,RFGSM,alexnet,20/80,alexnet,google,40/60,0.1,0.15333333333333332,0.04666666666666667
15,bing,True,RFGSM,alexnet,20/80,alexnet,google,50/50,0.120000005,0.14666666666666667,0.09333333333333334
16,bing,True,RFGSM,alexnet,20/80,resnet,google,20/80,0.07,0.14,0.0
17,bing,True,RFGSM,alexnet,20/80,resnet,google,30/70,0.04,0.08,0.0
18,bing,True,RFGSM,alexnet,20/80,resnet,google,40/60,0.026666667,0.04666666666666667,0.006666666666666667
19,bing,True,RFGSM,alexnet,20/80,resnet,google,50/50,0.02,0.03333333333333333,0.006666666666666667
20,bing,True,RFGSM,alexnet,20/80,vgg,google,20/80,0.060000002,0.12,0.0
21,bing,True,RFGSM,alexnet,20/80,vgg,google,30/70,0.026666667,0.05333333333333334,0.0
22,bing,True,RFGSM,alexnet,20/80,vgg,google,40/60,0.023333333,0.04666666666666667,0.0
23,bing,True,RFGSM,alexnet,20/80,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
24,bing,True,RFGSM,alexnet,30/70,alexnet,bing,20/80,0.13541667,0.2246376811594203,0.05333333333333334
25,bing,True,RFGSM,alexnet,30/70,alexnet,bing,30/70,0.11643836,0.176056338028169,0.06
26,bing,True,RFGSM,alexnet,30/70,alexnet,bing,40/60,0.14285713,0.15862068965517243,0.12751677852348994
27,bing,True,RFGSM,alexnet,30/70,alexnet,bing,50/50,0.12542373,0.0958904109589041,0.15436241610738255
28,bing,True,RFGSM,alexnet,30/70,resnet,bing,20/80,0.03754266,0.07692307692307693,0.0
29,bing,True,RFGSM,alexnet,30/70,resnet,bing,30/70,0.037414964,0.0763888888888889,0.0
30,bing,True,RFGSM,alexnet,30/70,resnet,bing,40/60,0.013559322,0.020689655172413793,0.006666666666666667
31,bing,True,RFGSM,alexnet,30/70,resnet,bing,50/50,0.006756757,0.00684931506849315,0.006666666666666667
32,bing,True,RFGSM,alexnet,30/70,vgg,bing,20/80,0.023728814,0.04827586206896552,0.0
33,bing,True,RFGSM,alexnet,30/70,vgg,bing,30/70,0.027210884,0.04861111111111111,0.006666666666666667
34,bing,True,RFGSM,alexnet,30/70,vgg,bing,40/60,0.010169491,0.020689655172413793,0.0
35,bing,True,RFGSM,alexnet,30/70,vgg,bing,50/50,0.0033898305,0.006896551724137931,0.0
36,bing,True,RFGSM,alexnet,30/70,alexnet,google,20/80,0.15333334,0.2866666666666667,0.02
37,bing,True,RFGSM,alexnet,30/70,alexnet,google,30/70,0.11666667,0.21333333333333335,0.02
38,bing,True,RFGSM,alexnet,30/70,alexnet,google,40/60,0.120000005,0.17333333333333334,0.06666666666666667
39,bing,True,RFGSM,alexnet,30/70,alexnet,google,50/50,0.13000001,0.15333333333333332,0.10666666666666667
40,bing,True,RFGSM,alexnet,30/70,resnet,google,20/80,0.06333333,0.12666666666666668,0.0
41,bing,True,RFGSM,alexnet,30/70,resnet,google,30/70,0.04,0.07333333333333333,0.006666666666666667
42,bing,True,RFGSM,alexnet,30/70,resnet,google,40/60,0.033333335,0.06,0.006666666666666667
43,bing,True,RFGSM,alexnet,30/70,resnet,google,50/50,0.016666668,0.02666666666666667,0.006666666666666667
44,bing,True,RFGSM,alexnet,30/70,vgg,google,20/80,0.060000002,0.12,0.0
45,bing,True,RFGSM,alexnet,30/70,vgg,google,30/70,0.033333335,0.06666666666666667,0.0
46,bing,True,RFGSM,alexnet,30/70,vgg,google,40/60,0.023333333,0.04666666666666667,0.0
47,bing,True,RFGSM,alexnet,30/70,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
48,bing,True,RFGSM,alexnet,40/60,alexnet,bing,20/80,0.15625,0.2391304347826087,0.08
49,bing,True,RFGSM,alexnet,40/60,alexnet,bing,30/70,0.12328767,0.176056338028169,0.07333333333333333
50,bing,True,RFGSM,alexnet,40/60,alexnet,bing,40/60,0.15986395,0.15862068965517243,0.1610738255033557
51,bing,True,RFGSM,alexnet,40/60,alexnet,bing,50/50,0.17966102,0.1232876712328767,0.2348993288590604
52,bing,True,RFGSM,alexnet,40/60,resnet,bing,20/80,0.03754266,0.07692307692307693,0.0
53,bing,True,RFGSM,alexnet,40/60,resnet,bing,30/70,0.037414964,0.0763888888888889,0.0
54,bing,True,RFGSM,alexnet,40/60,resnet,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
55,bing,True,RFGSM,alexnet,40/60,resnet,bing,50/50,0.006756757,0.00684931506849315,0.006666666666666667
56,bing,True,RFGSM,alexnet,40/60,vgg,bing,20/80,0.020338982,0.041379310344827586,0.0
57,bing,True,RFGSM,alexnet,40/60,vgg,bing,30/70,0.023809522,0.04861111111111111,0.0
58,bing,True,RFGSM,alexnet,40/60,vgg,bing,40/60,0.010169491,0.020689655172413793,0.0
59,bing,True,RFGSM,alexnet,40/60,vgg,bing,50/50,0.006779661,0.006896551724137931,0.006666666666666667
60,bing,True,RFGSM,alexnet,40/60,alexnet,google,20/80,0.17,0.3,0.04
61,bing,True,RFGSM,alexnet,40/60,alexnet,google,30/70,0.13666667,0.23333333333333334,0.04
62,bing,True,RFGSM,alexnet,40/60,alexnet,google,40/60,0.14666668,0.18666666666666668,0.10666666666666667
63,bing,True,RFGSM,alexnet,40/60,alexnet,google,50/50,0.16,0.18,0.14
64,bing,True,RFGSM,alexnet,40/60,resnet,google,20/80,0.07,0.13333333333333333,0.006666666666666667
65,bing,True,RFGSM,alexnet,40/60,resnet,google,30/70,0.046666667,0.08,0.013333333333333334
66,bing,True,RFGSM,alexnet,40/60,resnet,google,40/60,0.030000001,0.05333333333333334,0.006666666666666667
67,bing,True,RFGSM,alexnet,40/60,resnet,google,50/50,0.02,0.02666666666666667,0.013333333333333334
68,bing,True,RFGSM,alexnet,40/60,vgg,google,20/80,0.07,0.14,0.0
69,bing,True,RFGSM,alexnet,40/60,vgg,google,30/70,0.026666667,0.05333333333333334,0.0
70,bing,True,RFGSM,alexnet,40/60,vgg,google,40/60,0.023333333,0.04666666666666667,0.0
71,bing,True,RFGSM,alexnet,40/60,vgg,google,50/50,0.02,0.04,0.0
72,bing,True,RFGSM,alexnet,50/50,alexnet,bing,20/80,0.13194445,0.2246376811594203,0.04666666666666667
73,bing,True,RFGSM,alexnet,50/50,alexnet,bing,30/70,0.09931507,0.15492957746478872,0.04666666666666667
74,bing,True,RFGSM,alexnet,50/50,alexnet,bing,40/60,0.13945578,0.15862068965517243,0.12080536912751678
75,bing,True,RFGSM,alexnet,50/50,alexnet,bing,50/50,0.16949153,0.136986301369863,0.20134228187919462
76,bing,True,RFGSM,alexnet,50/50,resnet,bing,20/80,0.04095563,0.08391608391608392,0.0
77,bing,True,RFGSM,alexnet,50/50,resnet,bing,30/70,0.037414964,0.0763888888888889,0.0
78,bing,True,RFGSM,alexnet,50/50,resnet,bing,40/60,0.010169491,0.013793103448275862,0.006666666666666667
79,bing,True,RFGSM,alexnet,50/50,resnet,bing,50/50,0.006756757,0.00684931506849315,0.006666666666666667
80,bing,True,RFGSM,alexnet,50/50,vgg,bing,20/80,0.030508474,0.06206896551724138,0.0
81,bing,True,RFGSM,alexnet,50/50,vgg,bing,30/70,0.037414964,0.0763888888888889,0.0
82,bing,True,RFGSM,alexnet,50/50,vgg,bing,40/60,0.006779661,0.013793103448275862,0.0
83,bing,True,RFGSM,alexnet,50/50,vgg,bing,50/50,0.0,0.0,0.0
84,bing,True,RFGSM,alexnet,50/50,alexnet,google,20/80,0.16,0.29333333333333333,0.02666666666666667
85,bing,True,RFGSM,alexnet,50/50,alexnet,google,30/70,0.123333335,0.23333333333333334,0.013333333333333334
86,bing,True,RFGSM,alexnet,50/50,alexnet,google,40/60,0.11666667,0.16666666666666666,0.06666666666666667
87,bing,True,RFGSM,alexnet,50/50,alexnet,google,50/50,0.14,0.16,0.12
88,bing,True,RFGSM,alexnet,50/50,resnet,google,20/80,0.06666667,0.13333333333333333,0.0
89,bing,True,RFGSM,alexnet,50/50,resnet,google,30/70,0.05666667,0.1,0.013333333333333334
90,bing,True,RFGSM,alexnet,50/50,resnet,google,40/60,0.033333335,0.06,0.006666666666666667
91,bing,True,RFGSM,alexnet,50/50,resnet,google,50/50,0.026666667,0.04,0.013333333333333334
92,bing,True,RFGSM,alexnet,50/50,vgg,google,20/80,0.06666667,0.13333333333333333,0.0
93,bing,True,RFGSM,alexnet,50/50,vgg,google,30/70,0.026666667,0.05333333333333334,0.0
94,bing,True,RFGSM,alexnet,50/50,vgg,google,40/60,0.023333333,0.04666666666666667,0.0
95,bing,True,RFGSM,alexnet,50/50,vgg,google,50/50,0.02,0.04,0.0
96,bing,True,RFGSM,resnet,20/80,alexnet,bing,20/80,0.017361112,0.036231884057971016,0.0
97,bing,True,RFGSM,resnet,20/80,alexnet,bing,30/70,0.006849315,0.007042253521126761,0.006666666666666667
98,bing,True,RFGSM,resnet,20/80,alexnet,bing,40/60,0.006802721,0.013793103448275862,0.0
99,bing,True,RFGSM,resnet,20/80,alexnet,bing,50/50,0.0033898305,0.00684931506849315,0.0
100,bing,True,RFGSM,resnet,20/80,resnet,bing,20/80,0.14675768,0.2727272727272727,0.02666666666666667
101,bing,True,RFGSM,resnet,20/80,resnet,bing,30/70,0.14285713,0.2708333333333333,0.02
102,bing,True,RFGSM,resnet,20/80,resnet,bing,40/60,0.07457627,0.10344827586206896,0.04666666666666667
103,bing,True,RFGSM,resnet,20/80,resnet,bing,50/50,0.06756757,0.0547945205479452,0.08
104,bing,True,RFGSM,resnet,20/80,vgg,bing,20/80,0.040677965,0.08275862068965517,0.0
105,bing,True,RFGSM,resnet,20/80,vgg,bing,30/70,0.051020406,0.09722222222222222,0.006666666666666667
106,bing,True,RFGSM,resnet,20/80,vgg,bing,40/60,0.016949153,0.020689655172413793,0.013333333333333334
107,bing,True,RFGSM,resnet,20/80,vgg,bing,50/50,0.016949153,0.013793103448275862,0.02
108,bing,True,RFGSM,resnet,20/80,alexnet,google,20/80,0.046666667,0.09333333333333334,0.0
109,bing,True,RFGSM,resnet,20/80,alexnet,google,30/70,0.04,0.08,0.0
110,bing,True,RFGSM,resnet,20/80,alexnet,google,40/60,0.026666667,0.05333333333333334,0.0
111,bing,True,RFGSM,resnet,20/80,alexnet,google,50/50,0.023333333,0.04,0.006666666666666667
112,bing,True,RFGSM,resnet,20/80,resnet,google,20/80,0.15333334,0.2733333333333333,0.03333333333333333
113,bing,True,RFGSM,resnet,20/80,resnet,google,30/70,0.086666666,0.16,0.013333333333333334
114,bing,True,RFGSM,resnet,20/80,resnet,google,40/60,0.10666667,0.14666666666666667,0.06666666666666667
115,bing,True,RFGSM,resnet,20/80,resnet,google,50/50,0.086666666,0.08666666666666667,0.08666666666666667
116,bing,True,RFGSM,resnet,20/80,vgg,google,20/80,0.086666666,0.16666666666666666,0.006666666666666667
117,bing,True,RFGSM,resnet,20/80,vgg,google,30/70,0.04,0.07333333333333333,0.006666666666666667
118,bing,True,RFGSM,resnet,20/80,vgg,google,40/60,0.030000001,0.04666666666666667,0.013333333333333334
119,bing,True,RFGSM,resnet,20/80,vgg,google,50/50,0.026666667,0.04,0.013333333333333334
120,bing,True,RFGSM,resnet,30/70,alexnet,bing,20/80,0.013888889,0.028985507246376812,0.0
121,bing,True,RFGSM,resnet,30/70,alexnet,bing,30/70,0.0102739725,0.014084507042253521,0.006666666666666667
122,bing,True,RFGSM,resnet,30/70,alexnet,bing,40/60,0.010204081,0.020689655172413793,0.0
123,bing,True,RFGSM,resnet,30/70,alexnet,bing,50/50,0.0033898305,0.00684931506849315,0.0
124,bing,True,RFGSM,resnet,30/70,resnet,bing,20/80,0.15358362,0.26573426573426573,0.04666666666666667
125,bing,True,RFGSM,resnet,30/70,resnet,bing,30/70,0.15986395,0.2708333333333333,0.05333333333333334
126,bing,True,RFGSM,resnet,30/70,resnet,bing,40/60,0.10169491,0.13793103448275862,0.06666666666666667
127,bing,True,RFGSM,resnet,30/70,resnet,bing,50/50,0.081081085,0.0547945205479452,0.10666666666666667
128,bing,True,RFGSM,resnet,30/70,vgg,bing,20/80,0.044067796,0.0896551724137931,0.0
129,bing,True,RFGSM,resnet,30/70,vgg,bing,30/70,0.08163265,0.1527777777777778,0.013333333333333334
130,bing,True,RFGSM,resnet,30/70,vgg,bing,40/60,0.016949153,0.027586206896551724,0.006666666666666667
131,bing,True,RFGSM,resnet,30/70,vgg,bing,50/50,0.027118644,0.013793103448275862,0.04
132,bing,True,RFGSM,resnet,30/70,alexnet,google,20/80,0.04,0.08,0.0
133,bing,True,RFGSM,resnet,30/70,alexnet,google,30/70,0.03666667,0.07333333333333333,0.0
134,bing,True,RFGSM,resnet,30/70,alexnet,google,40/60,0.030000001,0.06,0.0
135,bing,True,RFGSM,resnet,30/70,alexnet,google,50/50,0.02,0.03333333333333333,0.006666666666666667
136,bing,True,RFGSM,resnet,30/70,resnet,google,20/80,0.17,0.2866666666666667,0.05333333333333334
137,bing,True,RFGSM,resnet,30/70,resnet,google,30/70,0.09666667,0.17333333333333334,0.02
138,bing,True,RFGSM,resnet,30/70,resnet,google,40/60,0.123333335,0.16,0.08666666666666667
139,bing,True,RFGSM,resnet,30/70,resnet,google,50/50,0.10666667,0.08666666666666667,0.12666666666666668
140,bing,True,RFGSM,resnet,30/70,vgg,google,20/80,0.09666667,0.18,0.013333333333333334
141,bing,True,RFGSM,resnet,30/70,vgg,google,30/70,0.046666667,0.07333333333333333,0.02
142,bing,True,RFGSM,resnet,30/70,vgg,google,40/60,0.03666667,0.06,0.013333333333333334
143,bing,True,RFGSM,resnet,30/70,vgg,google,50/50,0.030000001,0.04,0.02
144,bing,True,RFGSM,resnet,40/60,alexnet,bing,20/80,0.017361112,0.036231884057971016,0.0
145,bing,True,RFGSM,resnet,40/60,alexnet,bing,30/70,0.01369863,0.02112676056338028,0.006666666666666667
146,bing,True,RFGSM,resnet,40/60,alexnet,bing,40/60,0.013605442,0.027586206896551724,0.0
147,bing,True,RFGSM,resnet,40/60,alexnet,bing,50/50,0.0033898305,0.00684931506849315,0.0
148,bing,True,RFGSM,resnet,40/60,resnet,bing,20/80,0.16040955,0.2867132867132867,0.04
149,bing,True,RFGSM,resnet,40/60,resnet,bing,30/70,0.14285713,0.2638888888888889,0.02666666666666667
150,bing,True,RFGSM,resnet,40/60,resnet,bing,40/60,0.12881356,0.1793103448275862,0.08
151,bing,True,RFGSM,resnet,40/60,resnet,bing,50/50,0.104729734,0.1232876712328767,0.08666666666666667
152,bing,True,RFGSM,resnet,40/60,vgg,bing,20/80,0.06440678,0.1310344827586207,0.0
153,bing,True,RFGSM,resnet,40/60,vgg,bing,30/70,0.08163265,0.1597222222222222,0.006666666666666667
154,bing,True,RFGSM,resnet,40/60,vgg,bing,40/60,0.013559322,0.027586206896551724,0.0
155,bing,True,RFGSM,resnet,40/60,vgg,bing,50/50,0.027118644,0.020689655172413793,0.03333333333333333
156,bing,True,RFGSM,resnet,40/60,alexnet,google,20/80,0.046666667,0.09333333333333334,0.0
157,bing,True,RFGSM,resnet,40/60,alexnet,google,30/70,0.046666667,0.09333333333333334,0.0
158,bing,True,RFGSM,resnet,40/60,alexnet,google,40/60,0.03666667,0.07333333333333333,0.0
159,bing,True,RFGSM,resnet,40/60,alexnet,google,50/50,0.023333333,0.04,0.006666666666666667
160,bing,True,RFGSM,resnet,40/60,resnet,google,20/80,0.16333334,0.3,0.02666666666666667
161,bing,True,RFGSM,resnet,40/60,resnet,google,30/70,0.12666667,0.22,0.03333333333333333
162,bing,True,RFGSM,resnet,40/60,resnet,google,40/60,0.13000001,0.18,0.08
163,bing,True,RFGSM,resnet,40/60,resnet,google,50/50,0.11,0.12666666666666668,0.09333333333333334
164,bing,True,RFGSM,resnet,40/60,vgg,google,20/80,0.09666667,0.18666666666666668,0.006666666666666667
165,bing,True,RFGSM,resnet,40/60,vgg,google,30/70,0.053333335,0.1,0.006666666666666667
166,bing,True,RFGSM,resnet,40/60,vgg,google,40/60,0.04,0.07333333333333333,0.006666666666666667
167,bing,True,RFGSM,resnet,40/60,vgg,google,50/50,0.030000001,0.04,0.02
168,bing,True,RFGSM,resnet,50/50,alexnet,bing,20/80,0.017361112,0.036231884057971016,0.0
169,bing,True,RFGSM,resnet,50/50,alexnet,bing,30/70,0.017123288,0.028169014084507043,0.006666666666666667
170,bing,True,RFGSM,resnet,50/50,alexnet,bing,40/60,0.013605442,0.020689655172413793,0.006711409395973154
171,bing,True,RFGSM,resnet,50/50,alexnet,bing,50/50,0.006779661,0.00684931506849315,0.006711409395973154
172,bing,True,RFGSM,resnet,50/50,resnet,bing,20/80,0.15699658,0.3076923076923077,0.013333333333333334
173,bing,True,RFGSM,resnet,50/50,resnet,bing,30/70,0.1462585,0.2847222222222222,0.013333333333333334
174,bing,True,RFGSM,resnet,50/50,resnet,bing,40/60,0.122033894,0.21379310344827587,0.03333333333333333
175,bing,True,RFGSM,resnet,50/50,resnet,bing,50/50,0.0945946,0.1232876712328767,0.06666666666666667
176,bing,True,RFGSM,resnet,50/50,vgg,bing,20/80,0.061016947,0.12413793103448276,0.0
177,bing,True,RFGSM,resnet,50/50,vgg,bing,30/70,0.088435374,0.18055555555555555,0.0
178,bing,True,RFGSM,resnet,50/50,vgg,bing,40/60,0.023728814,0.04827586206896552,0.0
179,bing,True,RFGSM,resnet,50/50,vgg,bing,50/50,0.020338982,0.027586206896551724,0.013333333333333334
180,bing,True,RFGSM,resnet,50/50,alexnet,google,20/80,0.046666667,0.09333333333333334,0.0
181,bing,True,RFGSM,resnet,50/50,alexnet,google,30/70,0.046666667,0.09333333333333334,0.0
182,bing,True,RFGSM,resnet,50/50,alexnet,google,40/60,0.030000001,0.06,0.0
183,bing,True,RFGSM,resnet,50/50,alexnet,google,50/50,0.02,0.03333333333333333,0.006666666666666667
184,bing,True,RFGSM,resnet,50/50,resnet,google,20/80,0.15,0.28,0.02
185,bing,True,RFGSM,resnet,50/50,resnet,google,30/70,0.123333335,0.22666666666666666,0.02
186,bing,True,RFGSM,resnet,50/50,resnet,google,40/60,0.123333335,0.19333333333333333,0.05333333333333334
187,bing,True,RFGSM,resnet,50/50,resnet,google,50/50,0.1,0.12666666666666668,0.07333333333333333
188,bing,True,RFGSM,resnet,50/50,vgg,google,20/80,0.10333334,0.20666666666666667,0.0
189,bing,True,RFGSM,resnet,50/50,vgg,google,30/70,0.05666667,0.11333333333333333,0.0
190,bing,True,RFGSM,resnet,50/50,vgg,google,40/60,0.05,0.1,0.0
191,bing,True,RFGSM,resnet,50/50,vgg,google,50/50,0.033333335,0.06,0.006666666666666667
192,bing,True,RFGSM,vgg,20/80,alexnet,bing,20/80,0.017361112,0.036231884057971016,0.0
193,bing,True,RFGSM,vgg,20/80,alexnet,bing,30/70,0.01369863,0.02112676056338028,0.006666666666666667
194,bing,True,RFGSM,vgg,20/80,alexnet,bing,40/60,0.0034013605,0.006896551724137931,0.0
195,bing,True,RFGSM,vgg,20/80,alexnet,bing,50/50,0.006779661,0.00684931506849315,0.006711409395973154
196,bing,True,RFGSM,vgg,20/80,resnet,bing,20/80,0.027303753,0.055944055944055944,0.0
197,bing,True,RFGSM,vgg,20/80,resnet,bing,30/70,0.020408163,0.041666666666666664,0.0
198,bing,True,RFGSM,vgg,20/80,resnet,bing,40/60,0.006779661,0.013793103448275862,0.0
199,bing,True,RFGSM,vgg,20/80,resnet,bing,50/50,0.0033783785,0.0,0.006666666666666667
200,bing,True,RFGSM,vgg,20/80,vgg,bing,20/80,0.18305084,0.2896551724137931,0.08
201,bing,True,RFGSM,vgg,20/80,vgg,bing,30/70,0.1972789,0.2847222222222222,0.11333333333333333
202,bing,True,RFGSM,vgg,20/80,vgg,bing,40/60,0.10508475,0.1310344827586207,0.08
203,bing,True,RFGSM,vgg,20/80,vgg,bing,50/50,0.12881356,0.06896551724137931,0.18666666666666668
204,bing,True,RFGSM,vgg,20/80,alexnet,google,20/80,0.04,0.08,0.0
205,bing,True,RFGSM,vgg,20/80,alexnet,google,30/70,0.03666667,0.07333333333333333,0.0
206,bing,True,RFGSM,vgg,20/80,alexnet,google,40/60,0.030000001,0.05333333333333334,0.006666666666666667
207,bing,True,RFGSM,vgg,20/80,alexnet,google,50/50,0.02,0.03333333333333333,0.006666666666666667
208,bing,True,RFGSM,vgg,20/80,resnet,google,20/80,0.053333335,0.10666666666666667,0.0
