,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,20/80,0.25347224,0.07971014492753623,0.41333333333333333
1,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,30/70,0.2020548,0.1619718309859155,0.24
2,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,40/60,0.21768707,0.05517241379310345,0.37583892617449666
3,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,50/50,0.24067797,0.07534246575342465,0.40268456375838924
4,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,20/80,0.30034128,0.6013986013986014,0.013333333333333334
5,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,30/70,0.23469387,0.3541666666666667,0.12
6,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,40/60,0.20677966,0.1793103448275862,0.23333333333333334
7,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,50/50,0.33445945,0.03424657534246575,0.6266666666666667
8,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,20/80,0.13559322,0.2482758620689655,0.02666666666666667
9,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,30/70,0.16666666,0.2569444444444444,0.08
10,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,40/60,0.2677966,0.034482758620689655,0.49333333333333335
11,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,50/50,0.30508474,0.013793103448275862,0.5866666666666667
12,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,20/80,0.27666667,0.1,0.4533333333333333
13,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,30/70,0.26000002,0.07333333333333333,0.44666666666666666
14,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,40/60,0.42666668,0.013333333333333334,0.84
15,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,50/50,0.39666668,0.0,0.7933333333333333
16,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,20/80,0.26000002,0.34,0.18
17,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,30/70,0.31333333,0.10666666666666667,0.52
18,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,40/60,0.34,0.04,0.64
19,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,50/50,0.43333334,0.006666666666666667,0.86
20,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,20/80,0.17333333,0.30666666666666664,0.04
21,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,30/70,0.19333334,0.08666666666666667,0.3
22,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,40/60,0.22333334,0.06666666666666667,0.38
23,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,50/50,0.25333333,0.04,0.4666666666666667
24,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,20/80,0.25347224,0.07971014492753623,0.41333333333333333
25,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,30/70,0.2020548,0.1619718309859155,0.24
26,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,40/60,0.21768707,0.05517241379310345,0.37583892617449666
27,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,50/50,0.24067797,0.07534246575342465,0.40268456375838924
28,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,20/80,0.30034128,0.6013986013986014,0.013333333333333334
29,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,30/70,0.23469387,0.3541666666666667,0.12
30,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,40/60,0.20677966,0.1793103448275862,0.23333333333333334
31,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,50/50,0.33445945,0.03424657534246575,0.6266666666666667
32,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,20/80,0.13559322,0.2482758620689655,0.02666666666666667
33,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,30/70,0.16666666,0.2569444444444444,0.08
34,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,40/60,0.2677966,0.034482758620689655,0.49333333333333335
35,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,50/50,0.30508474,0.013793103448275862,0.5866666666666667
36,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,20/80,0.27666667,0.1,0.4533333333333333
37,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,30/70,0.26000002,0.07333333333333333,0.44666666666666666
38,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,40/60,0.42666668,0.013333333333333334,0.84
39,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,50/50,0.39666668,0.0,0.7933333333333333
