,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,20/80,0.041666668,0.08695652173913043,0.0
1,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,30/70,0.02739726,0.056338028169014086,0.0
2,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,40/60,0.017006803,0.034482758620689655,0.0
3,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,50/50,0.006779661,0.0136986301369863,0.0
4,bing,False,SaltPepper,alexnet,20/80,resnet,bing,20/80,0.0034129692,0.006993006993006993,0.0
5,bing,False,SaltPepper,alexnet,20/80,resnet,bing,30/70,0.006802721,0.013888888888888888,0.0
6,bing,False,SaltPepper,alexnet,20/80,resnet,bing,40/60,0.0,0.0,0.0
7,bing,False,SaltPepper,alexnet,20/80,resnet,bing,50/50,0.0033783785,0.0,0.006666666666666667
8,bing,False,SaltPepper,alexnet,20/80,vgg,bing,20/80,0.013559322,0.027586206896551724,0.0
9,bing,False,SaltPepper,alexnet,20/80,vgg,bing,30/70,0.013605442,0.027777777777777776,0.0
10,bing,False,SaltPepper,alexnet,20/80,vgg,bing,40/60,0.0,0.0,0.0
11,bing,False,SaltPepper,alexnet,20/80,vgg,bing,50/50,0.0,0.0,0.0
12,bing,False,SaltPepper,alexnet,20/80,alexnet,google,20/80,0.093333334,0.18666666666666668,0.0
13,bing,False,SaltPepper,alexnet,20/80,alexnet,google,30/70,0.04,0.08,0.0
14,bing,False,SaltPepper,alexnet,20/80,alexnet,google,40/60,0.03666667,0.07333333333333333,0.0
15,bing,False,SaltPepper,alexnet,20/80,alexnet,google,50/50,0.023333333,0.04666666666666667,0.0
16,bing,False,SaltPepper,alexnet,20/80,resnet,google,20/80,0.026666667,0.05333333333333334,0.0
17,bing,False,SaltPepper,alexnet,20/80,resnet,google,30/70,0.033333335,0.06666666666666667,0.0
18,bing,False,SaltPepper,alexnet,20/80,resnet,google,40/60,0.016666668,0.03333333333333333,0.0
19,bing,False,SaltPepper,alexnet,20/80,resnet,google,50/50,0.006666667,0.013333333333333334,0.0
20,bing,False,SaltPepper,alexnet,20/80,vgg,google,20/80,0.033333335,0.06666666666666667,0.0
21,bing,False,SaltPepper,alexnet,20/80,vgg,google,30/70,0.023333333,0.04666666666666667,0.0
22,bing,False,SaltPepper,alexnet,20/80,vgg,google,40/60,0.016666668,0.03333333333333333,0.0
23,bing,False,SaltPepper,alexnet,20/80,vgg,google,50/50,0.016666668,0.03333333333333333,0.0
24,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,20/80,0.03125,0.06521739130434782,0.0
25,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,30/70,0.02739726,0.056338028169014086,0.0
26,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,40/60,0.013605442,0.027586206896551724,0.0
27,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,50/50,0.0033898305,0.00684931506849315,0.0
28,bing,False,SaltPepper,alexnet,30/70,resnet,bing,20/80,0.017064845,0.03496503496503497,0.0
29,bing,False,SaltPepper,alexnet,30/70,resnet,bing,30/70,0.013605442,0.020833333333333332,0.006666666666666667
