,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,Square,alexnet,20/80,alexnet,bing,20/80,0.15972222,0.32608695652173914,0.006666666666666667
1,bing,True,Square,alexnet,20/80,alexnet,bing,30/70,0.17465754,0.14084507042253522,0.20666666666666667
2,bing,True,Square,alexnet,20/80,alexnet,bing,40/60,0.24489796,0.034482758620689655,0.44966442953020136
3,bing,True,Square,alexnet,20/80,alexnet,bing,50/50,0.2677966,0.0136986301369863,0.5167785234899329
4,bing,True,Square,alexnet,20/80,resnet,bing,20/80,0.21160409,0.1958041958041958,0.22666666666666666
5,bing,True,Square,alexnet,20/80,resnet,bing,30/70,0.23129252,0.08333333333333333,0.37333333333333335
6,bing,True,Square,alexnet,20/80,resnet,bing,40/60,0.26440677,0.027586206896551724,0.49333333333333335
7,bing,True,Square,alexnet,20/80,resnet,bing,50/50,0.27702704,0.0,0.5466666666666666
8,bing,True,Square,alexnet,20/80,vgg,bing,20/80,0.25084746,0.0,0.49333333333333335
9,bing,True,Square,alexnet,20/80,vgg,bing,30/70,0.25170067,0.034722222222222224,0.46
10,bing,True,Square,alexnet,20/80,vgg,bing,40/60,0.29491526,0.0,0.58
11,bing,True,Square,alexnet,20/80,vgg,bing,50/50,0.2983051,0.0,0.5866666666666667
12,bing,True,Square,alexnet,20/80,alexnet,google,20/80,0.29000002,0.03333333333333333,0.5466666666666666
13,bing,True,Square,alexnet,20/80,alexnet,google,30/70,0.26000002,0.03333333333333333,0.4866666666666667
14,bing,True,Square,alexnet,20/80,alexnet,google,40/60,0.3,0.04,0.56
15,bing,True,Square,alexnet,20/80,alexnet,google,50/50,0.27,0.02666666666666667,0.5133333333333333
16,bing,True,Square,alexnet,20/80,resnet,google,20/80,0.31,0.08,0.54
17,bing,True,Square,alexnet,20/80,resnet,google,30/70,0.25666666,0.06666666666666667,0.44666666666666666
18,bing,True,Square,alexnet,20/80,resnet,google,40/60,0.3,0.02,0.58
19,bing,True,Square,alexnet,20/80,resnet,google,50/50,0.29666668,0.02,0.5733333333333334
20,bing,True,Square,alexnet,20/80,vgg,google,20/80,0.3,0.06,0.54
21,bing,True,Square,alexnet,20/80,vgg,google,30/70,0.30333334,0.02666666666666667,0.58
22,bing,True,Square,alexnet,20/80,vgg,google,40/60,0.30333334,0.02666666666666667,0.58
23,bing,True,Square,alexnet,20/80,vgg,google,50/50,0.3,0.02,0.58
24,bing,True,Square,alexnet,30/70,alexnet,bing,20/80,0.3611111,0.7463768115942029,0.006666666666666667
25,bing,True,Square,alexnet,30/70,alexnet,bing,30/70,0.47945204,0.7535211267605634,0.22
26,bing,True,Square,alexnet,30/70,alexnet,bing,40/60,0.30272108,0.3103448275862069,0.2953020134228188
27,bing,True,Square,alexnet,30/70,alexnet,bing,50/50,0.25762713,0.2191780821917808,0.2953020134228188
28,bing,True,Square,alexnet,30/70,resnet,bing,20/80,0.334471,0.46153846153846156,0.21333333333333335
29,bing,True,Square,alexnet,30/70,resnet,bing,30/70,0.26530612,0.2569444444444444,0.2733333333333333
30,bing,True,Square,alexnet,30/70,resnet,bing,40/60,0.18305084,0.07586206896551724,0.2866666666666667
31,bing,True,Square,alexnet,30/70,resnet,bing,50/50,0.16216217,0.0273972602739726,0.29333333333333333
32,bing,True,Square,alexnet,30/70,vgg,bing,20/80,0.21355931,0.1310344827586207,0.29333333333333333
33,bing,True,Square,alexnet,30/70,vgg,bing,30/70,0.26870748,0.24305555555555555,0.29333333333333333
34,bing,True,Square,alexnet,30/70,vgg,bing,40/60,0.14915255,0.0,0.29333333333333333
35,bing,True,Square,alexnet,30/70,vgg,bing,50/50,0.14915255,0.0,0.29333333333333333
36,bing,True,Square,alexnet,30/70,alexnet,google,20/80,0.21333334,0.13333333333333333,0.29333333333333333
37,bing,True,Square,alexnet,30/70,alexnet,google,30/70,0.16333334,0.04666666666666667,0.28
38,bing,True,Square,alexnet,30/70,alexnet,google,40/60,0.18333334,0.07333333333333333,0.29333333333333333
39,bing,True,Square,alexnet,30/70,alexnet,google,50/50,0.18666667,0.08,0.29333333333333333
40,bing,True,Square,alexnet,30/70,resnet,google,20/80,0.21333334,0.13333333333333333,0.29333333333333333
41,bing,True,Square,alexnet,30/70,resnet,google,30/70,0.19,0.08666666666666667,0.29333333333333333
42,bing,True,Square,alexnet,30/70,resnet,google,40/60,0.15333334,0.013333333333333334,0.29333333333333333
43,bing,True,Square,alexnet,30/70,resnet,google,50/50,0.16333334,0.02666666666666667,0.3
44,bing,True,Square,alexnet,30/70,vgg,google,20/80,0.21666667,0.14,0.29333333333333333
45,bing,True,Square,alexnet,30/70,vgg,google,30/70,0.15333334,0.013333333333333334,0.29333333333333333
46,bing,True,Square,alexnet,30/70,vgg,google,40/60,0.15333334,0.013333333333333334,0.29333333333333333
47,bing,True,Square,alexnet,30/70,vgg,google,50/50,0.15333334,0.013333333333333334,0.29333333333333333
48,bing,True,Square,alexnet,40/60,alexnet,bing,20/80,0.38194445,0.7971014492753623,0.0
