,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,20/80,0.5173611,0.463768115942029,0.5666666666666667
1,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,30/70,0.43493152,0.3732394366197183,0.49333333333333335
2,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,40/60,0.48639455,0.27586206896551724,0.6912751677852349
3,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,50/50,0.5118644,0.23972602739726026,0.7785234899328859
4,bing,True,TIFGSM,alexnet,20/80,resnet,bing,20/80,0.08532423,0.16783216783216784,0.006666666666666667
5,bing,True,TIFGSM,alexnet,20/80,resnet,bing,30/70,0.06462585,0.13194444444444445,0.0
6,bing,True,TIFGSM,alexnet,20/80,resnet,bing,40/60,0.030508474,0.027586206896551724,0.03333333333333333
7,bing,True,TIFGSM,alexnet,20/80,resnet,bing,50/50,0.030405406,0.02054794520547945,0.04
8,bing,True,TIFGSM,alexnet,20/80,vgg,bing,20/80,0.037288137,0.06206896551724138,0.013333333333333334
9,bing,True,TIFGSM,alexnet,20/80,vgg,bing,30/70,0.05782313,0.10416666666666667,0.013333333333333334
10,bing,True,TIFGSM,alexnet,20/80,vgg,bing,40/60,0.030508474,0.013793103448275862,0.04666666666666667
11,bing,True,TIFGSM,alexnet,20/80,vgg,bing,50/50,0.037288137,0.0,0.07333333333333333
12,bing,True,TIFGSM,alexnet,20/80,alexnet,google,20/80,0.40333334,0.4066666666666667,0.4
13,bing,True,TIFGSM,alexnet,20/80,alexnet,google,30/70,0.43,0.4,0.46
14,bing,True,TIFGSM,alexnet,20/80,alexnet,google,40/60,0.45000002,0.31333333333333335,0.5866666666666667
15,bing,True,TIFGSM,alexnet,20/80,alexnet,google,50/50,0.45666668,0.26666666666666666,0.6466666666666666
16,bing,True,TIFGSM,alexnet,20/80,resnet,google,20/80,0.086666666,0.16,0.013333333333333334
17,bing,True,TIFGSM,alexnet,20/80,resnet,google,30/70,0.05,0.08,0.02
18,bing,True,TIFGSM,alexnet,20/80,resnet,google,40/60,0.053333335,0.06,0.04666666666666667
19,bing,True,TIFGSM,alexnet,20/80,resnet,google,50/50,0.043333333,0.04,0.04666666666666667
20,bing,True,TIFGSM,alexnet,20/80,vgg,google,20/80,0.07,0.12666666666666668,0.013333333333333334
21,bing,True,TIFGSM,alexnet,20/80,vgg,google,30/70,0.046666667,0.05333333333333334,0.04
22,bing,True,TIFGSM,alexnet,20/80,vgg,google,40/60,0.04,0.05333333333333334,0.02666666666666667
23,bing,True,TIFGSM,alexnet,20/80,vgg,google,50/50,0.03666667,0.04,0.03333333333333333
24,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,20/80,0.42708334,0.3695652173913043,0.48
25,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,30/70,0.4760274,0.38028169014084506,0.5666666666666667
26,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,40/60,0.50680274,0.2827586206896552,0.7248322147651006
27,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,50/50,0.5254237,0.2602739726027397,0.785234899328859
28,bing,True,TIFGSM,alexnet,30/70,resnet,bing,20/80,0.07508532,0.15384615384615385,0.0
29,bing,True,TIFGSM,alexnet,30/70,resnet,bing,30/70,0.06462585,0.13194444444444445,0.0
30,bing,True,TIFGSM,alexnet,30/70,resnet,bing,40/60,0.016949153,0.020689655172413793,0.013333333333333334
31,bing,True,TIFGSM,alexnet,30/70,resnet,bing,50/50,0.016891893,0.0,0.03333333333333333
32,bing,True,TIFGSM,alexnet,30/70,vgg,bing,20/80,0.033898305,0.05517241379310345,0.013333333333333334
33,bing,True,TIFGSM,alexnet,30/70,vgg,bing,30/70,0.047619045,0.08333333333333333,0.013333333333333334
34,bing,True,TIFGSM,alexnet,30/70,vgg,bing,40/60,0.016949153,0.006896551724137931,0.02666666666666667
35,bing,True,TIFGSM,alexnet,30/70,vgg,bing,50/50,0.027118644,0.0,0.05333333333333334
36,bing,True,TIFGSM,alexnet,30/70,alexnet,google,20/80,0.41333336,0.37333333333333335,0.4533333333333333
37,bing,True,TIFGSM,alexnet,30/70,alexnet,google,30/70,0.4,0.36,0.44
38,bing,True,TIFGSM,alexnet,30/70,alexnet,google,40/60,0.45333335,0.32,0.5866666666666667
39,bing,True,TIFGSM,alexnet,30/70,alexnet,google,50/50,0.46333334,0.2733333333333333,0.6533333333333333
40,bing,True,TIFGSM,alexnet,30/70,resnet,google,20/80,0.07666667,0.14666666666666667,0.006666666666666667
41,bing,True,TIFGSM,alexnet,30/70,resnet,google,30/70,0.043333333,0.07333333333333333,0.013333333333333334
42,bing,True,TIFGSM,alexnet,30/70,resnet,google,40/60,0.053333335,0.06666666666666667,0.04
43,bing,True,TIFGSM,alexnet,30/70,resnet,google,50/50,0.033333335,0.03333333333333333,0.03333333333333333
44,bing,True,TIFGSM,alexnet,30/70,vgg,google,20/80,0.07333334,0.13333333333333333,0.013333333333333334
45,bing,True,TIFGSM,alexnet,30/70,vgg,google,30/70,0.030000001,0.04,0.02
46,bing,True,TIFGSM,alexnet,30/70,vgg,google,40/60,0.026666667,0.04,0.013333333333333334
47,bing,True,TIFGSM,alexnet,30/70,vgg,google,50/50,0.03666667,0.04,0.03333333333333333
48,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,20/80,0.5416667,0.427536231884058,0.6466666666666666
49,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,30/70,0.5171233,0.36619718309859156,0.66
50,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,40/60,0.585034,0.33793103448275863,0.825503355704698
51,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,50/50,0.58305085,0.2945205479452055,0.8657718120805369
52,bing,True,TIFGSM,alexnet,40/60,resnet,bing,20/80,0.08532423,0.16083916083916083,0.013333333333333334
53,bing,True,TIFGSM,alexnet,40/60,resnet,bing,30/70,0.07823129,0.1388888888888889,0.02
54,bing,True,TIFGSM,alexnet,40/60,resnet,bing,40/60,0.050847456,0.05517241379310345,0.04666666666666667
55,bing,True,TIFGSM,alexnet,40/60,resnet,bing,50/50,0.033783786,0.00684931506849315,0.06
56,bing,True,TIFGSM,alexnet,40/60,vgg,bing,20/80,0.05762712,0.09655172413793103,0.02
57,bing,True,TIFGSM,alexnet,40/60,vgg,bing,30/70,0.08163265,0.14583333333333334,0.02
58,bing,True,TIFGSM,alexnet,40/60,vgg,bing,40/60,0.033898305,0.013793103448275862,0.05333333333333334
59,bing,True,TIFGSM,alexnet,40/60,vgg,bing,50/50,0.044067796,0.0,0.08666666666666667
60,bing,True,TIFGSM,alexnet,40/60,alexnet,google,20/80,0.49333334,0.4,0.5866666666666667
61,bing,True,TIFGSM,alexnet,40/60,alexnet,google,30/70,0.50666666,0.4066666666666667,0.6066666666666667
62,bing,True,TIFGSM,alexnet,40/60,alexnet,google,40/60,0.52000004,0.3333333333333333,0.7066666666666667
63,bing,True,TIFGSM,alexnet,40/60,alexnet,google,50/50,0.5133333,0.3,0.7266666666666667
64,bing,True,TIFGSM,alexnet,40/60,resnet,google,20/80,0.10333334,0.16666666666666666,0.04
65,bing,True,TIFGSM,alexnet,40/60,resnet,google,30/70,0.05,0.08,0.02
66,bing,True,TIFGSM,alexnet,40/60,resnet,google,40/60,0.06333333,0.06666666666666667,0.06
67,bing,True,TIFGSM,alexnet,40/60,resnet,google,50/50,0.05,0.03333333333333333,0.06666666666666667
68,bing,True,TIFGSM,alexnet,40/60,vgg,google,20/80,0.08,0.14,0.02
69,bing,True,TIFGSM,alexnet,40/60,vgg,google,30/70,0.05,0.05333333333333334,0.04666666666666667
70,bing,True,TIFGSM,alexnet,40/60,vgg,google,40/60,0.046666667,0.04,0.05333333333333334
71,bing,True,TIFGSM,alexnet,40/60,vgg,google,50/50,0.05666667,0.04,0.07333333333333333
72,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,20/80,0.40625,0.3695652173913043,0.44
73,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,30/70,0.43835616,0.3591549295774648,0.5133333333333333
74,bing,True,TIFGSM,alexnet,50/50,alexnet,bing,40/60,0.5136054,0.27586206896551724,0.7449664429530202
