,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,BIM,alexnet,20/80,alexnet,bing,20/80,0.4911032,0.674074074074074,0.3219178082191781
1,bing,True,BIM,alexnet,20/80,alexnet,bing,30/70,0.47183096,0.6397058823529411,0.31756756756756754
2,bing,True,BIM,alexnet,20/80,alexnet,bing,40/60,0.46830985,0.539568345323741,0.4
3,bing,True,BIM,alexnet,20/80,alexnet,bing,50/50,0.44444445,0.5138888888888888,0.375
4,bing,True,BIM,alexnet,20/80,resnet,bing,20/80,0.20415226,0.30714285714285716,0.10738255033557047
5,bing,True,BIM,alexnet,20/80,resnet,bing,30/70,0.20618556,0.3380281690140845,0.08053691275167785
6,bing,True,BIM,alexnet,20/80,resnet,bing,40/60,0.18430033,0.2465753424657534,0.12244897959183673
7,bing,True,BIM,alexnet,20/80,resnet,bing,50/50,0.15986395,0.1292517006802721,0.19047619047619047
8,bing,True,BIM,alexnet,20/80,vgg,bing,20/80,0.20833333,0.32142857142857145,0.10135135135135136
9,bing,True,BIM,alexnet,20/80,vgg,bing,30/70,0.21453288,0.33098591549295775,0.10204081632653061
10,bing,True,BIM,alexnet,20/80,vgg,bing,40/60,0.2260274,0.30344827586206896,0.14965986394557823
11,bing,True,BIM,alexnet,20/80,vgg,bing,50/50,0.19178082,0.2671232876712329,0.11643835616438356
12,bing,True,BIM,alexnet,20/80,alexnet,google,20/80,0.49666667,0.6533333333333333,0.34
13,bing,True,BIM,alexnet,20/80,alexnet,google,30/70,0.4766667,0.5866666666666667,0.36666666666666664
14,bing,True,BIM,alexnet,20/80,alexnet,google,40/60,0.44333336,0.5333333333333333,0.35333333333333333
15,bing,True,BIM,alexnet,20/80,alexnet,google,50/50,0.40666667,0.4066666666666667,0.4066666666666667
16,bing,True,BIM,alexnet,20/80,resnet,google,20/80,0.22,0.32666666666666666,0.11333333333333333
17,bing,True,BIM,alexnet,20/80,resnet,google,30/70,0.21000001,0.2733333333333333,0.14666666666666667
18,bing,True,BIM,alexnet,20/80,resnet,google,40/60,0.2,0.21333333333333335,0.18666666666666668
19,bing,True,BIM,alexnet,20/80,resnet,google,50/50,0.21333334,0.17333333333333334,0.25333333333333335
20,bing,True,BIM,alexnet,20/80,vgg,google,20/80,0.25333333,0.36,0.14666666666666667
21,bing,True,BIM,alexnet,20/80,vgg,google,30/70,0.25666666,0.36,0.15333333333333332
22,bing,True,BIM,alexnet,20/80,vgg,google,40/60,0.24000001,0.29333333333333333,0.18666666666666668
23,bing,True,BIM,alexnet,20/80,vgg,google,50/50,0.22666667,0.25333333333333335,0.2
24,bing,True,BIM,alexnet,30/70,alexnet,bing,20/80,0.4911032,0.6888888888888889,0.3082191780821918
25,bing,True,BIM,alexnet,30/70,alexnet,bing,30/70,0.4894366,0.6691176470588235,0.32432432432432434
26,bing,True,BIM,alexnet,30/70,alexnet,bing,40/60,0.47887322,0.5755395683453237,0.38620689655172413
27,bing,True,BIM,alexnet,30/70,alexnet,bing,50/50,0.47222224,0.5555555555555556,0.3888888888888889
28,bing,True,BIM,alexnet,30/70,resnet,bing,20/80,0.19031143,0.2857142857142857,0.10067114093959731
29,bing,True,BIM,alexnet,30/70,resnet,bing,30/70,0.209622,0.34507042253521125,0.08053691275167785
30,bing,True,BIM,alexnet,30/70,resnet,bing,40/60,0.20477815,0.23972602739726026,0.17006802721088435
31,bing,True,BIM,alexnet,30/70,resnet,bing,50/50,0.17687075,0.14965986394557823,0.20408163265306123
32,bing,True,BIM,alexnet,30/70,vgg,bing,20/80,0.23958333,0.36428571428571427,0.12162162162162163
33,bing,True,BIM,alexnet,30/70,vgg,bing,30/70,0.23875433,0.38028169014084506,0.10204081632653061
34,bing,True,BIM,alexnet,30/70,vgg,bing,40/60,0.23630136,0.2896551724137931,0.1836734693877551
35,bing,True,BIM,alexnet,30/70,vgg,bing,50/50,0.21232876,0.273972602739726,0.1506849315068493
36,bing,True,BIM,alexnet,30/70,alexnet,google,20/80,0.50333333,0.6533333333333333,0.35333333333333333
37,bing,True,BIM,alexnet,30/70,alexnet,google,30/70,0.48333335,0.5933333333333334,0.37333333333333335
38,bing,True,BIM,alexnet,30/70,alexnet,google,40/60,0.48666668,0.58,0.3933333333333333
39,bing,True,BIM,alexnet,30/70,alexnet,google,50/50,0.4466667,0.44666666666666666,0.44666666666666666
40,bing,True,BIM,alexnet,30/70,resnet,google,20/80,0.25,0.3466666666666667,0.15333333333333332
41,bing,True,BIM,alexnet,30/70,resnet,google,30/70,0.23,0.28,0.18
42,bing,True,BIM,alexnet,30/70,resnet,google,40/60,0.23,0.23333333333333334,0.22666666666666666
43,bing,True,BIM,alexnet,30/70,resnet,google,50/50,0.21666667,0.17333333333333334,0.26
44,bing,True,BIM,alexnet,30/70,vgg,google,20/80,0.28333333,0.38666666666666666,0.18
45,bing,True,BIM,alexnet,30/70,vgg,google,30/70,0.28333333,0.38,0.18666666666666668
46,bing,True,BIM,alexnet,30/70,vgg,google,40/60,0.25,0.29333333333333333,0.20666666666666667
47,bing,True,BIM,alexnet,30/70,vgg,google,50/50,0.22333334,0.23333333333333334,0.21333333333333335
48,bing,True,BIM,alexnet,40/60,alexnet,bing,20/80,0.46975088,0.6888888888888889,0.2671232876712329
49,bing,True,BIM,alexnet,40/60,alexnet,bing,30/70,0.45774648,0.6544117647058824,0.27702702702702703
50,bing,True,BIM,alexnet,40/60,alexnet,bing,40/60,0.49647886,0.6474820143884892,0.35172413793103446
51,bing,True,BIM,alexnet,40/60,alexnet,bing,50/50,0.4965278,0.6041666666666666,0.3888888888888889
52,bing,True,BIM,alexnet,40/60,resnet,bing,20/80,0.1799308,0.2785714285714286,0.087248322147651
53,bing,True,BIM,alexnet,40/60,resnet,bing,30/70,0.18213059,0.28169014084507044,0.087248322147651
54,bing,True,BIM,alexnet,40/60,resnet,bing,40/60,0.15358362,0.1780821917808219,0.1292517006802721
55,bing,True,BIM,alexnet,40/60,resnet,bing,50/50,0.17346938,0.1564625850340136,0.19047619047619047
56,bing,True,BIM,alexnet,40/60,vgg,bing,20/80,0.20833333,0.3357142857142857,0.08783783783783784
57,bing,True,BIM,alexnet,40/60,vgg,bing,30/70,0.20415226,0.323943661971831,0.08843537414965986
58,bing,True,BIM,alexnet,40/60,vgg,bing,40/60,0.19520548,0.2413793103448276,0.14965986394557823
59,bing,True,BIM,alexnet,40/60,vgg,bing,50/50,0.19863014,0.273972602739726,0.1232876712328767
60,bing,True,BIM,alexnet,40/60,alexnet,google,20/80,0.5,0.7,0.3
61,bing,True,BIM,alexnet,40/60,alexnet,google,30/70,0.48000002,0.6333333333333333,0.32666666666666666
62,bing,True,BIM,alexnet,40/60,alexnet,google,40/60,0.45666668,0.5533333333333333,0.36
63,bing,True,BIM,alexnet,40/60,alexnet,google,50/50,0.43666667,0.4666666666666667,0.4066666666666667
64,bing,True,BIM,alexnet,40/60,resnet,google,20/80,0.21333334,0.31333333333333335,0.11333333333333333
65,bing,True,BIM,alexnet,40/60,resnet,google,30/70,0.19333334,0.23333333333333334,0.15333333333333332
66,bing,True,BIM,alexnet,40/60,resnet,google,40/60,0.18666667,0.20666666666666667,0.16666666666666666
67,bing,True,BIM,alexnet,40/60,resnet,google,50/50,0.2,0.14666666666666667,0.25333333333333335
68,bing,True,BIM,alexnet,40/60,vgg,google,20/80,0.22333334,0.31333333333333335,0.13333333333333333
69,bing,True,BIM,alexnet,40/60,vgg,google,30/70,0.23,0.31333333333333335,0.14666666666666667
70,bing,True,BIM,alexnet,40/60,vgg,google,40/60,0.22,0.26666666666666666,0.17333333333333334
71,bing,True,BIM,alexnet,40/60,vgg,google,50/50,0.19666667,0.22,0.17333333333333334
72,bing,True,BIM,alexnet,50/50,alexnet,bing,20/80,0.50889677,0.725925925925926,0.3082191780821918
73,bing,True,BIM,alexnet,50/50,alexnet,bing,30/70,0.5140845,0.7132352941176471,0.3310810810810811
74,bing,True,BIM,alexnet,50/50,alexnet,bing,40/60,0.5246479,0.6690647482014388,0.38620689655172413
75,bing,True,BIM,alexnet,50/50,alexnet,bing,50/50,0.5486111,0.6527777777777778,0.4444444444444444
76,bing,True,BIM,alexnet,50/50,resnet,bing,20/80,0.23875433,0.35714285714285715,0.12751677852348994
77,bing,True,BIM,alexnet,50/50,resnet,bing,30/70,0.22680412,0.36619718309859156,0.09395973154362416
78,bing,True,BIM,alexnet,50/50,resnet,bing,40/60,0.22525597,0.273972602739726,0.17687074829931973
79,bing,True,BIM,alexnet,50/50,resnet,bing,50/50,0.22789115,0.2108843537414966,0.24489795918367346
80,bing,True,BIM,alexnet,50/50,vgg,bing,20/80,0.2326389,0.35714285714285715,0.11486486486486487
81,bing,True,BIM,alexnet,50/50,vgg,bing,30/70,0.24567474,0.38028169014084506,0.11564625850340136
82,bing,True,BIM,alexnet,50/50,vgg,bing,40/60,0.2260274,0.296551724137931,0.1564625850340136
83,bing,True,BIM,alexnet,50/50,vgg,bing,50/50,0.21917808,0.2876712328767123,0.1506849315068493
84,bing,True,BIM,alexnet,50/50,alexnet,google,20/80,0.5266667,0.7133333333333334,0.34
85,bing,True,BIM,alexnet,50/50,alexnet,google,30/70,0.5266667,0.6666666666666666,0.38666666666666666
86,bing,True,BIM,alexnet,50/50,alexnet,google,40/60,0.49666667,0.5866666666666667,0.4066666666666667
87,bing,True,BIM,alexnet,50/50,alexnet,google,50/50,0.48333335,0.49333333333333335,0.47333333333333333
88,bing,True,BIM,alexnet,50/50,resnet,google,20/80,0.25666666,0.36666666666666664,0.14666666666666667
89,bing,True,BIM,alexnet,50/50,resnet,google,30/70,0.24666667,0.30666666666666664,0.18666666666666668
90,bing,True,BIM,alexnet,50/50,resnet,google,40/60,0.23666668,0.24666666666666667,0.22666666666666666
91,bing,True,BIM,alexnet,50/50,resnet,google,50/50,0.23666668,0.2,0.2733333333333333
92,bing,True,BIM,alexnet,50/50,vgg,google,20/80,0.28,0.38666666666666666,0.17333333333333334
93,bing,True,BIM,alexnet,50/50,vgg,google,30/70,0.27666667,0.38,0.17333333333333334
94,bing,True,BIM,alexnet,50/50,vgg,google,40/60,0.27333334,0.32,0.22666666666666666
95,bing,True,BIM,alexnet,50/50,vgg,google,50/50,0.25333333,0.2733333333333333,0.23333333333333334
96,bing,True,BIM,resnet,20/80,alexnet,bing,20/80,0.085409254,0.15555555555555556,0.02054794520547945
97,bing,True,BIM,resnet,20/80,alexnet,bing,30/70,0.049295776,0.07352941176470588,0.02702702702702703
98,bing,True,BIM,resnet,20/80,alexnet,bing,40/60,0.04225352,0.05755395683453238,0.027586206896551724
99,bing,True,BIM,resnet,20/80,alexnet,bing,50/50,0.034722224,0.041666666666666664,0.027777777777777776
100,bing,True,BIM,resnet,20/80,resnet,bing,20/80,0.24221455,0.35714285714285715,0.1342281879194631
101,bing,True,BIM,resnet,20/80,resnet,bing,30/70,0.21649484,0.33098591549295775,0.10738255033557047
102,bing,True,BIM,resnet,20/80,resnet,bing,40/60,0.19453925,0.22602739726027396,0.16326530612244897
103,bing,True,BIM,resnet,20/80,resnet,bing,50/50,0.18367347,0.1564625850340136,0.2108843537414966
104,bing,True,BIM,resnet,20/80,vgg,bing,20/80,0.09375,0.15,0.04054054054054054
105,bing,True,BIM,resnet,20/80,vgg,bing,30/70,0.09342561,0.14084507042253522,0.047619047619047616
106,bing,True,BIM,resnet,20/80,vgg,bing,40/60,0.08219178,0.0896551724137931,0.07482993197278912
107,bing,True,BIM,resnet,20/80,vgg,bing,50/50,0.08561644,0.0958904109589041,0.07534246575342465
108,bing,True,BIM,resnet,20/80,alexnet,google,20/80,0.11,0.22,0.0
109,bing,True,BIM,resnet,20/80,alexnet,google,30/70,0.09666667,0.16666666666666666,0.02666666666666667
110,bing,True,BIM,resnet,20/80,alexnet,google,40/60,0.07,0.08666666666666667,0.05333333333333334
111,bing,True,BIM,resnet,20/80,alexnet,google,50/50,0.07666667,0.08,0.07333333333333333
112,bing,True,BIM,resnet,20/80,resnet,google,20/80,0.19666667,0.28,0.11333333333333333
113,bing,True,BIM,resnet,20/80,resnet,google,30/70,0.20333333,0.26,0.14666666666666667
114,bing,True,BIM,resnet,20/80,resnet,google,40/60,0.19,0.18,0.2
115,bing,True,BIM,resnet,20/80,resnet,google,50/50,0.18666667,0.14666666666666667,0.22666666666666666
116,bing,True,BIM,resnet,20/80,vgg,google,20/80,0.11666667,0.18666666666666668,0.04666666666666667
117,bing,True,BIM,resnet,20/80,vgg,google,30/70,0.09666667,0.14,0.05333333333333334
118,bing,True,BIM,resnet,20/80,vgg,google,40/60,0.09666667,0.11333333333333333,0.08
119,bing,True,BIM,resnet,20/80,vgg,google,50/50,0.09666667,0.08666666666666667,0.10666666666666667
120,bing,True,BIM,resnet,30/70,alexnet,bing,20/80,0.081850536,0.15555555555555556,0.0136986301369863
121,bing,True,BIM,resnet,30/70,alexnet,bing,30/70,0.04225352,0.08088235294117647,0.006756756756756757
122,bing,True,BIM,resnet,30/70,alexnet,bing,40/60,0.038732395,0.05755395683453238,0.020689655172413793
123,bing,True,BIM,resnet,30/70,alexnet,bing,50/50,0.038194444,0.041666666666666664,0.034722222222222224
124,bing,True,BIM,resnet,30/70,resnet,bing,20/80,0.23183392,0.36428571428571427,0.10738255033557047
125,bing,True,BIM,resnet,30/70,resnet,bing,30/70,0.21993127,0.352112676056338,0.09395973154362416
126,bing,True,BIM,resnet,30/70,resnet,bing,40/60,0.19112627,0.2465753424657534,0.1360544217687075
127,bing,True,BIM,resnet,30/70,resnet,bing,50/50,0.1462585,0.1360544217687075,0.1564625850340136
128,bing,True,BIM,resnet,30/70,vgg,bing,20/80,0.104166664,0.17142857142857143,0.04054054054054054
129,bing,True,BIM,resnet,30/70,vgg,bing,30/70,0.09342561,0.15492957746478872,0.034013605442176874
130,bing,True,BIM,resnet,30/70,vgg,bing,40/60,0.07534246,0.08275862068965517,0.06802721088435375
131,bing,True,BIM,resnet,30/70,vgg,bing,50/50,0.06849315,0.08904109589041095,0.04794520547945205
132,bing,True,BIM,resnet,30/70,alexnet,google,20/80,0.1,0.19333333333333333,0.006666666666666667
133,bing,True,BIM,resnet,30/70,alexnet,google,30/70,0.09,0.17333333333333334,0.006666666666666667
134,bing,True,BIM,resnet,30/70,alexnet,google,40/60,0.08,0.1,0.06
135,bing,True,BIM,resnet,30/70,alexnet,google,50/50,0.093333334,0.09333333333333334,0.09333333333333334
