,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,DeepFool,alexnet,20/80,alexnet,bing,20/80,0.44839856,0.7555555555555555,0.1643835616438356
1,bing,True,DeepFool,alexnet,20/80,alexnet,bing,30/70,0.49295774,0.8970588235294118,0.12162162162162163
2,bing,True,DeepFool,alexnet,20/80,alexnet,bing,40/60,0.4753521,0.7553956834532374,0.20689655172413793
3,bing,True,DeepFool,alexnet,20/80,alexnet,bing,50/50,0.3611111,0.4513888888888889,0.2708333333333333
4,bing,True,DeepFool,alexnet,20/80,resnet,bing,20/80,0.28719723,0.5785714285714286,0.013422818791946308
5,bing,True,DeepFool,alexnet,20/80,resnet,bing,30/70,0.32646048,0.6549295774647887,0.013422818791946308
6,bing,True,DeepFool,alexnet,20/80,resnet,bing,40/60,0.2320819,0.4178082191780822,0.047619047619047616
7,bing,True,DeepFool,alexnet,20/80,resnet,bing,50/50,0.16666666,0.1836734693877551,0.14965986394557823
8,bing,True,DeepFool,alexnet,20/80,vgg,bing,20/80,0.4236111,0.8714285714285714,0.0
9,bing,True,DeepFool,alexnet,20/80,vgg,bing,30/70,0.30449829,0.6056338028169014,0.013605442176870748
10,bing,True,DeepFool,alexnet,20/80,vgg,bing,40/60,0.18150684,0.33793103448275863,0.027210884353741496
11,bing,True,DeepFool,alexnet,20/80,vgg,bing,50/50,0.10616438,0.1506849315068493,0.06164383561643835
12,bing,True,DeepFool,alexnet,20/80,alexnet,google,20/80,0.48666668,0.8733333333333333,0.1
13,bing,True,DeepFool,alexnet,20/80,alexnet,google,30/70,0.43,0.6466666666666666,0.21333333333333335
14,bing,True,DeepFool,alexnet,20/80,alexnet,google,40/60,0.39000002,0.4666666666666667,0.31333333333333335
15,bing,True,DeepFool,alexnet,20/80,alexnet,google,50/50,0.38333336,0.42,0.3466666666666667
16,bing,True,DeepFool,alexnet,20/80,resnet,google,20/80,0.38,0.7466666666666667,0.013333333333333334
17,bing,True,DeepFool,alexnet,20/80,resnet,google,30/70,0.14333333,0.22,0.06666666666666667
18,bing,True,DeepFool,alexnet,20/80,resnet,google,40/60,0.14666668,0.17333333333333334,0.12
19,bing,True,DeepFool,alexnet,20/80,resnet,google,50/50,0.16,0.08,0.24
20,bing,True,DeepFool,alexnet,20/80,vgg,google,20/80,0.37,0.7266666666666667,0.013333333333333334
21,bing,True,DeepFool,alexnet,20/80,vgg,google,30/70,0.31,0.58,0.04
22,bing,True,DeepFool,alexnet,20/80,vgg,google,40/60,0.16333334,0.2733333333333333,0.05333333333333334
23,bing,True,DeepFool,alexnet,20/80,vgg,google,50/50,0.10666667,0.14,0.07333333333333333
24,bing,True,DeepFool,alexnet,30/70,alexnet,bing,20/80,0.14946619,0.16296296296296298,0.136986301369863
25,bing,True,DeepFool,alexnet,30/70,alexnet,bing,30/70,0.5387324,1.0,0.11486486486486487
26,bing,True,DeepFool,alexnet,30/70,alexnet,bing,40/60,0.55985916,0.9424460431654677,0.19310344827586207
27,bing,True,DeepFool,alexnet,30/70,alexnet,bing,50/50,0.30555555,0.3958333333333333,0.2152777777777778
28,bing,True,DeepFool,alexnet,30/70,resnet,bing,20/80,0.096885815,0.18571428571428572,0.013422818791946308
29,bing,True,DeepFool,alexnet,30/70,resnet,bing,30/70,0.15463918,0.3028169014084507,0.013422818791946308
30,bing,True,DeepFool,alexnet,30/70,resnet,bing,40/60,0.08191126,0.13013698630136986,0.034013605442176874
31,bing,True,DeepFool,alexnet,30/70,resnet,bing,50/50,0.105442174,0.08163265306122448,0.1292517006802721
32,bing,True,DeepFool,alexnet,30/70,vgg,bing,20/80,0.4861111,0.9857142857142858,0.013513513513513514
33,bing,True,DeepFool,alexnet,30/70,vgg,bing,30/70,0.4117647,0.8169014084507042,0.02040816326530612
34,bing,True,DeepFool,alexnet,30/70,vgg,bing,40/60,0.14041096,0.2482758620689655,0.034013605442176874
35,bing,True,DeepFool,alexnet,30/70,vgg,bing,50/50,0.08561644,0.1095890410958904,0.06164383561643835
36,bing,True,DeepFool,alexnet,30/70,alexnet,google,20/80,0.55333334,0.9933333333333333,0.11333333333333333
37,bing,True,DeepFool,alexnet,30/70,alexnet,google,30/70,0.53333336,0.8733333333333333,0.19333333333333333
38,bing,True,DeepFool,alexnet,30/70,alexnet,google,40/60,0.34,0.41333333333333333,0.26666666666666666
39,bing,True,DeepFool,alexnet,30/70,alexnet,google,50/50,0.37333333,0.4533333333333333,0.29333333333333333
40,bing,True,DeepFool,alexnet,30/70,resnet,google,20/80,0.37333333,0.74,0.006666666666666667
41,bing,True,DeepFool,alexnet,30/70,resnet,google,30/70,0.083333336,0.08,0.08666666666666667
42,bing,True,DeepFool,alexnet,30/70,resnet,google,40/60,0.10666667,0.08,0.13333333333333333
43,bing,True,DeepFool,alexnet,30/70,resnet,google,50/50,0.13333334,0.04,0.22666666666666666
44,bing,True,DeepFool,alexnet,30/70,vgg,google,20/80,0.35,0.68,0.02
45,bing,True,DeepFool,alexnet,30/70,vgg,google,30/70,0.23333333,0.4266666666666667,0.04
46,bing,True,DeepFool,alexnet,30/70,vgg,google,40/60,0.13666667,0.2,0.07333333333333333
47,bing,True,DeepFool,alexnet,30/70,vgg,google,50/50,0.09,0.09333333333333334,0.08666666666666667
48,bing,True,DeepFool,alexnet,40/60,alexnet,bing,20/80,0.10320285,0.08148148148148149,0.1232876712328767
49,bing,True,DeepFool,alexnet,40/60,alexnet,bing,30/70,0.5246479,1.0,0.08783783783783784
50,bing,True,DeepFool,alexnet,40/60,alexnet,bing,40/60,0.5739437,0.9784172661870504,0.18620689655172415
51,bing,True,DeepFool,alexnet,40/60,alexnet,bing,50/50,0.25347224,0.2986111111111111,0.20833333333333334
52,bing,True,DeepFool,alexnet,40/60,resnet,bing,20/80,0.04152249,0.07857142857142857,0.006711409395973154
53,bing,True,DeepFool,alexnet,40/60,resnet,bing,30/70,0.10652921,0.21830985915492956,0.0
54,bing,True,DeepFool,alexnet,40/60,resnet,bing,40/60,0.030716723,0.0410958904109589,0.02040816326530612
55,bing,True,DeepFool,alexnet,40/60,resnet,bing,50/50,0.044217687,0.02040816326530612,0.06802721088435375
56,bing,True,DeepFool,alexnet,40/60,vgg,bing,20/80,0.4826389,0.9928571428571429,0.0
57,bing,True,DeepFool,alexnet,40/60,vgg,bing,30/70,0.4567474,0.9154929577464789,0.013605442176870748
58,bing,True,DeepFool,alexnet,40/60,vgg,bing,40/60,0.11986301,0.22758620689655173,0.013605442176870748
59,bing,True,DeepFool,alexnet,40/60,vgg,bing,50/50,0.034246575,0.04794520547945205,0.02054794520547945
60,bing,True,DeepFool,alexnet,40/60,alexnet,google,20/80,0.53000003,0.9866666666666667,0.07333333333333333
61,bing,True,DeepFool,alexnet,40/60,alexnet,google,30/70,0.5233334,0.88,0.16666666666666666
62,bing,True,DeepFool,alexnet,40/60,alexnet,google,40/60,0.26666668,0.28,0.25333333333333335
63,bing,True,DeepFool,alexnet,40/60,alexnet,google,50/50,0.30666667,0.3466666666666667,0.26666666666666666
64,bing,True,DeepFool,alexnet,40/60,resnet,google,20/80,0.42666668,0.8466666666666667,0.006666666666666667
65,bing,True,DeepFool,alexnet,40/60,resnet,google,30/70,0.033333335,0.013333333333333334,0.05333333333333334
66,bing,True,DeepFool,alexnet,40/60,resnet,google,40/60,0.053333335,0.02,0.08666666666666667
67,bing,True,DeepFool,alexnet,40/60,resnet,google,50/50,0.07666667,0.006666666666666667,0.14666666666666667
68,bing,True,DeepFool,alexnet,40/60,vgg,google,20/80,0.33666667,0.66,0.013333333333333334
69,bing,True,DeepFool,alexnet,40/60,vgg,google,30/70,0.16333334,0.30666666666666664,0.02
70,bing,True,DeepFool,alexnet,40/60,vgg,google,40/60,0.09666667,0.16,0.03333333333333333
71,bing,True,DeepFool,alexnet,40/60,vgg,google,50/50,0.043333333,0.02666666666666667,0.06
72,bing,True,DeepFool,alexnet,50/50,alexnet,bing,20/80,0.37366548,0.725925925925926,0.04794520547945205
73,bing,True,DeepFool,alexnet,50/50,alexnet,bing,30/70,0.49295774,0.9926470588235294,0.033783783783783786
74,bing,True,DeepFool,alexnet,50/50,alexnet,bing,40/60,0.5070422,0.9640287769784173,0.06896551724137931
75,bing,True,DeepFool,alexnet,50/50,alexnet,bing,50/50,0.45833334,0.8333333333333334,0.08333333333333333
76,bing,True,DeepFool,alexnet,50/50,resnet,bing,20/80,0.29065746,0.6,0.0
77,bing,True,DeepFool,alexnet,50/50,resnet,bing,30/70,0.32646048,0.6690140845070423,0.0
78,bing,True,DeepFool,alexnet,50/50,resnet,bing,40/60,0.23549487,0.4657534246575342,0.006802721088435374
79,bing,True,DeepFool,alexnet,50/50,resnet,bing,50/50,0.11904762,0.22448979591836735,0.013605442176870748
80,bing,True,DeepFool,alexnet,50/50,vgg,bing,20/80,0.47222224,0.9642857142857143,0.006756756756756757
81,bing,True,DeepFool,alexnet,50/50,vgg,bing,30/70,0.32525954,0.6619718309859155,0.0
82,bing,True,DeepFool,alexnet,50/50,vgg,bing,40/60,0.25,0.496551724137931,0.006802721088435374
83,bing,True,DeepFool,alexnet,50/50,vgg,bing,50/50,0.15410958,0.3013698630136986,0.00684931506849315
84,bing,True,DeepFool,alexnet,50/50,alexnet,google,20/80,0.50333333,0.9666666666666667,0.04
85,bing,True,DeepFool,alexnet,50/50,alexnet,google,30/70,0.49,0.9,0.08
86,bing,True,DeepFool,alexnet,50/50,alexnet,google,40/60,0.44333336,0.78,0.10666666666666667
87,bing,True,DeepFool,alexnet,50/50,alexnet,google,50/50,0.4766667,0.8,0.15333333333333332
88,bing,True,DeepFool,alexnet,50/50,resnet,google,20/80,0.42000002,0.84,0.0
89,bing,True,DeepFool,alexnet,50/50,resnet,google,30/70,0.15,0.26666666666666666,0.03333333333333333
90,bing,True,DeepFool,alexnet,50/50,resnet,google,40/60,0.14,0.24666666666666667,0.03333333333333333
91,bing,True,DeepFool,alexnet,50/50,resnet,google,50/50,0.08,0.09333333333333334,0.06666666666666667
92,bing,True,DeepFool,alexnet,50/50,vgg,google,20/80,0.4166667,0.82,0.013333333333333334
93,bing,True,DeepFool,alexnet,50/50,vgg,google,30/70,0.38,0.74,0.02
94,bing,True,DeepFool,alexnet,50/50,vgg,google,40/60,0.24333334,0.46,0.02666666666666667
