,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,FGSM,alexnet,20/80,alexnet,bing,20/80,0.56227756,0.6444444444444445,0.4863013698630137
1,bing,True,FGSM,alexnet,20/80,alexnet,bing,30/70,0.4894366,0.6985294117647058,0.2972972972972973
2,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.50352114,0.460431654676259,0.5448275862068965
3,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.4826389,0.2916666666666667,0.6736111111111112
4,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.2733564,0.36428571428571427,0.18791946308724833
5,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.27835053,0.36619718309859156,0.19463087248322147
6,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.2901024,0.2534246575342466,0.32653061224489793
7,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.31632653,0.11564625850340136,0.5170068027210885
8,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.33333334,0.6285714285714286,0.05405405405405406
9,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.29411766,0.36619718309859156,0.22448979591836735
10,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.2739726,0.2896551724137931,0.2585034013605442
11,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.28767124,0.17123287671232876,0.4041095890410959
12,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.5133333,0.5733333333333334,0.4533333333333333
13,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.5,0.47333333333333333,0.5266666666666666
14,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.50333333,0.32666666666666666,0.68
15,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.50333333,0.18666666666666668,0.82
16,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.29333335,0.36666666666666664,0.22
17,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.32333335,0.08,0.5666666666666667
18,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.34333333,0.06,0.6266666666666667
19,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.3866667,0.02666666666666667,0.7466666666666667
20,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.33333334,0.5733333333333334,0.09333333333333334
21,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.29666668,0.44666666666666666,0.14666666666666667
22,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.29666668,0.22,0.37333333333333335
23,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.34,0.1,0.58
24,bing,True,FGSM,alexnet,30/70,alexnet,bing,20/80,0.48398575,0.5703703703703704,0.4041095890410959
25,bing,True,FGSM,alexnet,30/70,alexnet,bing,30/70,0.53521127,0.6911764705882353,0.3918918918918919
26,bing,True,FGSM,alexnet,30/70,alexnet,bing,40/60,0.54577464,0.49640287769784175,0.593103448275862
27,bing,True,FGSM,alexnet,30/70,alexnet,bing,50/50,0.5069445,0.3333333333333333,0.6805555555555556
28,bing,True,FGSM,alexnet,30/70,resnet,bing,20/80,0.2733564,0.38571428571428573,0.16778523489932887
29,bing,True,FGSM,alexnet,30/70,resnet,bing,30/70,0.2646048,0.34507042253521125,0.18791946308724833
30,bing,True,FGSM,alexnet,30/70,resnet,bing,40/60,0.3105802,0.22602739726027396,0.3945578231292517
31,bing,True,FGSM,alexnet,30/70,resnet,bing,50/50,0.31632653,0.10884353741496598,0.5238095238095238
32,bing,True,FGSM,alexnet,30/70,vgg,bing,20/80,0.36805555,0.6714285714285714,0.08108108108108109
33,bing,True,FGSM,alexnet,30/70,vgg,bing,30/70,0.29065746,0.3591549295774648,0.22448979591836735
34,bing,True,FGSM,alexnet,30/70,vgg,bing,40/60,0.29452056,0.296551724137931,0.2925170068027211
35,bing,True,FGSM,alexnet,30/70,vgg,bing,50/50,0.30821916,0.17123287671232876,0.4452054794520548
36,bing,True,FGSM,alexnet,30/70,alexnet,google,20/80,0.54333335,0.64,0.44666666666666666
37,bing,True,FGSM,alexnet,30/70,alexnet,google,30/70,0.49666667,0.47333333333333333,0.52
38,bing,True,FGSM,alexnet,30/70,alexnet,google,40/60,0.51,0.29333333333333333,0.7266666666666667
39,bing,True,FGSM,alexnet,30/70,alexnet,google,50/50,0.5133333,0.21333333333333335,0.8133333333333334
40,bing,True,FGSM,alexnet,30/70,resnet,google,20/80,0.29666668,0.3466666666666667,0.24666666666666667
41,bing,True,FGSM,alexnet,30/70,resnet,google,30/70,0.34333333,0.11333333333333333,0.5733333333333334
42,bing,True,FGSM,alexnet,30/70,resnet,google,40/60,0.36,0.1,0.62
43,bing,True,FGSM,alexnet,30/70,resnet,google,50/50,0.39666668,0.04666666666666667,0.7466666666666667
44,bing,True,FGSM,alexnet,30/70,vgg,google,20/80,0.37333333,0.6266666666666667,0.12
45,bing,True,FGSM,alexnet,30/70,vgg,google,30/70,0.32666668,0.4666666666666667,0.18666666666666668
46,bing,True,FGSM,alexnet,30/70,vgg,google,40/60,0.32333335,0.23333333333333334,0.41333333333333333
47,bing,True,FGSM,alexnet,30/70,vgg,google,50/50,0.35,0.12666666666666668,0.5733333333333334
48,bing,True,FGSM,alexnet,40/60,alexnet,bing,20/80,0.5017794,0.5777777777777777,0.4315068493150685
49,bing,True,FGSM,alexnet,40/60,alexnet,bing,30/70,0.52112675,0.6911764705882353,0.36486486486486486
50,bing,True,FGSM,alexnet,40/60,alexnet,bing,40/60,0.5915493,0.5107913669064749,0.6689655172413793
51,bing,True,FGSM,alexnet,40/60,alexnet,bing,50/50,0.5208333,0.3333333333333333,0.7083333333333334
52,bing,True,FGSM,alexnet,40/60,resnet,bing,20/80,0.25259516,0.36428571428571427,0.1476510067114094
53,bing,True,FGSM,alexnet,40/60,resnet,bing,30/70,0.2508591,0.3380281690140845,0.16778523489932887
54,bing,True,FGSM,alexnet,40/60,resnet,bing,40/60,0.30034128,0.22602739726027396,0.3741496598639456
55,bing,True,FGSM,alexnet,40/60,resnet,bing,50/50,0.3197279,0.10884353741496598,0.5306122448979592
56,bing,True,FGSM,alexnet,40/60,vgg,bing,20/80,0.3402778,0.6214285714285714,0.07432432432432433
57,bing,True,FGSM,alexnet,40/60,vgg,bing,30/70,0.29065746,0.4225352112676056,0.16326530612244897
58,bing,True,FGSM,alexnet,40/60,vgg,bing,40/60,0.2739726,0.30344827586206896,0.24489795918367346
59,bing,True,FGSM,alexnet,40/60,vgg,bing,50/50,0.2739726,0.1506849315068493,0.3972602739726027
60,bing,True,FGSM,alexnet,40/60,alexnet,google,20/80,0.5133333,0.58,0.44666666666666666
