,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,20/80,0.08896797,0.15555555555555556,0.0273972602739726
1,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,30/70,0.07394366,0.1323529411764706,0.02027027027027027
2,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,40/60,0.045774646,0.07194244604316546,0.020689655172413793
3,bing,False,GaussianNoise,alexnet,20/80,alexnet,bing,50/50,0.052083332,0.04861111111111111,0.05555555555555555
4,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,20/80,0.072664365,0.1357142857142857,0.013422818791946308
5,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,30/70,0.06185567,0.11267605633802817,0.013422818791946308
6,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,40/60,0.03412969,0.06164383561643835,0.006802721088435374
7,bing,False,GaussianNoise,alexnet,20/80,resnet,bing,50/50,0.037414964,0.034013605442176874,0.04081632653061224
8,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,20/80,0.13194445,0.22857142857142856,0.04054054054054054
9,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,30/70,0.11764706,0.176056338028169,0.061224489795918366
10,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,40/60,0.10616438,0.13793103448275862,0.07482993197278912
11,bing,False,GaussianNoise,alexnet,20/80,vgg,bing,50/50,0.09589041,0.10273972602739725,0.08904109589041095
12,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,20/80,0.14,0.2733333333333333,0.006666666666666667
13,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,30/70,0.13666667,0.25333333333333335,0.02
14,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,40/60,0.07333334,0.08,0.06666666666666667
15,bing,False,GaussianNoise,alexnet,20/80,alexnet,google,50/50,0.09,0.06,0.12
16,bing,False,GaussianNoise,alexnet,20/80,resnet,google,20/80,0.10666667,0.2,0.013333333333333334
17,bing,False,GaussianNoise,alexnet,20/80,resnet,google,30/70,0.060000002,0.06,0.06
18,bing,False,GaussianNoise,alexnet,20/80,resnet,google,40/60,0.060000002,0.04666666666666667,0.07333333333333333
19,bing,False,GaussianNoise,alexnet,20/80,resnet,google,50/50,0.08,0.03333333333333333,0.12666666666666668
20,bing,False,GaussianNoise,alexnet,20/80,vgg,google,20/80,0.21000001,0.4,0.02
21,bing,False,GaussianNoise,alexnet,20/80,vgg,google,30/70,0.17666668,0.31333333333333335,0.04
22,bing,False,GaussianNoise,alexnet,20/80,vgg,google,40/60,0.11333334,0.16,0.06666666666666667
23,bing,False,GaussianNoise,alexnet,20/80,vgg,google,50/50,0.09666667,0.09333333333333334,0.1
24,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,20/80,0.081850536,0.14074074074074075,0.0273972602739726
25,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,30/70,0.07746479,0.13970588235294118,0.02027027027027027
26,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,40/60,0.0528169,0.07194244604316546,0.034482758620689655
27,bing,False,GaussianNoise,alexnet,30/70,alexnet,bing,50/50,0.052083332,0.04861111111111111,0.05555555555555555
28,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,20/80,0.07612457,0.1357142857142857,0.020134228187919462
29,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,30/70,0.07560138,0.14084507042253522,0.013422818791946308
30,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,40/60,0.0443686,0.06164383561643835,0.027210884353741496
31,bing,False,GaussianNoise,alexnet,30/70,resnet,bing,50/50,0.047619045,0.027210884353741496,0.06802721088435375
32,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,20/80,0.14236112,0.2785714285714286,0.013513513513513514
33,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,30/70,0.10034602,0.16901408450704225,0.034013605442176874
34,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,40/60,0.09246575,0.1310344827586207,0.05442176870748299
35,bing,False,GaussianNoise,alexnet,30/70,vgg,bing,50/50,0.07191781,0.0821917808219178,0.06164383561643835
36,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,20/80,0.16,0.29333333333333333,0.02666666666666667
37,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,30/70,0.14333333,0.25333333333333335,0.03333333333333333
38,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,40/60,0.083333336,0.08666666666666667,0.08
39,bing,False,GaussianNoise,alexnet,30/70,alexnet,google,50/50,0.09666667,0.05333333333333334,0.14
40,bing,False,GaussianNoise,alexnet,30/70,resnet,google,20/80,0.11,0.20666666666666667,0.013333333333333334
41,bing,False,GaussianNoise,alexnet,30/70,resnet,google,30/70,0.083333336,0.08666666666666667,0.08
42,bing,False,GaussianNoise,alexnet,30/70,resnet,google,40/60,0.060000002,0.04,0.08
43,bing,False,GaussianNoise,alexnet,30/70,resnet,google,50/50,0.083333336,0.02,0.14666666666666667
44,bing,False,GaussianNoise,alexnet,30/70,vgg,google,20/80,0.2,0.38666666666666666,0.013333333333333334
45,bing,False,GaussianNoise,alexnet,30/70,vgg,google,30/70,0.16666667,0.31333333333333335,0.02
46,bing,False,GaussianNoise,alexnet,30/70,vgg,google,40/60,0.11,0.16666666666666666,0.05333333333333334
47,bing,False,GaussianNoise,alexnet,30/70,vgg,google,50/50,0.07,0.05333333333333334,0.08666666666666667
48,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,20/80,0.09252669,0.17037037037037037,0.02054794520547945
49,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,30/70,0.08098591,0.15441176470588236,0.013513513513513514
50,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,40/60,0.07042253,0.1079136690647482,0.034482758620689655
51,bing,False,GaussianNoise,alexnet,40/60,alexnet,bing,50/50,0.065972224,0.0625,0.06944444444444445
52,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,20/80,0.072664365,0.12857142857142856,0.020134228187919462
53,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,30/70,0.07216495,0.14084507042253522,0.006711409395973154
54,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,40/60,0.030716723,0.04794520547945205,0.013605442176870748
55,bing,False,GaussianNoise,alexnet,40/60,resnet,bing,50/50,0.037414964,0.02040816326530612,0.05442176870748299
56,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,20/80,0.12847222,0.25,0.013513513513513514
57,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,30/70,0.10726644,0.1619718309859155,0.05442176870748299
58,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,40/60,0.10616438,0.14482758620689656,0.06802721088435375
59,bing,False,GaussianNoise,alexnet,40/60,vgg,bing,50/50,0.0890411,0.08904109589041095,0.08904109589041095
60,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,20/80,0.16666667,0.31333333333333335,0.02
61,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,30/70,0.13333334,0.24,0.02666666666666667
62,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,40/60,0.07,0.08666666666666667,0.05333333333333334
63,bing,False,GaussianNoise,alexnet,40/60,alexnet,google,50/50,0.083333336,0.06666666666666667,0.1
64,bing,False,GaussianNoise,alexnet,40/60,resnet,google,20/80,0.093333334,0.17333333333333334,0.013333333333333334
65,bing,False,GaussianNoise,alexnet,40/60,resnet,google,30/70,0.06666667,0.06666666666666667,0.06666666666666667
66,bing,False,GaussianNoise,alexnet,40/60,resnet,google,40/60,0.060000002,0.04666666666666667,0.07333333333333333
67,bing,False,GaussianNoise,alexnet,40/60,resnet,google,50/50,0.07,0.013333333333333334,0.12666666666666668
68,bing,False,GaussianNoise,alexnet,40/60,vgg,google,20/80,0.22,0.42,0.02
69,bing,False,GaussianNoise,alexnet,40/60,vgg,google,30/70,0.18666667,0.34,0.03333333333333333
70,bing,False,GaussianNoise,alexnet,40/60,vgg,google,40/60,0.11,0.16666666666666666,0.05333333333333334
71,bing,False,GaussianNoise,alexnet,40/60,vgg,google,50/50,0.1,0.07333333333333333,0.12666666666666668
72,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,20/80,0.099644125,0.18518518518518517,0.02054794520547945
73,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,30/70,0.09859155,0.19117647058823528,0.013513513513513514
74,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,40/60,0.07042253,0.1079136690647482,0.034482758620689655
75,bing,False,GaussianNoise,alexnet,50/50,alexnet,bing,50/50,0.05902778,0.05555555555555555,0.0625
76,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,20/80,0.07958478,0.14285714285714285,0.020134228187919462
77,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,30/70,0.07560138,0.1267605633802817,0.026845637583892617
78,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,40/60,0.047781568,0.0684931506849315,0.027210884353741496
79,bing,False,GaussianNoise,alexnet,50/50,resnet,bing,50/50,0.040816326,0.04081632653061224,0.04081632653061224
80,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,20/80,0.15972222,0.3,0.02702702702702703
81,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,30/70,0.10034602,0.1619718309859155,0.04081632653061224
82,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,40/60,0.09589041,0.1310344827586207,0.061224489795918366
83,bing,False,GaussianNoise,alexnet,50/50,vgg,bing,50/50,0.0890411,0.07534246575342465,0.10273972602739725
84,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,20/80,0.16666667,0.30666666666666664,0.02666666666666667
85,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,30/70,0.13666667,0.24,0.03333333333333333
86,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,40/60,0.06666667,0.07333333333333333,0.06
87,bing,False,GaussianNoise,alexnet,50/50,alexnet,google,50/50,0.09,0.07333333333333333,0.10666666666666667
88,bing,False,GaussianNoise,alexnet,50/50,resnet,google,20/80,0.10333334,0.19333333333333333,0.013333333333333334
89,bing,False,GaussianNoise,alexnet,50/50,resnet,google,30/70,0.07,0.08,0.06
90,bing,False,GaussianNoise,alexnet,50/50,resnet,google,40/60,0.06333333,0.06666666666666667,0.06
91,bing,False,GaussianNoise,alexnet,50/50,resnet,google,50/50,0.07666667,0.02,0.13333333333333333
92,bing,False,GaussianNoise,alexnet,50/50,vgg,google,20/80,0.22333334,0.4266666666666667,0.02
93,bing,False,GaussianNoise,alexnet,50/50,vgg,google,30/70,0.18333334,0.34,0.02666666666666667
94,bing,False,GaussianNoise,alexnet,50/50,vgg,google,40/60,0.10333334,0.15333333333333332,0.05333333333333334
95,bing,False,GaussianNoise,alexnet,50/50,vgg,google,50/50,0.08,0.06666666666666667,0.09333333333333334
96,bing,False,GaussianNoise,resnet,20/80,alexnet,bing,20/80,0.081850536,0.14814814814814814,0.02054794520547945
97,bing,False,GaussianNoise,resnet,20/80,alexnet,bing,30/70,0.07394366,0.1323529411764706,0.02027027027027027
98,bing,False,GaussianNoise,resnet,20/80,alexnet,bing,40/60,0.059859153,0.10071942446043165,0.020689655172413793
99,bing,False,GaussianNoise,resnet,20/80,alexnet,bing,50/50,0.045138888,0.05555555555555555,0.034722222222222224
100,bing,False,GaussianNoise,resnet,20/80,resnet,bing,20/80,0.065743946,0.12142857142857143,0.013422818791946308
101,bing,False,GaussianNoise,resnet,20/80,resnet,bing,30/70,0.07560138,0.13380281690140844,0.020134228187919462
102,bing,False,GaussianNoise,resnet,20/80,resnet,bing,40/60,0.04095563,0.0547945205479452,0.027210884353741496
103,bing,False,GaussianNoise,resnet,20/80,resnet,bing,50/50,0.034013607,0.013605442176870748,0.05442176870748299
104,bing,False,GaussianNoise,resnet,20/80,vgg,bing,20/80,0.13194445,0.2642857142857143,0.006756756756756757
105,bing,False,GaussianNoise,resnet,20/80,vgg,bing,30/70,0.10034602,0.1619718309859155,0.04081632653061224
106,bing,False,GaussianNoise,resnet,20/80,vgg,bing,40/60,0.0890411,0.1310344827586207,0.047619047619047616
107,bing,False,GaussianNoise,resnet,20/80,vgg,bing,50/50,0.0890411,0.08904109589041095,0.08904109589041095
108,bing,False,GaussianNoise,resnet,20/80,alexnet,google,20/80,0.14333333,0.2733333333333333,0.013333333333333334
109,bing,False,GaussianNoise,resnet,20/80,alexnet,google,30/70,0.13333334,0.22666666666666666,0.04
110,bing,False,GaussianNoise,resnet,20/80,alexnet,google,40/60,0.060000002,0.06666666666666667,0.05333333333333334
111,bing,False,GaussianNoise,resnet,20/80,alexnet,google,50/50,0.09666667,0.06666666666666667,0.12666666666666668
112,bing,False,GaussianNoise,resnet,20/80,resnet,google,20/80,0.09666667,0.17333333333333334,0.02
113,bing,False,GaussianNoise,resnet,20/80,resnet,google,30/70,0.05,0.05333333333333334,0.04666666666666667
114,bing,False,GaussianNoise,resnet,20/80,resnet,google,40/60,0.043333333,0.02666666666666667,0.06
115,bing,False,GaussianNoise,resnet,20/80,resnet,google,50/50,0.06333333,0.02,0.10666666666666667
116,bing,False,GaussianNoise,resnet,20/80,vgg,google,20/80,0.19666667,0.38666666666666666,0.006666666666666667
117,bing,False,GaussianNoise,resnet,20/80,vgg,google,30/70,0.17,0.32,0.02
118,bing,False,GaussianNoise,resnet,20/80,vgg,google,40/60,0.10666667,0.16666666666666666,0.04666666666666667
119,bing,False,GaussianNoise,resnet,20/80,vgg,google,50/50,0.09,0.08,0.1
120,bing,False,GaussianNoise,resnet,30/70,alexnet,bing,20/80,0.09252669,0.17037037037037037,0.02054794520547945
121,bing,False,GaussianNoise,resnet,30/70,alexnet,bing,30/70,0.07042253,0.1323529411764706,0.013513513513513514
122,bing,False,GaussianNoise,resnet,30/70,alexnet,bing,40/60,0.056338027,0.09352517985611511,0.020689655172413793
123,bing,False,GaussianNoise,resnet,30/70,alexnet,bing,50/50,0.045138888,0.04861111111111111,0.041666666666666664
124,bing,False,GaussianNoise,resnet,30/70,resnet,bing,20/80,0.072664365,0.1357142857142857,0.013422818791946308
125,bing,False,GaussianNoise,resnet,30/70,resnet,bing,30/70,0.0790378,0.14788732394366197,0.013422818791946308
126,bing,False,GaussianNoise,resnet,30/70,resnet,bing,40/60,0.0443686,0.06164383561643835,0.027210884353741496
127,bing,False,GaussianNoise,resnet,30/70,resnet,bing,50/50,0.047619045,0.034013605442176874,0.061224489795918366
128,bing,False,GaussianNoise,resnet,30/70,vgg,bing,20/80,0.12847222,0.24285714285714285,0.02027027027027027
129,bing,False,GaussianNoise,resnet,30/70,vgg,bing,30/70,0.08304498,0.1267605633802817,0.04081632653061224
130,bing,False,GaussianNoise,resnet,30/70,vgg,bing,40/60,0.0890411,0.11724137931034483,0.061224489795918366
131,bing,False,GaussianNoise,resnet,30/70,vgg,bing,50/50,0.08561644,0.0684931506849315,0.10273972602739725
132,bing,False,GaussianNoise,resnet,30/70,alexnet,google,20/80,0.15,0.2866666666666667,0.013333333333333334
133,bing,False,GaussianNoise,resnet,30/70,alexnet,google,30/70,0.120000005,0.22,0.02
134,bing,False,GaussianNoise,resnet,30/70,alexnet,google,40/60,0.07,0.08666666666666667,0.05333333333333334
135,bing,False,GaussianNoise,resnet,30/70,alexnet,google,50/50,0.09666667,0.06666666666666667,0.12666666666666668
136,bing,False,GaussianNoise,resnet,30/70,resnet,google,20/80,0.10333334,0.19333333333333333,0.013333333333333334
137,bing,False,GaussianNoise,resnet,30/70,resnet,google,30/70,0.06333333,0.07333333333333333,0.05333333333333334
138,bing,False,GaussianNoise,resnet,30/70,resnet,google,40/60,0.06333333,0.04,0.08666666666666667
139,bing,False,GaussianNoise,resnet,30/70,resnet,google,50/50,0.07333334,0.02,0.12666666666666668
140,bing,False,GaussianNoise,resnet,30/70,vgg,google,20/80,0.19333334,0.37333333333333335,0.013333333333333334
141,bing,False,GaussianNoise,resnet,30/70,vgg,google,30/70,0.15666667,0.2866666666666667,0.02666666666666667
142,bing,False,GaussianNoise,resnet,30/70,vgg,google,40/60,0.093333334,0.12666666666666668,0.06
143,bing,False,GaussianNoise,resnet,30/70,vgg,google,50/50,0.083333336,0.08,0.08666666666666667
144,bing,False,GaussianNoise,resnet,40/60,alexnet,bing,20/80,0.08896797,0.15555555555555556,0.0273972602739726
145,bing,False,GaussianNoise,resnet,40/60,alexnet,bing,30/70,0.07746479,0.13970588235294118,0.02027027027027027
146,bing,False,GaussianNoise,resnet,40/60,alexnet,bing,40/60,0.049295776,0.07194244604316546,0.027586206896551724
147,bing,False,GaussianNoise,resnet,40/60,alexnet,bing,50/50,0.065972224,0.0763888888888889,0.05555555555555555
148,bing,False,GaussianNoise,resnet,40/60,resnet,bing,20/80,0.08304498,0.14285714285714285,0.026845637583892617
149,bing,False,GaussianNoise,resnet,40/60,resnet,bing,30/70,0.08247423,0.14084507042253522,0.026845637583892617
150,bing,False,GaussianNoise,resnet,40/60,resnet,bing,40/60,0.051194537,0.07534246575342465,0.027210884353741496
151,bing,False,GaussianNoise,resnet,40/60,resnet,bing,50/50,0.047619045,0.027210884353741496,0.06802721088435375
152,bing,False,GaussianNoise,resnet,40/60,vgg,bing,20/80,0.15277778,0.29285714285714287,0.02027027027027027
153,bing,False,GaussianNoise,resnet,40/60,vgg,bing,30/70,0.11072665,0.19014084507042253,0.034013605442176874
154,bing,False,GaussianNoise,resnet,40/60,vgg,bing,40/60,0.09246575,0.14482758620689656,0.04081632653061224
155,bing,False,GaussianNoise,resnet,40/60,vgg,bing,50/50,0.08219178,0.10273972602739725,0.06164383561643835
156,bing,False,GaussianNoise,resnet,40/60,alexnet,google,20/80,0.13666667,0.26,0.013333333333333334
157,bing,False,GaussianNoise,resnet,40/60,alexnet,google,30/70,0.13666667,0.24,0.03333333333333333
158,bing,False,GaussianNoise,resnet,40/60,alexnet,google,40/60,0.07,0.08666666666666667,0.05333333333333334
159,bing,False,GaussianNoise,resnet,40/60,alexnet,google,50/50,0.09,0.06,0.12
160,bing,False,GaussianNoise,resnet,40/60,resnet,google,20/80,0.11333334,0.21333333333333335,0.013333333333333334
161,bing,False,GaussianNoise,resnet,40/60,resnet,google,30/70,0.07666667,0.08666666666666667,0.06666666666666667
162,bing,False,GaussianNoise,resnet,40/60,resnet,google,40/60,0.07,0.06,0.08
163,bing,False,GaussianNoise,resnet,40/60,resnet,google,50/50,0.07333334,0.02666666666666667,0.12
164,bing,False,GaussianNoise,resnet,40/60,vgg,google,20/80,0.23333333,0.44666666666666666,0.02
165,bing,False,GaussianNoise,resnet,40/60,vgg,google,30/70,0.18666667,0.34,0.03333333333333333
166,bing,False,GaussianNoise,resnet,40/60,vgg,google,40/60,0.10333334,0.14,0.06666666666666667
167,bing,False,GaussianNoise,resnet,40/60,vgg,google,50/50,0.086666666,0.08666666666666667,0.08666666666666667
168,bing,False,GaussianNoise,resnet,50/50,alexnet,bing,20/80,0.09252669,0.17037037037037037,0.02054794520547945
169,bing,False,GaussianNoise,resnet,50/50,alexnet,bing,30/70,0.07394366,0.1323529411764706,0.02027027027027027
170,bing,False,GaussianNoise,resnet,50/50,alexnet,bing,40/60,0.056338027,0.07913669064748201,0.034482758620689655
171,bing,False,GaussianNoise,resnet,50/50,alexnet,bing,50/50,0.048611112,0.04861111111111111,0.04861111111111111
172,bing,False,GaussianNoise,resnet,50/50,resnet,bing,20/80,0.06228374,0.11428571428571428,0.013422818791946308
173,bing,False,GaussianNoise,resnet,50/50,resnet,bing,30/70,0.06872852,0.13380281690140844,0.006711409395973154
174,bing,False,GaussianNoise,resnet,50/50,resnet,bing,40/60,0.047781568,0.06164383561643835,0.034013605442176874
175,bing,False,GaussianNoise,resnet,50/50,resnet,bing,50/50,0.040816326,0.013605442176870748,0.06802721088435375
176,bing,False,GaussianNoise,resnet,50/50,vgg,bing,20/80,0.13541667,0.2642857142857143,0.013513513513513514
177,bing,False,GaussianNoise,resnet,50/50,vgg,bing,30/70,0.0899654,0.14788732394366197,0.034013605442176874
178,bing,False,GaussianNoise,resnet,50/50,vgg,bing,40/60,0.08561644,0.11724137931034483,0.05442176870748299
179,bing,False,GaussianNoise,resnet,50/50,vgg,bing,50/50,0.08219178,0.0684931506849315,0.0958904109589041
180,bing,False,GaussianNoise,resnet,50/50,alexnet,google,20/80,0.13666667,0.25333333333333335,0.02
181,bing,False,GaussianNoise,resnet,50/50,alexnet,google,30/70,0.13000001,0.22666666666666666,0.03333333333333333
182,bing,False,GaussianNoise,resnet,50/50,alexnet,google,40/60,0.060000002,0.06666666666666667,0.05333333333333334
183,bing,False,GaussianNoise,resnet,50/50,alexnet,google,50/50,0.093333334,0.06666666666666667,0.12
184,bing,False,GaussianNoise,resnet,50/50,resnet,google,20/80,0.10666667,0.19333333333333333,0.02
185,bing,False,GaussianNoise,resnet,50/50,resnet,google,30/70,0.06666667,0.05333333333333334,0.08
186,bing,False,GaussianNoise,resnet,50/50,resnet,google,40/60,0.053333335,0.04,0.06666666666666667
187,bing,False,GaussianNoise,resnet,50/50,resnet,google,50/50,0.08,0.013333333333333334,0.14666666666666667
188,bing,False,GaussianNoise,resnet,50/50,vgg,google,20/80,0.2,0.38666666666666666,0.013333333333333334
189,bing,False,GaussianNoise,resnet,50/50,vgg,google,30/70,0.15666667,0.2866666666666667,0.02666666666666667
190,bing,False,GaussianNoise,resnet,50/50,vgg,google,40/60,0.093333334,0.14,0.04666666666666667
191,bing,False,GaussianNoise,resnet,50/50,vgg,google,50/50,0.083333336,0.06666666666666667,0.1
192,bing,False,GaussianNoise,vgg,20/80,alexnet,bing,20/80,0.085409254,0.15555555555555556,0.02054794520547945
193,bing,False,GaussianNoise,vgg,20/80,alexnet,bing,30/70,0.08802817,0.16176470588235295,0.02027027027027027
194,bing,False,GaussianNoise,vgg,20/80,alexnet,bing,40/60,0.06338028,0.09352517985611511,0.034482758620689655
195,bing,False,GaussianNoise,vgg,20/80,alexnet,bing,50/50,0.05902778,0.06944444444444445,0.04861111111111111
196,bing,False,GaussianNoise,vgg,20/80,resnet,bing,20/80,0.07958478,0.15,0.013422818791946308
197,bing,False,GaussianNoise,vgg,20/80,resnet,bing,30/70,0.07560138,0.14788732394366197,0.006711409395973154
198,bing,False,GaussianNoise,vgg,20/80,resnet,bing,40/60,0.051194537,0.0821917808219178,0.02040816326530612
199,bing,False,GaussianNoise,vgg,20/80,resnet,bing,50/50,0.044217687,0.027210884353741496,0.061224489795918366
200,bing,False,GaussianNoise,vgg,20/80,vgg,bing,20/80,0.1388889,0.2714285714285714,0.013513513513513514
201,bing,False,GaussianNoise,vgg,20/80,vgg,bing,30/70,0.09342561,0.1619718309859155,0.027210884353741496
202,bing,False,GaussianNoise,vgg,20/80,vgg,bing,40/60,0.09931507,0.14482758620689656,0.05442176870748299
