,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,GreyScale,alexnet,20/80,alexnet,bing,20/80,0.053380784,0.1111111111111111,0.0
1,bing,False,GreyScale,alexnet,20/80,alexnet,bing,30/70,0.02112676,0.022058823529411766,0.02027027027027027
2,bing,False,GreyScale,alexnet,20/80,alexnet,bing,40/60,0.038732395,0.07194244604316546,0.006896551724137931
3,bing,False,GreyScale,alexnet,20/80,alexnet,bing,50/50,0.034722224,0.04861111111111111,0.020833333333333332
4,bing,False,GreyScale,alexnet,20/80,resnet,bing,20/80,0.010380623,0.014285714285714285,0.006711409395973154
5,bing,False,GreyScale,alexnet,20/80,resnet,bing,30/70,0.01718213,0.035211267605633804,0.0
6,bing,False,GreyScale,alexnet,20/80,resnet,bing,40/60,0.020477815,0.0273972602739726,0.013605442176870748
7,bing,False,GreyScale,alexnet,20/80,resnet,bing,50/50,0.013605442,0.0,0.027210884353741496
8,bing,False,GreyScale,alexnet,20/80,vgg,bing,20/80,0.017361112,0.03571428571428571,0.0
9,bing,False,GreyScale,alexnet,20/80,vgg,bing,30/70,0.013840831,0.028169014084507043,0.0
10,bing,False,GreyScale,alexnet,20/80,vgg,bing,40/60,0.01369863,0.027586206896551724,0.0
11,bing,False,GreyScale,alexnet,20/80,vgg,bing,50/50,0.006849315,0.00684931506849315,0.00684931506849315
12,bing,False,GreyScale,alexnet,20/80,alexnet,google,20/80,0.11333334,0.22666666666666666,0.0
13,bing,False,GreyScale,alexnet,20/80,alexnet,google,30/70,0.09666667,0.18666666666666668,0.006666666666666667
14,bing,False,GreyScale,alexnet,20/80,alexnet,google,40/60,0.07,0.10666666666666667,0.03333333333333333
15,bing,False,GreyScale,alexnet,20/80,alexnet,google,50/50,0.043333333,0.05333333333333334,0.03333333333333333
16,bing,False,GreyScale,alexnet,20/80,resnet,google,20/80,0.05666667,0.11333333333333333,0.0
17,bing,False,GreyScale,alexnet,20/80,resnet,google,30/70,0.03666667,0.06,0.013333333333333334
18,bing,False,GreyScale,alexnet,20/80,resnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
19,bing,False,GreyScale,alexnet,20/80,resnet,google,50/50,0.030000001,0.02,0.04
20,bing,False,GreyScale,alexnet,20/80,vgg,google,20/80,0.05,0.09333333333333334,0.006666666666666667
21,bing,False,GreyScale,alexnet,20/80,vgg,google,30/70,0.05,0.08666666666666667,0.013333333333333334
22,bing,False,GreyScale,alexnet,20/80,vgg,google,40/60,0.030000001,0.04666666666666667,0.013333333333333334
23,bing,False,GreyScale,alexnet,20/80,vgg,google,50/50,0.023333333,0.02666666666666667,0.02
24,bing,False,GreyScale,alexnet,30/70,alexnet,bing,20/80,0.053380784,0.1111111111111111,0.0
25,bing,False,GreyScale,alexnet,30/70,alexnet,bing,30/70,0.02112676,0.022058823529411766,0.02027027027027027
26,bing,False,GreyScale,alexnet,30/70,alexnet,bing,40/60,0.038732395,0.07194244604316546,0.006896551724137931
27,bing,False,GreyScale,alexnet,30/70,alexnet,bing,50/50,0.034722224,0.04861111111111111,0.020833333333333332
28,bing,False,GreyScale,alexnet,30/70,resnet,bing,20/80,0.010380623,0.014285714285714285,0.006711409395973154
29,bing,False,GreyScale,alexnet,30/70,resnet,bing,30/70,0.01718213,0.035211267605633804,0.0
30,bing,False,GreyScale,alexnet,30/70,resnet,bing,40/60,0.020477815,0.0273972602739726,0.013605442176870748
31,bing,False,GreyScale,alexnet,30/70,resnet,bing,50/50,0.013605442,0.0,0.027210884353741496
32,bing,False,GreyScale,alexnet,30/70,vgg,bing,20/80,0.017361112,0.03571428571428571,0.0
33,bing,False,GreyScale,alexnet,30/70,vgg,bing,30/70,0.013840831,0.028169014084507043,0.0
34,bing,False,GreyScale,alexnet,30/70,vgg,bing,40/60,0.01369863,0.027586206896551724,0.0
35,bing,False,GreyScale,alexnet,30/70,vgg,bing,50/50,0.006849315,0.00684931506849315,0.00684931506849315
36,bing,False,GreyScale,alexnet,30/70,alexnet,google,20/80,0.11333334,0.22666666666666666,0.0
37,bing,False,GreyScale,alexnet,30/70,alexnet,google,30/70,0.09666667,0.18666666666666668,0.006666666666666667
38,bing,False,GreyScale,alexnet,30/70,alexnet,google,40/60,0.07,0.10666666666666667,0.03333333333333333
39,bing,False,GreyScale,alexnet,30/70,alexnet,google,50/50,0.043333333,0.05333333333333334,0.03333333333333333
40,bing,False,GreyScale,alexnet,30/70,resnet,google,20/80,0.05666667,0.11333333333333333,0.0
41,bing,False,GreyScale,alexnet,30/70,resnet,google,30/70,0.03666667,0.06,0.013333333333333334
42,bing,False,GreyScale,alexnet,30/70,resnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
43,bing,False,GreyScale,alexnet,30/70,resnet,google,50/50,0.030000001,0.02,0.04
44,bing,False,GreyScale,alexnet,30/70,vgg,google,20/80,0.05,0.09333333333333334,0.006666666666666667
45,bing,False,GreyScale,alexnet,30/70,vgg,google,30/70,0.05,0.08666666666666667,0.013333333333333334
46,bing,False,GreyScale,alexnet,30/70,vgg,google,40/60,0.030000001,0.04666666666666667,0.013333333333333334
47,bing,False,GreyScale,alexnet,30/70,vgg,google,50/50,0.023333333,0.02666666666666667,0.02
48,bing,False,GreyScale,alexnet,40/60,alexnet,bing,20/80,0.053380784,0.1111111111111111,0.0
49,bing,False,GreyScale,alexnet,40/60,alexnet,bing,30/70,0.02112676,0.022058823529411766,0.02027027027027027
50,bing,False,GreyScale,alexnet,40/60,alexnet,bing,40/60,0.038732395,0.07194244604316546,0.006896551724137931
51,bing,False,GreyScale,alexnet,40/60,alexnet,bing,50/50,0.034722224,0.04861111111111111,0.020833333333333332
52,bing,False,GreyScale,alexnet,40/60,resnet,bing,20/80,0.010380623,0.014285714285714285,0.006711409395973154
53,bing,False,GreyScale,alexnet,40/60,resnet,bing,30/70,0.01718213,0.035211267605633804,0.0
54,bing,False,GreyScale,alexnet,40/60,resnet,bing,40/60,0.020477815,0.0273972602739726,0.013605442176870748
55,bing,False,GreyScale,alexnet,40/60,resnet,bing,50/50,0.013605442,0.0,0.027210884353741496
56,bing,False,GreyScale,alexnet,40/60,vgg,bing,20/80,0.017361112,0.03571428571428571,0.0
57,bing,False,GreyScale,alexnet,40/60,vgg,bing,30/70,0.013840831,0.028169014084507043,0.0
58,bing,False,GreyScale,alexnet,40/60,vgg,bing,40/60,0.01369863,0.027586206896551724,0.0
59,bing,False,GreyScale,alexnet,40/60,vgg,bing,50/50,0.006849315,0.00684931506849315,0.00684931506849315
60,bing,False,GreyScale,alexnet,40/60,alexnet,google,20/80,0.11333334,0.22666666666666666,0.0
61,bing,False,GreyScale,alexnet,40/60,alexnet,google,30/70,0.09666667,0.18666666666666668,0.006666666666666667
62,bing,False,GreyScale,alexnet,40/60,alexnet,google,40/60,0.07,0.10666666666666667,0.03333333333333333
63,bing,False,GreyScale,alexnet,40/60,alexnet,google,50/50,0.043333333,0.05333333333333334,0.03333333333333333
64,bing,False,GreyScale,alexnet,40/60,resnet,google,20/80,0.05666667,0.11333333333333333,0.0
65,bing,False,GreyScale,alexnet,40/60,resnet,google,30/70,0.03666667,0.06,0.013333333333333334
66,bing,False,GreyScale,alexnet,40/60,resnet,google,40/60,0.03666667,0.06666666666666667,0.006666666666666667
67,bing,False,GreyScale,alexnet,40/60,resnet,google,50/50,0.030000001,0.02,0.04
68,bing,False,GreyScale,alexnet,40/60,vgg,google,20/80,0.05,0.09333333333333334,0.006666666666666667
69,bing,False,GreyScale,alexnet,40/60,vgg,google,30/70,0.05,0.08666666666666667,0.013333333333333334
70,bing,False,GreyScale,alexnet,40/60,vgg,google,40/60,0.030000001,0.04666666666666667,0.013333333333333334
71,bing,False,GreyScale,alexnet,40/60,vgg,google,50/50,0.023333333,0.02666666666666667,0.02
72,bing,False,GreyScale,alexnet,50/50,alexnet,bing,20/80,0.053380784,0.1111111111111111,0.0
73,bing,False,GreyScale,alexnet,50/50,alexnet,bing,30/70,0.02112676,0.022058823529411766,0.02027027027027027
74,bing,False,GreyScale,alexnet,50/50,alexnet,bing,40/60,0.038732395,0.07194244604316546,0.006896551724137931
75,bing,False,GreyScale,alexnet,50/50,alexnet,bing,50/50,0.034722224,0.04861111111111111,0.020833333333333332
76,bing,False,GreyScale,alexnet,50/50,resnet,bing,20/80,0.010380623,0.014285714285714285,0.006711409395973154
77,bing,False,GreyScale,alexnet,50/50,resnet,bing,30/70,0.01718213,0.035211267605633804,0.0
78,bing,False,GreyScale,alexnet,50/50,resnet,bing,40/60,0.020477815,0.0273972602739726,0.013605442176870748
79,bing,False,GreyScale,alexnet,50/50,resnet,bing,50/50,0.013605442,0.0,0.027210884353741496
80,bing,False,GreyScale,alexnet,50/50,vgg,bing,20/80,0.017361112,0.03571428571428571,0.0
81,bing,False,GreyScale,alexnet,50/50,vgg,bing,30/70,0.013840831,0.028169014084507043,0.0
82,bing,False,GreyScale,alexnet,50/50,vgg,bing,40/60,0.01369863,0.027586206896551724,0.0
83,bing,False,GreyScale,alexnet,50/50,vgg,bing,50/50,0.006849315,0.00684931506849315,0.00684931506849315
84,bing,False,GreyScale,alexnet,50/50,alexnet,google,20/80,0.11333334,0.22666666666666666,0.0
