,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,PGD,alexnet,20/80,alexnet,bing,20/80,0.48754448,0.7185185185185186,0.273972602739726
1,bing,True,PGD,alexnet,20/80,alexnet,bing,30/70,0.41197184,0.6176470588235294,0.22297297297297297
2,bing,True,PGD,alexnet,20/80,alexnet,bing,40/60,0.4366197,0.5611510791366906,0.31724137931034485
3,bing,True,PGD,alexnet,20/80,alexnet,bing,50/50,0.4236111,0.5208333333333334,0.3263888888888889
4,bing,True,PGD,alexnet,20/80,resnet,bing,20/80,0.15224914,0.2357142857142857,0.0738255033557047
5,bing,True,PGD,alexnet,20/80,resnet,bing,30/70,0.15463918,0.2535211267605634,0.06040268456375839
6,bing,True,PGD,alexnet,20/80,resnet,bing,40/60,0.17406143,0.18493150684931506,0.16326530612244897
7,bing,True,PGD,alexnet,20/80,resnet,bing,50/50,0.15986395,0.10884353741496598,0.2108843537414966
8,bing,True,PGD,alexnet,20/80,vgg,bing,20/80,0.25347224,0.4714285714285714,0.0472972972972973
9,bing,True,PGD,alexnet,20/80,vgg,bing,30/70,0.22491351,0.4014084507042254,0.05442176870748299
10,bing,True,PGD,alexnet,20/80,vgg,bing,40/60,0.23972602,0.38620689655172413,0.09523809523809523
11,bing,True,PGD,alexnet,20/80,vgg,bing,50/50,0.2089041,0.2945205479452055,0.1232876712328767
12,bing,True,PGD,alexnet,20/80,alexnet,google,20/80,0.46666667,0.6933333333333334,0.24
13,bing,True,PGD,alexnet,20/80,alexnet,google,30/70,0.43,0.5866666666666667,0.2733333333333333
14,bing,True,PGD,alexnet,20/80,alexnet,google,40/60,0.40666667,0.48,0.3333333333333333
15,bing,True,PGD,alexnet,20/80,alexnet,google,50/50,0.36666667,0.32666666666666666,0.4066666666666667
16,bing,True,PGD,alexnet,20/80,resnet,google,20/80,0.15666667,0.25333333333333335,0.06
17,bing,True,PGD,alexnet,20/80,resnet,google,30/70,0.19,0.20666666666666667,0.17333333333333334
18,bing,True,PGD,alexnet,20/80,resnet,google,40/60,0.20666668,0.17333333333333334,0.24
19,bing,True,PGD,alexnet,20/80,resnet,google,50/50,0.19666667,0.10666666666666667,0.2866666666666667
20,bing,True,PGD,alexnet,20/80,vgg,google,20/80,0.30333334,0.54,0.06666666666666667
21,bing,True,PGD,alexnet,20/80,vgg,google,30/70,0.29333335,0.5,0.08666666666666667
22,bing,True,PGD,alexnet,20/80,vgg,google,40/60,0.25666666,0.36666666666666664,0.14666666666666667
23,bing,True,PGD,alexnet,20/80,vgg,google,50/50,0.22,0.25333333333333335,0.18666666666666668
24,bing,True,PGD,alexnet,30/70,alexnet,bing,20/80,0.44839856,0.6888888888888889,0.22602739726027396
25,bing,True,PGD,alexnet,30/70,alexnet,bing,30/70,0.4612676,0.7205882352941176,0.22297297297297297
26,bing,True,PGD,alexnet,30/70,alexnet,bing,40/60,0.45422533,0.5971223021582733,0.31724137931034485
27,bing,True,PGD,alexnet,30/70,alexnet,bing,50/50,0.4340278,0.5138888888888888,0.3541666666666667
28,bing,True,PGD,alexnet,30/70,resnet,bing,20/80,0.19031143,0.29285714285714287,0.09395973154362416
29,bing,True,PGD,alexnet,30/70,resnet,bing,30/70,0.16494846,0.2746478873239437,0.06040268456375839
30,bing,True,PGD,alexnet,30/70,resnet,bing,40/60,0.16040955,0.1917808219178082,0.1292517006802721
31,bing,True,PGD,alexnet,30/70,resnet,bing,50/50,0.17006803,0.10884353741496598,0.23129251700680273
32,bing,True,PGD,alexnet,30/70,vgg,bing,20/80,0.27083334,0.5142857142857142,0.04054054054054054
33,bing,True,PGD,alexnet,30/70,vgg,bing,30/70,0.26643598,0.47183098591549294,0.06802721088435375
34,bing,True,PGD,alexnet,30/70,vgg,bing,40/60,0.27739725,0.42758620689655175,0.1292517006802721
35,bing,True,PGD,alexnet,30/70,vgg,bing,50/50,0.23972602,0.3356164383561644,0.14383561643835616
36,bing,True,PGD,alexnet,30/70,alexnet,google,20/80,0.47,0.7,0.24
37,bing,True,PGD,alexnet,30/70,alexnet,google,30/70,0.46,0.6333333333333333,0.2866666666666667
38,bing,True,PGD,alexnet,30/70,alexnet,google,40/60,0.42333335,0.5333333333333333,0.31333333333333335
39,bing,True,PGD,alexnet,30/70,alexnet,google,50/50,0.4,0.4066666666666667,0.3933333333333333
40,bing,True,PGD,alexnet,30/70,resnet,google,20/80,0.18666667,0.3,0.07333333333333333
41,bing,True,PGD,alexnet,30/70,resnet,google,30/70,0.19666667,0.2,0.19333333333333333
42,bing,True,PGD,alexnet,30/70,resnet,google,40/60,0.19333334,0.13333333333333333,0.25333333333333335
43,bing,True,PGD,alexnet,30/70,resnet,google,50/50,0.2,0.1,0.3
44,bing,True,PGD,alexnet,30/70,vgg,google,20/80,0.32,0.58,0.06
45,bing,True,PGD,alexnet,30/70,vgg,google,30/70,0.32,0.5466666666666666,0.09333333333333334
46,bing,True,PGD,alexnet,30/70,vgg,google,40/60,0.28666666,0.3933333333333333,0.18
47,bing,True,PGD,alexnet,30/70,vgg,google,50/50,0.25666666,0.28,0.23333333333333334
48,bing,True,PGD,alexnet,40/60,alexnet,bing,20/80,0.40213522,0.6814814814814815,0.14383561643835616
49,bing,True,PGD,alexnet,40/60,alexnet,bing,30/70,0.38732395,0.6323529411764706,0.16216216216216217
50,bing,True,PGD,alexnet,40/60,alexnet,bing,40/60,0.45070422,0.6330935251798561,0.27586206896551724
51,bing,True,PGD,alexnet,40/60,alexnet,bing,50/50,0.3923611,0.4930555555555556,0.2916666666666667
52,bing,True,PGD,alexnet,40/60,resnet,bing,20/80,0.18685122,0.3,0.08053691275167785
53,bing,True,PGD,alexnet,40/60,resnet,bing,30/70,0.19243987,0.33098591549295775,0.06040268456375839
54,bing,True,PGD,alexnet,40/60,resnet,bing,40/60,0.1774744,0.2328767123287671,0.12244897959183673
55,bing,True,PGD,alexnet,40/60,resnet,bing,50/50,0.1802721,0.14285714285714285,0.21768707482993196
56,bing,True,PGD,alexnet,40/60,vgg,bing,20/80,0.33680555,0.6571428571428571,0.033783783783783786
57,bing,True,PGD,alexnet,40/60,vgg,bing,30/70,0.2768166,0.5,0.061224489795918366
58,bing,True,PGD,alexnet,40/60,vgg,bing,40/60,0.28424656,0.47586206896551725,0.09523809523809523
59,bing,True,PGD,alexnet,40/60,vgg,bing,50/50,0.23630136,0.3356164383561644,0.136986301369863
60,bing,True,PGD,alexnet,40/60,alexnet,google,20/80,0.43333334,0.7133333333333334,0.15333333333333332
61,bing,True,PGD,alexnet,40/60,alexnet,google,30/70,0.41333336,0.62,0.20666666666666667
62,bing,True,PGD,alexnet,40/60,alexnet,google,40/60,0.38333336,0.48,0.2866666666666667
63,bing,True,PGD,alexnet,40/60,alexnet,google,50/50,0.37666667,0.38,0.37333333333333335
64,bing,True,PGD,alexnet,40/60,resnet,google,20/80,0.20666668,0.34,0.07333333333333333
65,bing,True,PGD,alexnet,40/60,resnet,google,30/70,0.20333333,0.2,0.20666666666666667
66,bing,True,PGD,alexnet,40/60,resnet,google,40/60,0.19666667,0.14,0.25333333333333335
67,bing,True,PGD,alexnet,40/60,resnet,google,50/50,0.19666667,0.07333333333333333,0.32
68,bing,True,PGD,alexnet,40/60,vgg,google,20/80,0.36,0.6933333333333334,0.02666666666666667
69,bing,True,PGD,alexnet,40/60,vgg,google,30/70,0.36666667,0.6733333333333333,0.06
70,bing,True,PGD,alexnet,40/60,vgg,google,40/60,0.28333333,0.4533333333333333,0.11333333333333333
71,bing,True,PGD,alexnet,40/60,vgg,google,50/50,0.24666667,0.30666666666666664,0.18666666666666668
72,bing,True,PGD,alexnet,50/50,alexnet,bing,20/80,0.48042706,0.7481481481481481,0.2328767123287671
73,bing,True,PGD,alexnet,50/50,alexnet,bing,30/70,0.45070422,0.7058823529411765,0.21621621621621623
