,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,RFGSM,alexnet,20/80,alexnet,bing,20/80,0.5017794,0.6962962962962963,0.3219178082191781
1,bing,True,RFGSM,alexnet,20/80,alexnet,bing,30/70,0.47887322,0.6544117647058824,0.31756756756756754
2,bing,True,RFGSM,alexnet,20/80,alexnet,bing,40/60,0.46478873,0.5467625899280576,0.38620689655172413
3,bing,True,RFGSM,alexnet,20/80,alexnet,bing,50/50,0.4548611,0.5277777777777778,0.3819444444444444
4,bing,True,RFGSM,alexnet,20/80,resnet,bing,20/80,0.19031143,0.3,0.087248322147651
5,bing,True,RFGSM,alexnet,20/80,resnet,bing,30/70,0.21305843,0.352112676056338,0.08053691275167785
6,bing,True,RFGSM,alexnet,20/80,resnet,bing,40/60,0.18088737,0.22602739726027396,0.1360544217687075
7,bing,True,RFGSM,alexnet,20/80,resnet,bing,50/50,0.15306123,0.10884353741496598,0.19727891156462585
8,bing,True,RFGSM,alexnet,20/80,vgg,bing,20/80,0.21875,0.34285714285714286,0.10135135135135136
9,bing,True,RFGSM,alexnet,20/80,vgg,bing,30/70,0.21453288,0.352112676056338,0.08163265306122448
10,bing,True,RFGSM,alexnet,20/80,vgg,bing,40/60,0.20547944,0.2620689655172414,0.14965986394557823
11,bing,True,RFGSM,alexnet,20/80,vgg,bing,50/50,0.18150684,0.2465753424657534,0.11643835616438356
12,bing,True,RFGSM,alexnet,20/80,alexnet,google,20/80,0.4766667,0.6333333333333333,0.32
13,bing,True,RFGSM,alexnet,20/80,alexnet,google,30/70,0.46333334,0.58,0.3466666666666667
14,bing,True,RFGSM,alexnet,20/80,alexnet,google,40/60,0.44333336,0.5333333333333333,0.35333333333333333
15,bing,True,RFGSM,alexnet,20/80,alexnet,google,50/50,0.39666668,0.38,0.41333333333333333
16,bing,True,RFGSM,alexnet,20/80,resnet,google,20/80,0.20666668,0.30666666666666664,0.10666666666666667
17,bing,True,RFGSM,alexnet,20/80,resnet,google,30/70,0.2,0.25333333333333335,0.14666666666666667
18,bing,True,RFGSM,alexnet,20/80,resnet,google,40/60,0.20666668,0.22,0.19333333333333333
19,bing,True,RFGSM,alexnet,20/80,resnet,google,50/50,0.20333333,0.16,0.24666666666666667
20,bing,True,RFGSM,alexnet,20/80,vgg,google,20/80,0.23,0.32666666666666666,0.13333333333333333
21,bing,True,RFGSM,alexnet,20/80,vgg,google,30/70,0.23333333,0.32,0.14666666666666667
22,bing,True,RFGSM,alexnet,20/80,vgg,google,40/60,0.22666667,0.28,0.17333333333333334
23,bing,True,RFGSM,alexnet,20/80,vgg,google,50/50,0.20666668,0.24666666666666667,0.16666666666666666
24,bing,True,RFGSM,alexnet,30/70,alexnet,bing,20/80,0.48398575,0.6814814814814815,0.3013698630136986
25,bing,True,RFGSM,alexnet,30/70,alexnet,bing,30/70,0.47887322,0.6544117647058824,0.31756756756756754
26,bing,True,RFGSM,alexnet,30/70,alexnet,bing,40/60,0.47183096,0.5899280575539568,0.3586206896551724
27,bing,True,RFGSM,alexnet,30/70,alexnet,bing,50/50,0.4513889,0.5208333333333334,0.3819444444444444
28,bing,True,RFGSM,alexnet,30/70,resnet,bing,20/80,0.19377163,0.2785714285714286,0.11409395973154363
29,bing,True,RFGSM,alexnet,30/70,resnet,bing,30/70,0.21993127,0.31690140845070425,0.12751677852348994
30,bing,True,RFGSM,alexnet,30/70,resnet,bing,40/60,0.20819113,0.21232876712328766,0.20408163265306123
31,bing,True,RFGSM,alexnet,30/70,resnet,bing,50/50,0.20068027,0.16326530612244897,0.23809523809523808
32,bing,True,RFGSM,alexnet,30/70,vgg,bing,20/80,0.23958333,0.36428571428571427,0.12162162162162163
33,bing,True,RFGSM,alexnet,30/70,vgg,bing,30/70,0.24567474,0.38028169014084506,0.11564625850340136
34,bing,True,RFGSM,alexnet,30/70,vgg,bing,40/60,0.2260274,0.296551724137931,0.1564625850340136
35,bing,True,RFGSM,alexnet,30/70,vgg,bing,50/50,0.21575342,0.2876712328767123,0.14383561643835616
36,bing,True,RFGSM,alexnet,30/70,alexnet,google,20/80,0.49666667,0.64,0.35333333333333333
37,bing,True,RFGSM,alexnet,30/70,alexnet,google,30/70,0.47333336,0.58,0.36666666666666664
38,bing,True,RFGSM,alexnet,30/70,alexnet,google,40/60,0.48000002,0.5666666666666667,0.3933333333333333
39,bing,True,RFGSM,alexnet,30/70,alexnet,google,50/50,0.45666668,0.4533333333333333,0.46
40,bing,True,RFGSM,alexnet,30/70,resnet,google,20/80,0.23333333,0.32,0.14666666666666667
41,bing,True,RFGSM,alexnet,30/70,resnet,google,30/70,0.21333334,0.25333333333333335,0.17333333333333334
42,bing,True,RFGSM,alexnet,30/70,resnet,google,40/60,0.22,0.23333333333333334,0.20666666666666667
43,bing,True,RFGSM,alexnet,30/70,resnet,google,50/50,0.22666667,0.18,0.2733333333333333
44,bing,True,RFGSM,alexnet,30/70,vgg,google,20/80,0.28666666,0.4,0.17333333333333334
45,bing,True,RFGSM,alexnet,30/70,vgg,google,30/70,0.28333333,0.4,0.16666666666666666
46,bing,True,RFGSM,alexnet,30/70,vgg,google,40/60,0.27333334,0.32666666666666666,0.22
47,bing,True,RFGSM,alexnet,30/70,vgg,google,50/50,0.23666668,0.26666666666666666,0.20666666666666667
48,bing,True,RFGSM,alexnet,40/60,alexnet,bing,20/80,0.4733096,0.6962962962962963,0.2671232876712329
49,bing,True,RFGSM,alexnet,40/60,alexnet,bing,30/70,0.4753521,0.6764705882352942,0.2905405405405405
50,bing,True,RFGSM,alexnet,40/60,alexnet,bing,40/60,0.49295774,0.6402877697841727,0.35172413793103446
51,bing,True,RFGSM,alexnet,40/60,alexnet,bing,50/50,0.4965278,0.6041666666666666,0.3888888888888889
52,bing,True,RFGSM,alexnet,40/60,resnet,bing,20/80,0.183391,0.2785714285714286,0.09395973154362416
53,bing,True,RFGSM,alexnet,40/60,resnet,bing,30/70,0.185567,0.30985915492957744,0.06711409395973154
54,bing,True,RFGSM,alexnet,40/60,resnet,bing,40/60,0.18430033,0.2465753424657534,0.12244897959183673
55,bing,True,RFGSM,alexnet,40/60,resnet,bing,50/50,0.17006803,0.14285714285714285,0.19727891156462585
56,bing,True,RFGSM,alexnet,40/60,vgg,bing,20/80,0.22569445,0.35714285714285715,0.10135135135135136
57,bing,True,RFGSM,alexnet,40/60,vgg,bing,30/70,0.21799308,0.3591549295774648,0.08163265306122448
58,bing,True,RFGSM,alexnet,40/60,vgg,bing,40/60,0.2089041,0.27586206896551724,0.14285714285714285
59,bing,True,RFGSM,alexnet,40/60,vgg,bing,50/50,0.19863014,0.2602739726027397,0.136986301369863
60,bing,True,RFGSM,alexnet,40/60,alexnet,google,20/80,0.48666668,0.68,0.29333333333333333
61,bing,True,RFGSM,alexnet,40/60,alexnet,google,30/70,0.47,0.62,0.32
62,bing,True,RFGSM,alexnet,40/60,alexnet,google,40/60,0.45666668,0.5666666666666667,0.3466666666666667
63,bing,True,RFGSM,alexnet,40/60,alexnet,google,50/50,0.43666667,0.46,0.41333333333333333
64,bing,True,RFGSM,alexnet,40/60,resnet,google,20/80,0.21333334,0.32,0.10666666666666667
65,bing,True,RFGSM,alexnet,40/60,resnet,google,30/70,0.2,0.25333333333333335,0.14666666666666667
66,bing,True,RFGSM,alexnet,40/60,resnet,google,40/60,0.20666668,0.22,0.19333333333333333
67,bing,True,RFGSM,alexnet,40/60,resnet,google,50/50,0.20666668,0.16666666666666666,0.24666666666666667
68,bing,True,RFGSM,alexnet,40/60,vgg,google,20/80,0.24333334,0.37333333333333335,0.11333333333333333
69,bing,True,RFGSM,alexnet,40/60,vgg,google,30/70,0.24333334,0.36,0.12666666666666668
70,bing,True,RFGSM,alexnet,40/60,vgg,google,40/60,0.21000001,0.25333333333333335,0.16666666666666666
71,bing,True,RFGSM,alexnet,40/60,vgg,google,50/50,0.19666667,0.22666666666666666,0.16666666666666666
72,bing,True,RFGSM,alexnet,50/50,alexnet,bing,20/80,0.5017794,0.7111111111111111,0.3082191780821918
73,bing,True,RFGSM,alexnet,50/50,alexnet,bing,30/70,0.49647886,0.6985294117647058,0.3108108108108108
74,bing,True,RFGSM,alexnet,50/50,alexnet,bing,40/60,0.5422535,0.6762589928057554,0.41379310344827586
75,bing,True,RFGSM,alexnet,50/50,alexnet,bing,50/50,0.5347222,0.6319444444444444,0.4375
76,bing,True,RFGSM,alexnet,50/50,resnet,bing,20/80,0.2283737,0.35,0.11409395973154363
77,bing,True,RFGSM,alexnet,50/50,resnet,bing,30/70,0.24054983,0.3873239436619718,0.10067114093959731
78,bing,True,RFGSM,alexnet,50/50,resnet,bing,40/60,0.22525597,0.2602739726027397,0.19047619047619047
79,bing,True,RFGSM,alexnet,50/50,resnet,bing,50/50,0.22108842,0.2108843537414966,0.23129251700680273
80,bing,True,RFGSM,alexnet,50/50,vgg,bing,20/80,0.22569445,0.35714285714285715,0.10135135135135136
81,bing,True,RFGSM,alexnet,50/50,vgg,bing,30/70,0.25259516,0.4154929577464789,0.09523809523809523
82,bing,True,RFGSM,alexnet,50/50,vgg,bing,40/60,0.23630136,0.296551724137931,0.17687074829931973
83,bing,True,RFGSM,alexnet,50/50,vgg,bing,50/50,0.21232876,0.3013698630136986,0.1232876712328767
84,bing,True,RFGSM,alexnet,50/50,alexnet,google,20/80,0.5233334,0.6933333333333334,0.35333333333333333
85,bing,True,RFGSM,alexnet,50/50,alexnet,google,30/70,0.51,0.64,0.38
86,bing,True,RFGSM,alexnet,50/50,alexnet,google,40/60,0.48666668,0.6,0.37333333333333335
87,bing,True,RFGSM,alexnet,50/50,alexnet,google,50/50,0.47333336,0.5066666666666667,0.44
88,bing,True,RFGSM,alexnet,50/50,resnet,google,20/80,0.25666666,0.36666666666666664,0.14666666666666667
89,bing,True,RFGSM,alexnet,50/50,resnet,google,30/70,0.25,0.31333333333333335,0.18666666666666668
90,bing,True,RFGSM,alexnet,50/50,resnet,google,40/60,0.24666667,0.2733333333333333,0.22
91,bing,True,RFGSM,alexnet,50/50,resnet,google,50/50,0.26000002,0.23333333333333334,0.2866666666666667
92,bing,True,RFGSM,alexnet,50/50,vgg,google,20/80,0.28333333,0.38,0.18666666666666668
93,bing,True,RFGSM,alexnet,50/50,vgg,google,30/70,0.29333335,0.3933333333333333,0.19333333333333333
94,bing,True,RFGSM,alexnet,50/50,vgg,google,40/60,0.26000002,0.32666666666666666,0.19333333333333333
95,bing,True,RFGSM,alexnet,50/50,vgg,google,50/50,0.26000002,0.2866666666666667,0.23333333333333334
96,bing,True,RFGSM,resnet,20/80,alexnet,bing,20/80,0.07829181,0.14814814814814814,0.0136986301369863
97,bing,True,RFGSM,resnet,20/80,alexnet,bing,30/70,0.059859153,0.09558823529411764,0.02702702702702703
98,bing,True,RFGSM,resnet,20/80,alexnet,bing,40/60,0.045774646,0.06474820143884892,0.027586206896551724
99,bing,True,RFGSM,resnet,20/80,alexnet,bing,50/50,0.034722224,0.041666666666666664,0.027777777777777776
100,bing,True,RFGSM,resnet,20/80,resnet,bing,20/80,0.23529412,0.3357142857142857,0.14093959731543623
101,bing,True,RFGSM,resnet,20/80,resnet,bing,30/70,0.21649484,0.33098591549295775,0.10738255033557047
102,bing,True,RFGSM,resnet,20/80,resnet,bing,40/60,0.18088737,0.21232876712328766,0.14965986394557823
103,bing,True,RFGSM,resnet,20/80,resnet,bing,50/50,0.15986395,0.14285714285714285,0.17687074829931973
104,bing,True,RFGSM,resnet,20/80,vgg,bing,20/80,0.090277776,0.15,0.033783783783783786
105,bing,True,RFGSM,resnet,20/80,vgg,bing,30/70,0.08650519,0.14788732394366197,0.027210884353741496
106,bing,True,RFGSM,resnet,20/80,vgg,bing,40/60,0.07534246,0.08275862068965517,0.06802721088435375
107,bing,True,RFGSM,resnet,20/80,vgg,bing,50/50,0.07876712,0.10273972602739725,0.0547945205479452
108,bing,True,RFGSM,resnet,20/80,alexnet,google,20/80,0.10666667,0.20666666666666667,0.006666666666666667
109,bing,True,RFGSM,resnet,20/80,alexnet,google,30/70,0.093333334,0.15333333333333332,0.03333333333333333
110,bing,True,RFGSM,resnet,20/80,alexnet,google,40/60,0.07,0.08666666666666667,0.05333333333333334
111,bing,True,RFGSM,resnet,20/80,alexnet,google,50/50,0.08,0.08,0.08
112,bing,True,RFGSM,resnet,20/80,resnet,google,20/80,0.21000001,0.2866666666666667,0.13333333333333333
113,bing,True,RFGSM,resnet,20/80,resnet,google,30/70,0.2,0.25333333333333335,0.14666666666666667
114,bing,True,RFGSM,resnet,20/80,resnet,google,40/60,0.17666668,0.17333333333333334,0.18
115,bing,True,RFGSM,resnet,20/80,resnet,google,50/50,0.17333333,0.14,0.20666666666666667
116,bing,True,RFGSM,resnet,20/80,vgg,google,20/80,0.11333334,0.17333333333333334,0.05333333333333334
117,bing,True,RFGSM,resnet,20/80,vgg,google,30/70,0.10666667,0.15333333333333332,0.06
118,bing,True,RFGSM,resnet,20/80,vgg,google,40/60,0.086666666,0.09333333333333334,0.08
119,bing,True,RFGSM,resnet,20/80,vgg,google,50/50,0.07666667,0.07333333333333333,0.08
120,bing,True,RFGSM,resnet,30/70,alexnet,bing,20/80,0.07829181,0.14814814814814814,0.0136986301369863
121,bing,True,RFGSM,resnet,30/70,alexnet,bing,30/70,0.049295776,0.08823529411764706,0.013513513513513514
122,bing,True,RFGSM,resnet,30/70,alexnet,bing,40/60,0.049295776,0.07194244604316546,0.027586206896551724
123,bing,True,RFGSM,resnet,30/70,alexnet,bing,50/50,0.038194444,0.04861111111111111,0.027777777777777776
124,bing,True,RFGSM,resnet,30/70,resnet,bing,20/80,0.21453288,0.32857142857142857,0.10738255033557047
125,bing,True,RFGSM,resnet,30/70,resnet,bing,30/70,0.209622,0.31690140845070425,0.10738255033557047
126,bing,True,RFGSM,resnet,30/70,resnet,bing,40/60,0.18430033,0.21232876712328766,0.1564625850340136
127,bing,True,RFGSM,resnet,30/70,resnet,bing,50/50,0.15306123,0.11564625850340136,0.19047619047619047
128,bing,True,RFGSM,resnet,30/70,vgg,bing,20/80,0.10069445,0.15714285714285714,0.0472972972972973
129,bing,True,RFGSM,resnet,30/70,vgg,bing,30/70,0.10034602,0.1619718309859155,0.04081632653061224
130,bing,True,RFGSM,resnet,30/70,vgg,bing,40/60,0.06849315,0.07586206896551724,0.061224489795918366
131,bing,True,RFGSM,resnet,30/70,vgg,bing,50/50,0.07191781,0.08904109589041095,0.0547945205479452
132,bing,True,RFGSM,resnet,30/70,alexnet,google,20/80,0.10666667,0.20666666666666667,0.006666666666666667
133,bing,True,RFGSM,resnet,30/70,alexnet,google,30/70,0.09666667,0.16666666666666666,0.02666666666666667
134,bing,True,RFGSM,resnet,30/70,alexnet,google,40/60,0.07666667,0.10666666666666667,0.04666666666666667
135,bing,True,RFGSM,resnet,30/70,alexnet,google,50/50,0.07666667,0.08,0.07333333333333333
136,bing,True,RFGSM,resnet,30/70,resnet,google,20/80,0.19666667,0.28,0.11333333333333333
