,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,20/80,0.48042706,0.0,0.9246575342465754
1,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,30/70,0.4471831,0.03676470588235294,0.8243243243243243
2,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,40/60,0.45774648,0.0,0.896551724137931
3,bing,False,RandomBlackBox,alexnet,20/80,alexnet,bing,50/50,0.4861111,0.013888888888888888,0.9583333333333334
4,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,20/80,0.2733564,0.20714285714285716,0.33557046979865773
5,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,30/70,0.2989691,0.18309859154929578,0.40939597315436244
6,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,40/60,0.35153583,0.06164383561643835,0.6394557823129252
7,bing,False,RandomBlackBox,alexnet,20/80,resnet,bing,50/50,0.3605442,0.05442176870748299,0.6666666666666666
8,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,20/80,0.22569445,0.15714285714285714,0.2905405405405405
9,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,30/70,0.26643598,0.07042253521126761,0.4557823129251701
10,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,40/60,0.31849316,0.013793103448275862,0.6190476190476191
11,bing,False,RandomBlackBox,alexnet,20/80,vgg,bing,50/50,0.32534248,0.00684931506849315,0.6438356164383562
12,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,20/80,0.39333335,0.16,0.6266666666666667
13,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,30/70,0.42000002,0.12,0.72
14,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,40/60,0.43,0.013333333333333334,0.8466666666666667
15,bing,False,RandomBlackBox,alexnet,20/80,alexnet,google,50/50,0.4766667,0.006666666666666667,0.9466666666666667
16,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,20/80,0.31666666,0.5733333333333334,0.06
17,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,30/70,0.3,0.18666666666666668,0.41333333333333333
18,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,40/60,0.28666666,0.12,0.4533333333333333
19,bing,False,RandomBlackBox,alexnet,20/80,resnet,google,50/50,0.39000002,0.006666666666666667,0.7733333333333333
20,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,20/80,0.23666668,0.26,0.21333333333333335
21,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,30/70,0.24000001,0.15333333333333332,0.32666666666666666
22,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,40/60,0.25333333,0.05333333333333334,0.4533333333333333
23,bing,False,RandomBlackBox,alexnet,20/80,vgg,google,50/50,0.32,0.006666666666666667,0.6333333333333333
24,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,20/80,0.48042706,0.0,0.9246575342465754
25,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,30/70,0.4471831,0.03676470588235294,0.8243243243243243
26,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,40/60,0.45774648,0.0,0.896551724137931
27,bing,False,RandomBlackBox,alexnet,30/70,alexnet,bing,50/50,0.4861111,0.013888888888888888,0.9583333333333334
28,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,20/80,0.2733564,0.20714285714285716,0.33557046979865773
29,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,30/70,0.2989691,0.18309859154929578,0.40939597315436244
30,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,40/60,0.35153583,0.06164383561643835,0.6394557823129252
31,bing,False,RandomBlackBox,alexnet,30/70,resnet,bing,50/50,0.3605442,0.05442176870748299,0.6666666666666666
32,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,20/80,0.22569445,0.15714285714285714,0.2905405405405405
33,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,30/70,0.26643598,0.07042253521126761,0.4557823129251701
34,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,40/60,0.31849316,0.013793103448275862,0.6190476190476191
35,bing,False,RandomBlackBox,alexnet,30/70,vgg,bing,50/50,0.32534248,0.00684931506849315,0.6438356164383562
36,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,20/80,0.39333335,0.16,0.6266666666666667
37,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,30/70,0.42000002,0.12,0.72
38,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,40/60,0.43,0.013333333333333334,0.8466666666666667
39,bing,False,RandomBlackBox,alexnet,30/70,alexnet,google,50/50,0.4766667,0.006666666666666667,0.9466666666666667
40,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,20/80,0.31666666,0.5733333333333334,0.06
41,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,30/70,0.3,0.18666666666666668,0.41333333333333333
42,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,40/60,0.28666666,0.12,0.4533333333333333
43,bing,False,RandomBlackBox,alexnet,30/70,resnet,google,50/50,0.39000002,0.006666666666666667,0.7733333333333333
44,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,20/80,0.23666668,0.26,0.21333333333333335
45,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,30/70,0.24000001,0.15333333333333332,0.32666666666666666
46,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,40/60,0.25333333,0.05333333333333334,0.4533333333333333
47,bing,False,RandomBlackBox,alexnet,30/70,vgg,google,50/50,0.32,0.006666666666666667,0.6333333333333333
48,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,20/80,0.48042706,0.0,0.9246575342465754
49,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,30/70,0.4471831,0.03676470588235294,0.8243243243243243
50,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,40/60,0.45774648,0.0,0.896551724137931
51,bing,False,RandomBlackBox,alexnet,40/60,alexnet,bing,50/50,0.4861111,0.013888888888888888,0.9583333333333334
52,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,20/80,0.2733564,0.20714285714285716,0.33557046979865773
53,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,30/70,0.2989691,0.18309859154929578,0.40939597315436244
54,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,40/60,0.35153583,0.06164383561643835,0.6394557823129252
55,bing,False,RandomBlackBox,alexnet,40/60,resnet,bing,50/50,0.3605442,0.05442176870748299,0.6666666666666666
56,bing,False,RandomBlackBox,alexnet,40/60,vgg,bing,20/80,0.22569445,0.15714285714285714,0.2905405405405405
57,bing,False,RandomBlackBox,alexnet,40/60,vgg,bing,30/70,0.26643598,0.07042253521126761,0.4557823129251701
58,bing,False,RandomBlackBox,alexnet,40/60,vgg,bing,40/60,0.31849316,0.013793103448275862,0.6190476190476191
59,bing,False,RandomBlackBox,alexnet,40/60,vgg,bing,50/50,0.32534248,0.00684931506849315,0.6438356164383562
60,bing,False,RandomBlackBox,alexnet,40/60,alexnet,google,20/80,0.39333335,0.16,0.6266666666666667
61,bing,False,RandomBlackBox,alexnet,40/60,alexnet,google,30/70,0.42000002,0.12,0.72
62,bing,False,RandomBlackBox,alexnet,40/60,alexnet,google,40/60,0.43,0.013333333333333334,0.8466666666666667
63,bing,False,RandomBlackBox,alexnet,40/60,alexnet,google,50/50,0.4766667,0.006666666666666667,0.9466666666666667
64,bing,False,RandomBlackBox,alexnet,40/60,resnet,google,20/80,0.31666666,0.5733333333333334,0.06
65,bing,False,RandomBlackBox,alexnet,40/60,resnet,google,30/70,0.3,0.18666666666666668,0.41333333333333333
66,bing,False,RandomBlackBox,alexnet,40/60,resnet,google,40/60,0.28666666,0.12,0.4533333333333333
67,bing,False,RandomBlackBox,alexnet,40/60,resnet,google,50/50,0.39000002,0.006666666666666667,0.7733333333333333
68,bing,False,RandomBlackBox,alexnet,40/60,vgg,google,20/80,0.23666668,0.26,0.21333333333333335
69,bing,False,RandomBlackBox,alexnet,40/60,vgg,google,30/70,0.24000001,0.15333333333333332,0.32666666666666666
70,bing,False,RandomBlackBox,alexnet,40/60,vgg,google,40/60,0.25333333,0.05333333333333334,0.4533333333333333
71,bing,False,RandomBlackBox,alexnet,40/60,vgg,google,50/50,0.32,0.006666666666666667,0.6333333333333333
72,bing,False,RandomBlackBox,alexnet,50/50,alexnet,bing,20/80,0.48042706,0.0,0.9246575342465754
73,bing,False,RandomBlackBox,alexnet,50/50,alexnet,bing,30/70,0.4471831,0.03676470588235294,0.8243243243243243
74,bing,False,RandomBlackBox,alexnet,50/50,alexnet,bing,40/60,0.45774648,0.0,0.896551724137931
75,bing,False,RandomBlackBox,alexnet,50/50,alexnet,bing,50/50,0.4861111,0.013888888888888888,0.9583333333333334
76,bing,False,RandomBlackBox,alexnet,50/50,resnet,bing,20/80,0.2733564,0.20714285714285716,0.33557046979865773
77,bing,False,RandomBlackBox,alexnet,50/50,resnet,bing,30/70,0.2989691,0.18309859154929578,0.40939597315436244
78,bing,False,RandomBlackBox,alexnet,50/50,resnet,bing,40/60,0.35153583,0.06164383561643835,0.6394557823129252
79,bing,False,RandomBlackBox,alexnet,50/50,resnet,bing,50/50,0.3605442,0.05442176870748299,0.6666666666666666
80,bing,False,RandomBlackBox,alexnet,50/50,vgg,bing,20/80,0.22569445,0.15714285714285714,0.2905405405405405
81,bing,False,RandomBlackBox,alexnet,50/50,vgg,bing,30/70,0.26643598,0.07042253521126761,0.4557823129251701
82,bing,False,RandomBlackBox,alexnet,50/50,vgg,bing,40/60,0.31849316,0.013793103448275862,0.6190476190476191
83,bing,False,RandomBlackBox,alexnet,50/50,vgg,bing,50/50,0.32534248,0.00684931506849315,0.6438356164383562
84,bing,False,RandomBlackBox,alexnet,50/50,alexnet,google,20/80,0.39333335,0.16,0.6266666666666667
85,bing,False,RandomBlackBox,alexnet,50/50,alexnet,google,30/70,0.42000002,0.12,0.72
86,bing,False,RandomBlackBox,alexnet,50/50,alexnet,google,40/60,0.43,0.013333333333333334,0.8466666666666667
87,bing,False,RandomBlackBox,alexnet,50/50,alexnet,google,50/50,0.4766667,0.006666666666666667,0.9466666666666667
