,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,20/80,0.19928825,0.4,0.0136986301369863
1,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,30/70,0.12676056,0.22058823529411764,0.04054054054054054
2,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,40/60,0.15845071,0.30935251798561153,0.013793103448275862
3,bing,False,SaltPepper,alexnet,20/80,alexnet,bing,50/50,0.13541667,0.2361111111111111,0.034722222222222224
4,bing,False,SaltPepper,alexnet,20/80,resnet,bing,20/80,0.12110727,0.22857142857142856,0.020134228187919462
5,bing,False,SaltPepper,alexnet,20/80,resnet,bing,30/70,0.14089347,0.2746478873239437,0.013422818791946308
6,bing,False,SaltPepper,alexnet,20/80,resnet,bing,40/60,0.08532423,0.1095890410958904,0.061224489795918366
7,bing,False,SaltPepper,alexnet,20/80,resnet,bing,50/50,0.05782313,0.034013605442176874,0.08163265306122448
8,bing,False,SaltPepper,alexnet,20/80,vgg,bing,20/80,0.14236112,0.24285714285714285,0.0472972972972973
9,bing,False,SaltPepper,alexnet,20/80,vgg,bing,30/70,0.11418685,0.09859154929577464,0.1292517006802721
10,bing,False,SaltPepper,alexnet,20/80,vgg,bing,40/60,0.11643836,0.04827586206896552,0.1836734693877551
11,bing,False,SaltPepper,alexnet,20/80,vgg,bing,50/50,0.13356164,0.04794520547945205,0.2191780821917808
12,bing,False,SaltPepper,alexnet,20/80,alexnet,google,20/80,0.31666666,0.62,0.013333333333333334
13,bing,False,SaltPepper,alexnet,20/80,alexnet,google,30/70,0.28,0.5333333333333333,0.02666666666666667
14,bing,False,SaltPepper,alexnet,20/80,alexnet,google,40/60,0.16333334,0.24666666666666667,0.08
15,bing,False,SaltPepper,alexnet,20/80,alexnet,google,50/50,0.16333334,0.18,0.14666666666666667
16,bing,False,SaltPepper,alexnet,20/80,resnet,google,20/80,0.22666667,0.4533333333333333,0.0
17,bing,False,SaltPepper,alexnet,20/80,resnet,google,30/70,0.093333334,0.16666666666666666,0.02
18,bing,False,SaltPepper,alexnet,20/80,resnet,google,40/60,0.083333336,0.14,0.02666666666666667
19,bing,False,SaltPepper,alexnet,20/80,resnet,google,50/50,0.10333334,0.013333333333333334,0.19333333333333333
20,bing,False,SaltPepper,alexnet,20/80,vgg,google,20/80,0.18333334,0.3466666666666667,0.02
21,bing,False,SaltPepper,alexnet,20/80,vgg,google,30/70,0.14333333,0.21333333333333335,0.07333333333333333
22,bing,False,SaltPepper,alexnet,20/80,vgg,google,40/60,0.11666667,0.08,0.15333333333333332
23,bing,False,SaltPepper,alexnet,20/80,vgg,google,50/50,0.16666667,0.04,0.29333333333333333
24,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,20/80,0.19928825,0.4,0.0136986301369863
25,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,30/70,0.12676056,0.22058823529411764,0.04054054054054054
26,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,40/60,0.15845071,0.30935251798561153,0.013793103448275862
27,bing,False,SaltPepper,alexnet,30/70,alexnet,bing,50/50,0.13541667,0.2361111111111111,0.034722222222222224
28,bing,False,SaltPepper,alexnet,30/70,resnet,bing,20/80,0.12110727,0.22857142857142856,0.020134228187919462
29,bing,False,SaltPepper,alexnet,30/70,resnet,bing,30/70,0.14089347,0.2746478873239437,0.013422818791946308
30,bing,False,SaltPepper,alexnet,30/70,resnet,bing,40/60,0.08532423,0.1095890410958904,0.061224489795918366
31,bing,False,SaltPepper,alexnet,30/70,resnet,bing,50/50,0.05782313,0.034013605442176874,0.08163265306122448
32,bing,False,SaltPepper,alexnet,30/70,vgg,bing,20/80,0.14236112,0.24285714285714285,0.0472972972972973
33,bing,False,SaltPepper,alexnet,30/70,vgg,bing,30/70,0.11418685,0.09859154929577464,0.1292517006802721
34,bing,False,SaltPepper,alexnet,30/70,vgg,bing,40/60,0.11643836,0.04827586206896552,0.1836734693877551
35,bing,False,SaltPepper,alexnet,30/70,vgg,bing,50/50,0.13356164,0.04794520547945205,0.2191780821917808
36,bing,False,SaltPepper,alexnet,30/70,alexnet,google,20/80,0.31666666,0.62,0.013333333333333334
37,bing,False,SaltPepper,alexnet,30/70,alexnet,google,30/70,0.28,0.5333333333333333,0.02666666666666667
38,bing,False,SaltPepper,alexnet,30/70,alexnet,google,40/60,0.16333334,0.24666666666666667,0.08
39,bing,False,SaltPepper,alexnet,30/70,alexnet,google,50/50,0.16333334,0.18,0.14666666666666667
40,bing,False,SaltPepper,alexnet,30/70,resnet,google,20/80,0.22666667,0.4533333333333333,0.0
41,bing,False,SaltPepper,alexnet,30/70,resnet,google,30/70,0.093333334,0.16666666666666666,0.02
42,bing,False,SaltPepper,alexnet,30/70,resnet,google,40/60,0.083333336,0.14,0.02666666666666667
43,bing,False,SaltPepper,alexnet,30/70,resnet,google,50/50,0.10333334,0.013333333333333334,0.19333333333333333
44,bing,False,SaltPepper,alexnet,30/70,vgg,google,20/80,0.18333334,0.3466666666666667,0.02
45,bing,False,SaltPepper,alexnet,30/70,vgg,google,30/70,0.14333333,0.21333333333333335,0.07333333333333333
46,bing,False,SaltPepper,alexnet,30/70,vgg,google,40/60,0.11666667,0.08,0.15333333333333332
47,bing,False,SaltPepper,alexnet,30/70,vgg,google,50/50,0.16666667,0.04,0.29333333333333333
48,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,20/80,0.19928825,0.4,0.0136986301369863
49,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,30/70,0.12676056,0.22058823529411764,0.04054054054054054
50,bing,False,SaltPepper,alexnet,40/60,alexnet,bing,40/60,0.15845071,0.30935251798561153,0.013793103448275862
