,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
1,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
2,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
3,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
4,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
5,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
6,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
7,bing,False,SplitMergeRGB,alexnet,20/80,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
8,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
9,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
10,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
11,bing,False,SplitMergeRGB,alexnet,20/80,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
12,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,20/80,0.11,0.12,0.1
13,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
14,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
15,bing,False,SplitMergeRGB,alexnet,20/80,alexnet,google,50/50,0.15,0.04,0.26
16,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
17,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,30/70,0.030000001,0.04,0.02
18,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
19,bing,False,SplitMergeRGB,alexnet,20/80,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
20,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
21,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
22,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
23,bing,False,SplitMergeRGB,alexnet,20/80,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
24,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
25,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
26,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
27,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
28,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
29,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
30,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
31,bing,False,SplitMergeRGB,alexnet,30/70,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
32,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
33,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
34,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
35,bing,False,SplitMergeRGB,alexnet,30/70,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
36,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,20/80,0.11,0.12,0.1
37,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
38,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
39,bing,False,SplitMergeRGB,alexnet,30/70,alexnet,google,50/50,0.15,0.04,0.26
40,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
41,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,30/70,0.030000001,0.04,0.02
42,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
43,bing,False,SplitMergeRGB,alexnet,30/70,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
44,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
45,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
46,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
47,bing,False,SplitMergeRGB,alexnet,30/70,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
48,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
49,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
50,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
51,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
52,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
53,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
54,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
55,bing,False,SplitMergeRGB,alexnet,40/60,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
56,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
57,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
58,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
59,bing,False,SplitMergeRGB,alexnet,40/60,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
60,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,20/80,0.11,0.12,0.1
61,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
62,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
63,bing,False,SplitMergeRGB,alexnet,40/60,alexnet,google,50/50,0.15,0.04,0.26
64,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
65,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,30/70,0.030000001,0.04,0.02
66,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
67,bing,False,SplitMergeRGB,alexnet,40/60,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
68,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
69,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
70,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
71,bing,False,SplitMergeRGB,alexnet,40/60,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
72,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
73,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
74,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
75,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
76,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
77,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
78,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
79,bing,False,SplitMergeRGB,alexnet,50/50,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
80,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
81,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
82,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
83,bing,False,SplitMergeRGB,alexnet,50/50,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
84,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,google,20/80,0.11,0.12,0.1
85,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
86,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
87,bing,False,SplitMergeRGB,alexnet,50/50,alexnet,google,50/50,0.15,0.04,0.26
88,bing,False,SplitMergeRGB,alexnet,50/50,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
89,bing,False,SplitMergeRGB,alexnet,50/50,resnet,google,30/70,0.030000001,0.04,0.02
90,bing,False,SplitMergeRGB,alexnet,50/50,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
91,bing,False,SplitMergeRGB,alexnet,50/50,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
92,bing,False,SplitMergeRGB,alexnet,50/50,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
93,bing,False,SplitMergeRGB,alexnet,50/50,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
94,bing,False,SplitMergeRGB,alexnet,50/50,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
95,bing,False,SplitMergeRGB,alexnet,50/50,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
96,bing,False,SplitMergeRGB,resnet,20/80,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
97,bing,False,SplitMergeRGB,resnet,20/80,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
98,bing,False,SplitMergeRGB,resnet,20/80,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
99,bing,False,SplitMergeRGB,resnet,20/80,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
100,bing,False,SplitMergeRGB,resnet,20/80,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
101,bing,False,SplitMergeRGB,resnet,20/80,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
102,bing,False,SplitMergeRGB,resnet,20/80,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
103,bing,False,SplitMergeRGB,resnet,20/80,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
104,bing,False,SplitMergeRGB,resnet,20/80,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
105,bing,False,SplitMergeRGB,resnet,20/80,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
106,bing,False,SplitMergeRGB,resnet,20/80,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
107,bing,False,SplitMergeRGB,resnet,20/80,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
108,bing,False,SplitMergeRGB,resnet,20/80,alexnet,google,20/80,0.11,0.12,0.1
109,bing,False,SplitMergeRGB,resnet,20/80,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
110,bing,False,SplitMergeRGB,resnet,20/80,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
111,bing,False,SplitMergeRGB,resnet,20/80,alexnet,google,50/50,0.15,0.04,0.26
112,bing,False,SplitMergeRGB,resnet,20/80,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
113,bing,False,SplitMergeRGB,resnet,20/80,resnet,google,30/70,0.030000001,0.04,0.02
114,bing,False,SplitMergeRGB,resnet,20/80,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
115,bing,False,SplitMergeRGB,resnet,20/80,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
116,bing,False,SplitMergeRGB,resnet,20/80,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
117,bing,False,SplitMergeRGB,resnet,20/80,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
118,bing,False,SplitMergeRGB,resnet,20/80,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
119,bing,False,SplitMergeRGB,resnet,20/80,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
120,bing,False,SplitMergeRGB,resnet,30/70,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
121,bing,False,SplitMergeRGB,resnet,30/70,alexnet,bing,30/70,0.08098591,0.051470588235294115,0.10810810810810811
122,bing,False,SplitMergeRGB,resnet,30/70,alexnet,bing,40/60,0.08450704,0.02877697841726619,0.13793103448275862
123,bing,False,SplitMergeRGB,resnet,30/70,alexnet,bing,50/50,0.09375,0.020833333333333332,0.16666666666666666
124,bing,False,SplitMergeRGB,resnet,30/70,resnet,bing,20/80,0.020761246,0.03571428571428571,0.006711409395973154
125,bing,False,SplitMergeRGB,resnet,30/70,resnet,bing,30/70,0.013745705,0.02112676056338028,0.006711409395973154
126,bing,False,SplitMergeRGB,resnet,30/70,resnet,bing,40/60,0.017064845,0.00684931506849315,0.027210884353741496
127,bing,False,SplitMergeRGB,resnet,30/70,resnet,bing,50/50,0.017006803,0.006802721088435374,0.027210884353741496
128,bing,False,SplitMergeRGB,resnet,30/70,vgg,bing,20/80,0.024305556,0.04285714285714286,0.006756756756756757
129,bing,False,SplitMergeRGB,resnet,30/70,vgg,bing,30/70,0.034602076,0.028169014084507043,0.04081632653061224
130,bing,False,SplitMergeRGB,resnet,30/70,vgg,bing,40/60,0.02739726,0.006896551724137931,0.047619047619047616
131,bing,False,SplitMergeRGB,resnet,30/70,vgg,bing,50/50,0.02739726,0.00684931506849315,0.04794520547945205
132,bing,False,SplitMergeRGB,resnet,30/70,alexnet,google,20/80,0.11,0.12,0.1
133,bing,False,SplitMergeRGB,resnet,30/70,alexnet,google,30/70,0.123333335,0.12666666666666668,0.12
134,bing,False,SplitMergeRGB,resnet,30/70,alexnet,google,40/60,0.12666667,0.04666666666666667,0.20666666666666667
135,bing,False,SplitMergeRGB,resnet,30/70,alexnet,google,50/50,0.15,0.04,0.26
136,bing,False,SplitMergeRGB,resnet,30/70,resnet,google,20/80,0.05666667,0.10666666666666667,0.006666666666666667
137,bing,False,SplitMergeRGB,resnet,30/70,resnet,google,30/70,0.030000001,0.04,0.02
138,bing,False,SplitMergeRGB,resnet,30/70,resnet,google,40/60,0.030000001,0.03333333333333333,0.02666666666666667
139,bing,False,SplitMergeRGB,resnet,30/70,resnet,google,50/50,0.03666667,0.02,0.05333333333333334
140,bing,False,SplitMergeRGB,resnet,30/70,vgg,google,20/80,0.05666667,0.09333333333333334,0.02
141,bing,False,SplitMergeRGB,resnet,30/70,vgg,google,30/70,0.043333333,0.06,0.02666666666666667
142,bing,False,SplitMergeRGB,resnet,30/70,vgg,google,40/60,0.043333333,0.04,0.04666666666666667
143,bing,False,SplitMergeRGB,resnet,30/70,vgg,google,50/50,0.05,0.03333333333333333,0.06666666666666667
144,bing,False,SplitMergeRGB,resnet,40/60,alexnet,bing,20/80,0.071174376,0.05925925925925926,0.0821917808219178
