,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,Square,alexnet,20/80,alexnet,bing,20/80,0.227758,0.4666666666666667,0.00684931506849315
1,bing,True,Square,alexnet,20/80,alexnet,bing,30/70,0.123239435,0.22794117647058823,0.02702702702702703
2,bing,True,Square,alexnet,20/80,alexnet,bing,40/60,0.07394366,0.1079136690647482,0.041379310344827586
3,bing,True,Square,alexnet,20/80,alexnet,bing,50/50,0.0625,0.06944444444444445,0.05555555555555555
4,bing,True,Square,alexnet,20/80,resnet,bing,20/80,0.07612457,0.12142857142857143,0.03355704697986577
5,bing,True,Square,alexnet,20/80,resnet,bing,30/70,0.058419246,0.09154929577464789,0.026845637583892617
6,bing,True,Square,alexnet,20/80,resnet,bing,40/60,0.030716723,0.02054794520547945,0.04081632653061224
7,bing,True,Square,alexnet,20/80,resnet,bing,50/50,0.047619045,0.02040816326530612,0.07482993197278912
8,bing,True,Square,alexnet,20/80,vgg,bing,20/80,0.121527776,0.25,0.0
9,bing,True,Square,alexnet,20/80,vgg,bing,30/70,0.06228374,0.11971830985915492,0.006802721088435374
10,bing,True,Square,alexnet,20/80,vgg,bing,40/60,0.04109589,0.05517241379310345,0.027210884353741496
11,bing,True,Square,alexnet,20/80,vgg,bing,50/50,0.03767123,0.02054794520547945,0.0547945205479452
12,bing,True,Square,alexnet,20/80,alexnet,google,20/80,0.14,0.25333333333333335,0.02666666666666667
13,bing,True,Square,alexnet,20/80,alexnet,google,30/70,0.15333334,0.2866666666666667,0.02
14,bing,True,Square,alexnet,20/80,alexnet,google,40/60,0.11666667,0.16,0.07333333333333333
15,bing,True,Square,alexnet,20/80,alexnet,google,50/50,0.120000005,0.05333333333333334,0.18666666666666668
16,bing,True,Square,alexnet,20/80,resnet,google,20/80,0.05,0.09333333333333334,0.006666666666666667
17,bing,True,Square,alexnet,20/80,resnet,google,30/70,0.06666667,0.06,0.07333333333333333
18,bing,True,Square,alexnet,20/80,resnet,google,40/60,0.05,0.04,0.06
19,bing,True,Square,alexnet,20/80,resnet,google,50/50,0.08,0.03333333333333333,0.12666666666666668
20,bing,True,Square,alexnet,20/80,vgg,google,20/80,0.083333336,0.16,0.006666666666666667
21,bing,True,Square,alexnet,20/80,vgg,google,30/70,0.07,0.11333333333333333,0.02666666666666667
22,bing,True,Square,alexnet,20/80,vgg,google,40/60,0.053333335,0.06,0.04666666666666667
23,bing,True,Square,alexnet,20/80,vgg,google,50/50,0.06666667,0.02666666666666667,0.10666666666666667
24,bing,True,Square,alexnet,30/70,alexnet,bing,20/80,0.4733096,0.9777777777777777,0.00684931506849315
25,bing,True,Square,alexnet,30/70,alexnet,bing,30/70,0.39084506,0.6911764705882353,0.11486486486486487
