,source_dataset,isMath,attack,source_model,source_balancing,target_model,target_dataset,target_balancing,asr,asr_0,asr_1
0,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,20/80,0.8469751,0.9185185185185185,0.7808219178082192
1,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,30/70,0.83802813,0.9117647058823529,0.7702702702702703
2,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,40/60,0.81338024,0.8057553956834532,0.8206896551724138
3,bing,True,TIFGSM,alexnet,20/80,alexnet,bing,50/50,0.8090278,0.7847222222222222,0.8333333333333334
4,bing,True,TIFGSM,alexnet,20/80,resnet,bing,20/80,0.15916955,0.22142857142857142,0.10067114093959731
5,bing,True,TIFGSM,alexnet,20/80,resnet,bing,30/70,0.16838488,0.22535211267605634,0.11409395973154363
6,bing,True,TIFGSM,alexnet,20/80,resnet,bing,40/60,0.16382252,0.1232876712328767,0.20408163265306123
7,bing,True,TIFGSM,alexnet,20/80,resnet,bing,50/50,0.15646258,0.06802721088435375,0.24489795918367346
8,bing,True,TIFGSM,alexnet,20/80,vgg,bing,20/80,0.18402778,0.30714285714285716,0.06756756756756757
9,bing,True,TIFGSM,alexnet,20/80,vgg,bing,30/70,0.20069204,0.30985915492957744,0.09523809523809523
10,bing,True,TIFGSM,alexnet,20/80,vgg,bing,40/60,0.1780822,0.22758620689655173,0.1292517006802721
11,bing,True,TIFGSM,alexnet,20/80,vgg,bing,50/50,0.15068492,0.1780821917808219,0.1232876712328767
12,bing,True,TIFGSM,alexnet,20/80,alexnet,google,20/80,0.77000004,0.82,0.72
13,bing,True,TIFGSM,alexnet,20/80,alexnet,google,30/70,0.74333334,0.76,0.7266666666666667
14,bing,True,TIFGSM,alexnet,20/80,alexnet,google,40/60,0.7733334,0.7466666666666667,0.8
15,bing,True,TIFGSM,alexnet,20/80,alexnet,google,50/50,0.7733334,0.6666666666666666,0.88
16,bing,True,TIFGSM,alexnet,20/80,resnet,google,20/80,0.16333334,0.25333333333333335,0.07333333333333333
17,bing,True,TIFGSM,alexnet,20/80,resnet,google,30/70,0.16,0.18666666666666668,0.13333333333333333
18,bing,True,TIFGSM,alexnet,20/80,resnet,google,40/60,0.13333334,0.11333333333333333,0.15333333333333332
19,bing,True,TIFGSM,alexnet,20/80,resnet,google,50/50,0.15,0.08666666666666667,0.21333333333333335
20,bing,True,TIFGSM,alexnet,20/80,vgg,google,20/80,0.21666667,0.35333333333333333,0.08
21,bing,True,TIFGSM,alexnet,20/80,vgg,google,30/70,0.21666667,0.32666666666666666,0.10666666666666667
22,bing,True,TIFGSM,alexnet,20/80,vgg,google,40/60,0.18333334,0.22,0.14666666666666667
23,bing,True,TIFGSM,alexnet,20/80,vgg,google,50/50,0.16,0.15333333333333332,0.16666666666666666
24,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,20/80,0.8327402,0.8740740740740741,0.7945205479452054
25,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,30/70,0.8485915,0.8823529411764706,0.8175675675675675
26,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,40/60,0.8450704,0.8273381294964028,0.8620689655172413
27,bing,True,TIFGSM,alexnet,30/70,alexnet,bing,50/50,0.8333333,0.7986111111111112,0.8680555555555556
28,bing,True,TIFGSM,alexnet,30/70,resnet,bing,20/80,0.18685122,0.22857142857142856,0.1476510067114094
29,bing,True,TIFGSM,alexnet,30/70,resnet,bing,30/70,0.17525773,0.2323943661971831,0.12080536912751678
30,bing,True,TIFGSM,alexnet,30/70,resnet,bing,40/60,0.17064846,0.14383561643835616,0.19727891156462585
31,bing,True,TIFGSM,alexnet,30/70,resnet,bing,50/50,0.18367347,0.07482993197278912,0.2925170068027211
32,bing,True,TIFGSM,alexnet,30/70,vgg,bing,20/80,0.2013889,0.34285714285714286,0.06756756756756757
33,bing,True,TIFGSM,alexnet,30/70,vgg,bing,30/70,0.20761247,0.3028169014084507,0.11564625850340136
34,bing,True,TIFGSM,alexnet,30/70,vgg,bing,40/60,0.19178082,0.23448275862068965,0.14965986394557823
35,bing,True,TIFGSM,alexnet,30/70,vgg,bing,50/50,0.17465754,0.19863013698630136,0.1506849315068493
36,bing,True,TIFGSM,alexnet,30/70,alexnet,google,20/80,0.81333333,0.8333333333333334,0.7933333333333333
37,bing,True,TIFGSM,alexnet,30/70,alexnet,google,30/70,0.81,0.8,0.82
38,bing,True,TIFGSM,alexnet,30/70,alexnet,google,40/60,0.83000004,0.8066666666666666,0.8533333333333334
39,bing,True,TIFGSM,alexnet,30/70,alexnet,google,50/50,0.8233334,0.7333333333333333,0.9133333333333333
40,bing,True,TIFGSM,alexnet,30/70,resnet,google,20/80,0.17333333,0.2866666666666667,0.06
41,bing,True,TIFGSM,alexnet,30/70,resnet,google,30/70,0.19666667,0.21333333333333335,0.18
42,bing,True,TIFGSM,alexnet,30/70,resnet,google,40/60,0.17666668,0.14666666666666667,0.20666666666666667
43,bing,True,TIFGSM,alexnet,30/70,resnet,google,50/50,0.18,0.09333333333333334,0.26666666666666666
44,bing,True,TIFGSM,alexnet,30/70,vgg,google,20/80,0.20333333,0.3466666666666667,0.06
45,bing,True,TIFGSM,alexnet,30/70,vgg,google,30/70,0.22,0.3333333333333333,0.10666666666666667
46,bing,True,TIFGSM,alexnet,30/70,vgg,google,40/60,0.2,0.23333333333333334,0.16666666666666666
47,bing,True,TIFGSM,alexnet,30/70,vgg,google,50/50,0.19,0.19333333333333333,0.18666666666666668
48,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,20/80,0.8113879,0.8888888888888888,0.7397260273972602
49,bing,True,TIFGSM,alexnet,40/60,alexnet,bing,30/70,0.8450704,0.9044117647058824,0.7905405405405406
