,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,bikeMotorbike,alexnet,20_80,bing,0.7668465375900269,0.05,0.11111111,0.2028985507246377,0.02666666666666667
1,BIM,bikeMotorbike,alexnet,20_80,bing,0.742069661617279,0.1,0.15277778,0.2391304347826087,0.07333333333333333
2,BIM,bikeMotorbike,alexnet,20_80,bing,0.7420757412910461,0.15,0.15277778,0.2391304347826087,0.07333333333333333
3,BIM,bikeMotorbike,alexnet,20_80,bing,0.7420672178268433,0.2,0.15277778,0.2391304347826087,0.07333333333333333
4,BIM,bikeMotorbike,alexnet,20_80,bing,0.7420819401741028,0.25,0.15277778,0.2391304347826087,0.07333333333333333
5,BIM,bikeMotorbike,alexnet,20_80,bing,0.7420732378959656,0.3,0.15277778,0.2391304347826087,0.07333333333333333
6,BIM,bikeMotorbike,alexnet,30_70,bing,0.7641356587409973,0.05,0.08561644,0.14788732394366197,0.02666666666666667
7,BIM,bikeMotorbike,alexnet,30_70,bing,0.7385449409484863,0.1,0.11643836,0.176056338028169,0.06
8,BIM,bikeMotorbike,alexnet,30_70,bing,0.7385249137878418,0.15,0.11643836,0.176056338028169,0.06
9,BIM,bikeMotorbike,alexnet,30_70,bing,0.7385353446006775,0.2,0.11643836,0.176056338028169,0.06
10,BIM,bikeMotorbike,alexnet,30_70,bing,0.7385112643241882,0.25,0.11643836,0.176056338028169,0.06
11,BIM,bikeMotorbike,alexnet,30_70,bing,0.7385416626930237,0.3,0.11643836,0.176056338028169,0.06
12,BIM,bikeMotorbike,alexnet,40_60,bing,0.7594422101974487,0.05,0.08503401,0.11724137931034483,0.053691275167785234
13,BIM,bikeMotorbike,alexnet,40_60,bing,0.7320530414581299,0.1,0.15646258,0.15172413793103448,0.1610738255033557
14,BIM,bikeMotorbike,alexnet,40_60,bing,0.7320520877838135,0.15,0.15646258,0.15172413793103448,0.1610738255033557
15,BIM,bikeMotorbike,alexnet,40_60,bing,0.7320592999458313,0.2,0.15646258,0.15172413793103448,0.1610738255033557
16,BIM,bikeMotorbike,alexnet,40_60,bing,0.732052206993103,0.25,0.15646258,0.15172413793103448,0.1610738255033557
17,BIM,bikeMotorbike,alexnet,40_60,bing,0.7320502400398254,0.3,0.15646258,0.15172413793103448,0.1610738255033557
18,BIM,bikeMotorbike,alexnet,50_50,bing,0.7595713138580322,0.05,0.10169491,0.10273972602739725,0.10067114093959731
19,BIM,bikeMotorbike,alexnet,50_50,bing,0.7321696877479553,0.1,0.17288135,0.136986301369863,0.2080536912751678
20,BIM,bikeMotorbike,alexnet,50_50,bing,0.7321581840515137,0.15,0.17288135,0.136986301369863,0.2080536912751678
21,BIM,bikeMotorbike,alexnet,50_50,bing,0.7321552634239197,0.2,0.17288135,0.136986301369863,0.2080536912751678
22,BIM,bikeMotorbike,alexnet,50_50,bing,0.7321551442146301,0.25,0.17288135,0.136986301369863,0.2080536912751678
23,BIM,bikeMotorbike,alexnet,50_50,bing,0.7321549654006958,0.3,0.17288135,0.136986301369863,0.2080536912751678
24,BIM,bikeMotorbike,resnet,20_80,bing,0.790077269077301,0.05,0.12627986,0.23076923076923078,0.02666666666666667
25,BIM,bikeMotorbike,resnet,20_80,bing,0.7739829421043396,0.1,0.16382252,0.27972027972027974,0.05333333333333334
26,BIM,bikeMotorbike,resnet,20_80,bing,0.7739829421043396,0.15,0.16382252,0.27972027972027974,0.05333333333333334
27,BIM,bikeMotorbike,resnet,20_80,bing,0.7739829421043396,0.2,0.16382252,0.27972027972027974,0.05333333333333334
28,BIM,bikeMotorbike,resnet,20_80,bing,0.7739829421043396,0.25,0.16382252,0.27972027972027974,0.05333333333333334
29,BIM,bikeMotorbike,resnet,20_80,bing,0.7739829421043396,0.3,0.16382252,0.27972027972027974,0.05333333333333334
30,BIM,bikeMotorbike,resnet,30_70,bing,0.7905661463737488,0.05,0.12244898,0.2222222222222222,0.02666666666666667
31,BIM,bikeMotorbike,resnet,30_70,bing,0.7745854258537292,0.1,0.16666666,0.2777777777777778,0.06
32,BIM,bikeMotorbike,resnet,30_70,bing,0.7745854258537292,0.15,0.16666666,0.2777777777777778,0.06
33,BIM,bikeMotorbike,resnet,30_70,bing,0.7745854258537292,0.2,0.16666666,0.2777777777777778,0.06
34,BIM,bikeMotorbike,resnet,30_70,bing,0.7745854258537292,0.25,0.16666666,0.2777777777777778,0.06
35,BIM,bikeMotorbike,resnet,30_70,bing,0.7745854258537292,0.3,0.16666666,0.2777777777777778,0.06
36,BIM,bikeMotorbike,resnet,40_60,bing,0.7914553284645081,0.05,0.084745765,0.13793103448275862,0.03333333333333333
37,BIM,bikeMotorbike,resnet,40_60,bing,0.7753617763519287,0.1,0.122033894,0.1793103448275862,0.06666666666666667
38,BIM,bikeMotorbike,resnet,40_60,bing,0.7753617763519287,0.15,0.122033894,0.1793103448275862,0.06666666666666667
39,BIM,bikeMotorbike,resnet,40_60,bing,0.7753617763519287,0.2,0.122033894,0.1793103448275862,0.06666666666666667
40,BIM,bikeMotorbike,resnet,40_60,bing,0.7753617763519287,0.25,0.122033894,0.1793103448275862,0.06666666666666667
41,BIM,bikeMotorbike,resnet,40_60,bing,0.7753617763519287,0.3,0.122033894,0.1793103448275862,0.06666666666666667
42,BIM,bikeMotorbike,resnet,50_50,bing,0.7923526763916016,0.05,0.06418919,0.08904109589041095,0.04
43,BIM,bikeMotorbike,resnet,50_50,bing,0.7764625549316406,0.1,0.10810811,0.136986301369863,0.08
44,BIM,bikeMotorbike,resnet,50_50,bing,0.7764625549316406,0.15,0.10810811,0.136986301369863,0.08
45,BIM,bikeMotorbike,resnet,50_50,bing,0.7764625549316406,0.2,0.10810811,0.136986301369863,0.08
46,BIM,bikeMotorbike,resnet,50_50,bing,0.7764625549316406,0.25,0.10810811,0.136986301369863,0.08
47,BIM,bikeMotorbike,resnet,50_50,bing,0.7764625549316406,0.3,0.10810811,0.136986301369863,0.08
48,BIM,bikeMotorbike,vgg,20_80,bing,0.797353208065033,0.05,0.122033894,0.21379310344827587,0.03333333333333333
49,BIM,bikeMotorbike,vgg,20_80,bing,0.7793821096420288,0.1,0.18305084,0.2896551724137931,0.08
50,BIM,bikeMotorbike,vgg,20_80,bing,0.7793371081352234,0.15,0.17288135,0.2896551724137931,0.06
51,BIM,bikeMotorbike,vgg,20_80,bing,0.7793796062469482,0.2,0.16949153,0.2827586206896552,0.06
