,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.9002026915550232,1,0.0034722222,0.007246376811594203,0.0
1,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.7279706001281738,2,0.017361112,0.036231884057971016,0.0
2,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.5837136507034302,3,0.024305556,0.050724637681159424,0.0
3,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.48595231771469116,4,0.038194444,0.07971014492753623,0.0
4,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.41792282462120056,5,0.05902778,0.12318840579710146,0.0
5,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3699604868888855,6,0.090277776,0.18840579710144928,0.0
6,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3346858024597168,7,0.11111111,0.2246376811594203,0.006666666666666667
7,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.3084176778793335,8,0.13541667,0.2826086956521739,0.0
8,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.28854697942733765,9,0.17361112,0.36231884057971014,0.0
9,BoxBlur,bikeMotorbike,alexnet,20_80,bing,0.2731592357158661,10,0.22569445,0.47101449275362317,0.0
10,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.9002026915550232,1,0.0102739725,0.014084507042253521,0.006666666666666667
11,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.7279706001281738,2,0.020547945,0.035211267605633804,0.006666666666666667
12,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.5837136507034302,3,0.034246575,0.06338028169014084,0.006666666666666667
13,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.48595231771469116,4,0.047945205,0.08450704225352113,0.013333333333333334
14,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.41792282462120056,5,0.06506849,0.11267605633802817,0.02
15,BoxBlur,bikeMotorbike,alexnet,30_70,bing,0.3699604868888855,6,0.07534246,0.14084507042253522,0.013333333333333334
