,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8913490176200867,10,0.090277776,0.18840579710144928,0.0
1,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.8012641072273254,20,0.17361112,0.36231884057971014,0.0
2,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.7297789454460144,30,0.22222222,0.45652173913043476,0.006666666666666667
3,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6740809679031372,40,0.25347224,0.5072463768115942,0.02
4,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.6281810402870178,50,0.28125,0.5507246376811594,0.03333333333333333
5,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5916218757629395,60,0.2777778,0.5072463768115942,0.06666666666666667
6,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5607263445854187,70,0.3090278,0.5289855072463768,0.10666666666666667
7,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5339911580085754,80,0.3298611,0.5289855072463768,0.14666666666666667
8,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.5114012956619263,90,0.3263889,0.5,0.16666666666666666
9,DeepFool,bikeMotorbike,alexnet,20_80,bing,0.491545170545578,100,0.3125,0.4420289855072464,0.19333333333333333
10,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.8759292960166931,10,0.09589041,0.19718309859154928,0.0
11,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.7813859581947327,20,0.18835616,0.3873239436619718,0.0
12,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.7119660377502441,30,0.28424656,0.5845070422535211,0.0
13,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.6621410250663757,40,0.37671232,0.7676056338028169,0.006666666666666667
14,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.6251264810562134,50,0.4178082,0.852112676056338,0.006666666666666667
15,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.5970454216003418,60,0.44863012,0.9084507042253521,0.013333333333333334
16,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.5754948854446411,70,0.45890412,0.9295774647887324,0.013333333333333334
17,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.5577579736709595,80,0.48287672,0.971830985915493,0.02
18,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.543369472026825,90,0.49315068,0.9929577464788732,0.02
19,DeepFool,bikeMotorbike,alexnet,30_70,bing,0.531726598739624,100,0.48972604,0.9859154929577465,0.02
20,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.86328125,10,0.088435374,0.1793103448275862,0.0
21,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.7509007453918457,20,0.1462585,0.296551724137931,0.0
22,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.668146550655365,30,0.1292517,0.2620689655172414,0.0
23,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.6154287457466125,40,0.1292517,0.2482758620689655,0.013422818791946308
24,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.5782762765884399,50,0.12244898,0.23448275862068965,0.013422818791946308
25,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.5526391863822937,60,0.14285713,0.2620689655172414,0.026845637583892617
26,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.5330907702445984,70,0.11904762,0.20689655172413793,0.03355704697986577
27,DeepFool,bikeMotorbike,alexnet,40_60,bing,0.5186880230903625,80,0.11904762,0.19310344827586207,0.04697986577181208
