,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,FGSM,bikeMotorbike,alexnet,20_80,bing,0.6572717428207397,0.05,0.097222224,0.15942028985507245,0.04
1,FGSM,bikeMotorbike,alexnet,20_80,bing,0.4646342992782593,0.1,0.28472224,0.14492753623188406,0.41333333333333333
2,FGSM,bikeMotorbike,alexnet,20_80,bing,0.34273144602775574,0.15,0.47569445,0.10144927536231885,0.82
3,FGSM,bikeMotorbike,alexnet,20_80,bing,0.26081109046936035,0.2,0.5138889,0.07246376811594203,0.92
4,FGSM,bikeMotorbike,alexnet,20_80,bing,0.2011629343032837,0.25,0.5277778,0.043478260869565216,0.9733333333333334
5,FGSM,bikeMotorbike,alexnet,20_80,bing,0.1531289964914322,0.3,0.5243056,0.007246376811594203,1.0
6,FGSM,bikeMotorbike,alexnet,30_70,bing,0.6568989157676697,0.05,0.07876712,0.11267605633802817,0.04666666666666667
7,FGSM,bikeMotorbike,alexnet,30_70,bing,0.4655640125274658,0.1,0.32876712,0.14788732394366197,0.5
8,FGSM,bikeMotorbike,alexnet,30_70,bing,0.3439617455005646,0.15,0.46232876,0.11267605633802817,0.7933333333333333
9,FGSM,bikeMotorbike,alexnet,30_70,bing,0.2620144188404083,0.2,0.5068493,0.09859154929577464,0.8933333333333333
10,FGSM,bikeMotorbike,alexnet,30_70,bing,0.20226942002773285,0.25,0.5410959,0.14788732394366197,0.9133333333333333
11,FGSM,bikeMotorbike,alexnet,30_70,bing,0.15408384799957275,0.3,0.51369864,0.14788732394366197,0.86
12,FGSM,bikeMotorbike,alexnet,40_60,bing,0.6578781604766846,0.05,0.108843535,0.1103448275862069,0.10738255033557047
13,FGSM,bikeMotorbike,alexnet,40_60,bing,0.46584028005599976,0.1,0.414966,0.0896551724137931,0.7315436241610739
14,FGSM,bikeMotorbike,alexnet,40_60,bing,0.3438795208930969,0.15,0.48979592,0.034482758620689655,0.9328859060402684
15,FGSM,bikeMotorbike,alexnet,40_60,bing,0.26180198788642883,0.2,0.5,0.013793103448275862,0.9731543624161074
16,FGSM,bikeMotorbike,alexnet,40_60,bing,0.20189648866653442,0.25,0.50680274,0.0,1.0
17,FGSM,bikeMotorbike,alexnet,40_60,bing,0.15363244712352753,0.3,0.50680274,0.0,1.0
18,FGSM,bikeMotorbike,alexnet,50_50,bing,0.656291127204895,0.05,0.13898306,0.0821917808219178,0.19463087248322147
19,FGSM,bikeMotorbike,alexnet,50_50,bing,0.46545034646987915,0.1,0.4474576,0.04794520547945205,0.8389261744966443
20,FGSM,bikeMotorbike,alexnet,50_50,bing,0.34405502676963806,0.15,0.49491525,0.02054794520547945,0.959731543624161
21,FGSM,bikeMotorbike,alexnet,50_50,bing,0.26205533742904663,0.2,0.5016949,0.00684931506849315,0.9865771812080537
22,FGSM,bikeMotorbike,alexnet,50_50,bing,0.20229555666446686,0.25,0.50508475,0.0,1.0
23,FGSM,bikeMotorbike,alexnet,50_50,bing,0.1541048288345337,0.3,0.50508475,0.0,1.0
24,FGSM,bikeMotorbike,resnet,20_80,bing,0.6552170515060425,0.05,0.1774744,0.26573426573426573,0.09333333333333334
25,FGSM,bikeMotorbike,resnet,20_80,bing,0.4683312475681305,0.1,0.41638225,0.26573426573426573,0.56
26,FGSM,bikeMotorbike,resnet,20_80,bing,0.34438633918762207,0.15,0.5085324,0.20279720279720279,0.8
27,FGSM,bikeMotorbike,resnet,20_80,bing,0.26035261154174805,0.2,0.52901024,0.11188811188811189,0.9266666666666666
28,FGSM,bikeMotorbike,resnet,20_80,bing,0.2000989019870758,0.25,0.5221843,0.06293706293706294,0.96
29,FGSM,bikeMotorbike,resnet,20_80,bing,0.1518218070268631,0.3,0.5187713,0.04195804195804196,0.9733333333333334
30,FGSM,bikeMotorbike,resnet,30_70,bing,0.6555978059768677,0.05,0.17006803,0.22916666666666666,0.11333333333333333
31,FGSM,bikeMotorbike,resnet,30_70,bing,0.4679449498653412,0.1,0.4047619,0.20833333333333334,0.5933333333333334
32,FGSM,bikeMotorbike,resnet,30_70,bing,0.34312620759010315,0.15,0.48979592,0.09027777777777778,0.8733333333333333
33,FGSM,bikeMotorbike,resnet,30_70,bing,0.2589608132839203,0.2,0.5102041,0.041666666666666664,0.96
34,FGSM,bikeMotorbike,resnet,30_70,bing,0.1987641304731369,0.25,0.5102041,0.020833333333333332,0.98
35,FGSM,bikeMotorbike,resnet,30_70,bing,0.15058884024620056,0.3,0.5136054,0.006944444444444444,1.0
36,FGSM,bikeMotorbike,resnet,40_60,bing,0.6561920046806335,0.05,0.15932204,0.08275862068965517,0.23333333333333334
37,FGSM,bikeMotorbike,resnet,40_60,bing,0.4681682586669922,0.1,0.43728814,0.08275862068965517,0.78
38,FGSM,bikeMotorbike,resnet,40_60,bing,0.3428508937358856,0.15,0.4915254,0.013793103448275862,0.9533333333333334
39,FGSM,bikeMotorbike,resnet,40_60,bing,0.2587185502052307,0.2,0.5084746,0.006896551724137931,0.9933333333333333
40,FGSM,bikeMotorbike,resnet,40_60,bing,0.19864287972450256,0.25,0.5084746,0.0,1.0
41,FGSM,bikeMotorbike,resnet,40_60,bing,0.15061523020267487,0.3,0.5084746,0.0,1.0
42,FGSM,bikeMotorbike,resnet,50_50,bing,0.6563381552696228,0.05,0.20945947,0.0410958904109589,0.37333333333333335
43,FGSM,bikeMotorbike,resnet,50_50,bing,0.46835049986839294,0.1,0.45945948,0.02054794520547945,0.8866666666666667
44,FGSM,bikeMotorbike,resnet,50_50,bing,0.3432196080684662,0.15,0.5067568,0.00684931506849315,0.9933333333333333
45,FGSM,bikeMotorbike,resnet,50_50,bing,0.25898051261901855,0.2,0.5067568,0.0,1.0
46,FGSM,bikeMotorbike,resnet,50_50,bing,0.19876129925251007,0.25,0.5067568,0.0,1.0
47,FGSM,bikeMotorbike,resnet,50_50,bing,0.15061624348163605,0.3,0.5067568,0.0,1.0
48,FGSM,bikeMotorbike,vgg,20_80,bing,0.6780778765678406,0.05,0.17966102,0.32413793103448274,0.04
49,FGSM,bikeMotorbike,vgg,20_80,bing,0.4964580535888672,0.1,0.28135592,0.4482758620689655,0.12
50,FGSM,bikeMotorbike,vgg,20_80,bing,0.3747173547744751,0.15,0.37966102,0.5517241379310345,0.21333333333333335
51,FGSM,bikeMotorbike,vgg,20_80,bing,0.2894018888473511,0.2,0.43728814,0.593103448275862,0.2866666666666667
52,FGSM,bikeMotorbike,vgg,20_80,bing,0.22732308506965637,0.25,0.45423728,0.593103448275862,0.32
53,FGSM,bikeMotorbike,vgg,20_80,bing,0.17672409117221832,0.3,0.48813558,0.6,0.38
54,FGSM,bikeMotorbike,vgg,30_70,bing,0.678485095500946,0.05,0.18707483,0.3333333333333333,0.04666666666666667
55,FGSM,bikeMotorbike,vgg,30_70,bing,0.4956032633781433,0.1,0.3095238,0.4444444444444444,0.18
56,FGSM,bikeMotorbike,vgg,30_70,bing,0.373273640871048,0.15,0.3945578,0.5416666666666666,0.25333333333333335
57,FGSM,bikeMotorbike,vgg,30_70,bing,0.2878931760787964,0.2,0.40816325,0.5,0.32
58,FGSM,bikeMotorbike,vgg,30_70,bing,0.22598108649253845,0.25,0.46258503,0.4722222222222222,0.4533333333333333
59,FGSM,bikeMotorbike,vgg,30_70,bing,0.1755470186471939,0.3,0.5102041,0.3611111111111111,0.6533333333333333
60,FGSM,bikeMotorbike,vgg,40_60,bing,0.6803939938545227,0.05,0.108474575,0.13793103448275862,0.08
61,FGSM,bikeMotorbike,vgg,40_60,bing,0.49733152985572815,0.1,0.32881355,0.2827586206896552,0.37333333333333335
62,FGSM,bikeMotorbike,vgg,40_60,bing,0.3742792308330536,0.15,0.4440678,0.22758620689655173,0.6533333333333333
63,FGSM,bikeMotorbike,vgg,40_60,bing,0.28863945603370667,0.2,0.51864403,0.12413793103448276,0.9
64,FGSM,bikeMotorbike,vgg,40_60,bing,0.22670705616474152,0.25,0.5084746,0.041379310344827586,0.96
65,FGSM,bikeMotorbike,vgg,40_60,bing,0.1762617826461792,0.3,0.5016949,0.006896551724137931,0.98
66,FGSM,bikeMotorbike,vgg,50_50,bing,0.6798596382141113,0.05,0.15932204,0.07586206896551724,0.24
67,FGSM,bikeMotorbike,vgg,50_50,bing,0.4968825876712799,0.1,0.41694915,0.2,0.6266666666666667
68,FGSM,bikeMotorbike,vgg,50_50,bing,0.3743949830532074,0.15,0.51525426,0.16551724137931034,0.8533333333333334
69,FGSM,bikeMotorbike,vgg,50_50,bing,0.28878840804100037,0.2,0.5322034,0.0896551724137931,0.96
70,FGSM,bikeMotorbike,vgg,50_50,bing,0.22662532329559326,0.25,0.5118644,0.027586206896551724,0.98
71,FGSM,bikeMotorbike,vgg,50_50,bing,0.1760498285293579,0.3,0.5084746,0.0,1.0
72,FGSM,bikeMotorbike,alexnet,20_80,google,0.6566550731658936,0.05,0.0443686,0.027777777777777776,0.06040268456375839
73,FGSM,bikeMotorbike,alexnet,20_80,google,0.4751889705657959,0.1,0.31740615,0.013888888888888888,0.610738255033557
74,FGSM,bikeMotorbike,alexnet,20_80,google,0.3583126962184906,0.15,0.42662114,0.006944444444444444,0.8322147651006712
75,FGSM,bikeMotorbike,alexnet,20_80,google,0.2777886688709259,0.2,0.4641638,0.006944444444444444,0.9060402684563759
76,FGSM,bikeMotorbike,alexnet,20_80,google,0.21771584451198578,0.25,0.4880546,0.0,0.959731543624161
77,FGSM,bikeMotorbike,alexnet,20_80,google,0.16847899556159973,0.3,0.5085324,0.0,1.0
78,FGSM,bikeMotorbike,alexnet,30_70,google,0.6583820581436157,0.05,0.097972974,0.0410958904109589,0.15333333333333332
79,FGSM,bikeMotorbike,alexnet,30_70,google,0.47559985518455505,0.1,0.3581081,0.02054794520547945,0.6866666666666666
80,FGSM,bikeMotorbike,alexnet,30_70,google,0.3584510087966919,0.15,0.4256757,0.0,0.84
81,FGSM,bikeMotorbike,alexnet,30_70,google,0.27771177887916565,0.2,0.472973,0.0,0.9333333333333333
82,FGSM,bikeMotorbike,alexnet,30_70,google,0.21738702058792114,0.25,0.49662164,0.0,0.98
83,FGSM,bikeMotorbike,alexnet,30_70,google,0.1680295169353485,0.3,0.5067568,0.0,1.0
84,FGSM,bikeMotorbike,alexnet,40_60,google,0.6545326113700867,0.05,0.10169491,0.02040816326530612,0.18243243243243243
85,FGSM,bikeMotorbike,alexnet,40_60,google,0.4734545350074768,0.1,0.36949152,0.013605442176870748,0.722972972972973
86,FGSM,bikeMotorbike,alexnet,40_60,google,0.3569372594356537,0.15,0.45762712,0.0,0.9121621621621622
87,FGSM,bikeMotorbike,alexnet,40_60,google,0.2764360010623932,0.2,0.4915254,0.0,0.9797297297297297
88,FGSM,bikeMotorbike,alexnet,40_60,google,0.21622903645038605,0.25,0.5016949,0.0,1.0
89,FGSM,bikeMotorbike,alexnet,40_60,google,0.1669515073299408,0.3,0.5016949,0.0,1.0
90,FGSM,bikeMotorbike,alexnet,50_50,google,0.6546369791030884,0.05,0.13265306,0.02040816326530612,0.24489795918367346
91,FGSM,bikeMotorbike,alexnet,50_50,google,0.4746112823486328,0.1,0.38435373,0.006802721088435374,0.7619047619047619
92,FGSM,bikeMotorbike,alexnet,50_50,google,0.35816773772239685,0.15,0.44557822,0.0,0.891156462585034
93,FGSM,bikeMotorbike,alexnet,50_50,google,0.2777084708213806,0.2,0.48639455,0.0,0.9727891156462585
94,FGSM,bikeMotorbike,alexnet,50_50,google,0.21754154562950134,0.25,0.5,0.0,1.0
95,FGSM,bikeMotorbike,alexnet,50_50,google,0.1682460606098175,0.3,0.5,0.0,1.0
96,FGSM,bikeMotorbike,resnet,20_80,google,0.6478438973426819,0.05,0.13559322,0.08275862068965517,0.18666666666666668
97,FGSM,bikeMotorbike,resnet,20_80,google,0.473838210105896,0.1,0.36610168,0.06206896551724138,0.66
98,FGSM,bikeMotorbike,resnet,20_80,google,0.35726332664489746,0.15,0.45423728,0.020689655172413793,0.8733333333333333
99,FGSM,bikeMotorbike,resnet,20_80,google,0.275375634431839,0.2,0.4915254,0.0,0.9666666666666667
100,FGSM,bikeMotorbike,resnet,20_80,google,0.2148863673210144,0.25,0.50508475,0.0,0.9933333333333333
101,FGSM,bikeMotorbike,resnet,20_80,google,0.16544651985168457,0.3,0.5084746,0.0,1.0
102,FGSM,bikeMotorbike,resnet,30_70,google,0.6481101512908936,0.05,0.1270903,0.04697986577181208,0.20666666666666667
103,FGSM,bikeMotorbike,resnet,30_70,google,0.47473978996276855,0.1,0.32107022,0.040268456375838924,0.6
104,FGSM,bikeMotorbike,resnet,30_70,google,0.3582647442817688,0.15,0.40802675,0.006711409395973154,0.8066666666666666
105,FGSM,bikeMotorbike,resnet,30_70,google,0.2765730917453766,0.2,0.42474917,0.0,0.8466666666666667
106,FGSM,bikeMotorbike,resnet,30_70,google,0.21613557636737823,0.25,0.46822742,0.0,0.9333333333333333
107,FGSM,bikeMotorbike,resnet,30_70,google,0.16662976145744324,0.3,0.4882943,0.0,0.9733333333333334
108,FGSM,bikeMotorbike,resnet,40_60,google,0.6476600766181946,0.05,0.15824915,0.040268456375838924,0.27702702702702703
109,FGSM,bikeMotorbike,resnet,40_60,google,0.4744883179664612,0.1,0.37037036,0.026845637583892617,0.7162162162162162
110,FGSM,bikeMotorbike,resnet,40_60,google,0.35812908411026,0.15,0.4276094,0.006711409395973154,0.8513513513513513
111,FGSM,bikeMotorbike,resnet,40_60,google,0.27639493346214294,0.2,0.46801347,0.0,0.9391891891891891
112,FGSM,bikeMotorbike,resnet,40_60,google,0.215833842754364,0.25,0.4983165,0.0,1.0
113,FGSM,bikeMotorbike,resnet,40_60,google,0.16633431613445282,0.3,0.4983165,0.0,1.0
114,FGSM,bikeMotorbike,resnet,50_50,google,0.6478680372238159,0.05,0.20677966,0.026845637583892617,0.3904109589041096
115,FGSM,bikeMotorbike,resnet,50_50,google,0.47268304228782654,0.1,0.41016948,0.013422818791946308,0.815068493150685
116,FGSM,bikeMotorbike,resnet,50_50,google,0.3546452522277832,0.15,0.44067797,0.006711409395973154,0.8835616438356164
117,FGSM,bikeMotorbike,resnet,50_50,google,0.2725910246372223,0.2,0.48813558,0.0,0.9863013698630136
118,FGSM,bikeMotorbike,resnet,50_50,google,0.21226729452610016,0.25,0.4915254,0.0,0.9931506849315068
119,FGSM,bikeMotorbike,resnet,50_50,google,0.16312603652477264,0.3,0.49491525,0.0,1.0
120,FGSM,bikeMotorbike,vgg,20_80,google,0.6704550981521606,0.05,0.11111111,0.14285714285714285,0.08
121,FGSM,bikeMotorbike,vgg,20_80,google,0.5000237226486206,0.1,0.25925925,0.24489795918367346,0.2733333333333333
122,FGSM,bikeMotorbike,vgg,20_80,google,0.3868362605571747,0.15,0.30303028,0.2585034013605442,0.3466666666666667
123,FGSM,bikeMotorbike,vgg,20_80,google,0.30454909801483154,0.2,0.3164983,0.22448979591836735,0.4066666666666667
124,FGSM,bikeMotorbike,vgg,20_80,google,0.2425731122493744,0.25,0.34006733,0.19047619047619047,0.4866666666666667
125,FGSM,bikeMotorbike,vgg,20_80,google,0.19107280671596527,0.3,0.35690236,0.17687074829931973,0.5333333333333333
126,FGSM,bikeMotorbike,vgg,30_70,google,0.6709468364715576,0.05,0.13377926,0.06711409395973154,0.2
127,FGSM,bikeMotorbike,vgg,30_70,google,0.500338077545166,0.1,0.30769232,0.15436241610738255,0.46
128,FGSM,bikeMotorbike,vgg,30_70,google,0.3874967694282532,0.15,0.37458193,0.10738255033557047,0.64
129,FGSM,bikeMotorbike,vgg,30_70,google,0.3053981363773346,0.2,0.40468228,0.03355704697986577,0.7733333333333333
130,FGSM,bikeMotorbike,vgg,30_70,google,0.24342089891433716,0.25,0.4214047,0.006711409395973154,0.8333333333333334
131,FGSM,bikeMotorbike,vgg,30_70,google,0.19189055263996124,0.3,0.44481605,0.006711409395973154,0.88
132,FGSM,bikeMotorbike,vgg,40_60,google,0.6706093549728394,0.05,0.124579124,0.06711409395973154,0.18243243243243243
133,FGSM,bikeMotorbike,vgg,40_60,google,0.5004096031188965,0.1,0.27946126,0.11409395973154363,0.44594594594594594
134,FGSM,bikeMotorbike,vgg,40_60,google,0.38738206028938293,0.15,0.36700335,0.06040268456375839,0.6756756756756757
135,FGSM,bikeMotorbike,vgg,40_60,google,0.30516865849494934,0.2,0.4074074,0.020134228187919462,0.7972972972972973
136,FGSM,bikeMotorbike,vgg,40_60,google,0.24301865696907043,0.25,0.43434343,0.006711409395973154,0.8648648648648649
137,FGSM,bikeMotorbike,vgg,40_60,google,0.19133132696151733,0.3,0.46801347,0.0,0.9391891891891891
138,FGSM,bikeMotorbike,vgg,50_50,google,0.6736391186714172,0.05,0.16498317,0.03355704697986577,0.2972972972972973
139,FGSM,bikeMotorbike,vgg,50_50,google,0.5016099214553833,0.1,0.33670032,0.06711409395973154,0.6081081081081081
140,FGSM,bikeMotorbike,vgg,50_50,google,0.38741493225097656,0.15,0.39393938,0.026845637583892617,0.7635135135135135
141,FGSM,bikeMotorbike,vgg,50_50,google,0.3045981824398041,0.2,0.43434343,0.0,0.8716216216216216
142,FGSM,bikeMotorbike,vgg,50_50,google,0.24240955710411072,0.25,0.46127945,0.0,0.9256756756756757
143,FGSM,bikeMotorbike,vgg,50_50,google,0.19078731536865234,0.3,0.49158248,0.006711409395973154,0.9797297297297297
